CNAME,GaiaEDR3,Rbirth,rguidmean,b_Rbirth,B_Rbirth,s_Rbirth,migration_delta_r_kpc
 , ,kpc,kpc,kpc,kpc,kpc,
----------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,
00000302-6002570,4918001166129129344, 4.0466656171672204, 8.7033445473388049, 3.3726930382213065, 5.0967965675441516, 0.7616881671717771,4.6566789301715845
00001749-5449565,4923860601032588544, 5.0754304265988202, 8.1770794213125484, 4.0007756512882411, 6.7616831577747423, 1.4768316232198206,3.1016489947137265
00012216-5458205,4923656469826935936, 2.7237592635757899, 7.8770679110715971, 2.6855749214751823, 3.7741891381903065, 0.5731946442228412,5.153308647495807
00040666-3709129,2307728366713617152, 4.1372531007053004, 7.2061554204463576, 3.3990200645234534, 4.9285373414431000, 0.7369417596396235,3.0689023197410563
00042981-4701022,4990102289659200000, 3.1609624933632050, 9.6344907159380764, 2.9892209018474252, 3.4119913784518574, 0.2158489691405191,6.473528222574871
00091992-5000042,4976635097584220928, 2.6261574144541653, 6.6015861906549924, 2.5087088302443230, 3.0223272826391252, 0.3666997872750165,3.975428776200827
00100615-0326230,2445238131310754304, 5.2152037161739502, 7.8904780752740429, 4.5980545383109908, 5.9315546191663158, 0.7116715236986719,2.6752743591000927
00101980-0333160,2445223326559516800, 5.5993996123078205, 7.5126816555431812, 5.0195554662976694, 6.2672627020319638, 0.6435200631018666,1.9132820432353608
00102112-0326192,2445237551491198208, 3.6082549846813903, 6.7738830636170322, 3.3199940425362562, 3.9169570439213399, 0.3065631919862110,3.165628078935642
00182940-5953351,4906181244331533440, 2.6852227927559751, 7.0716420284994079, 2.6119395351875920, 2.7434899776708699, 0.2500031293103334,4.386419235743433
00190535-0049064,2542131120335481216, 2.7424065346384703, 8.3485577999095568, 2.5926365637278481, 3.8950951615229621, 0.6481317118271365,5.606151265271085
00191310-0052404,2542127409483739136, 6.6405849666832850, 7.1161534107195870, 5.7800665430663809, 7.2545942130719991, 1.0100401566162240,0.47556844403630194
00191514-5730080,4918855143066272768, 2.3314204811137649, 9.5763984232392687, 2.0567345229169391, 2.8578556938487711, 0.4284661450941408,7.244977942125502
00191775-5424490,4923333316487937920,20.0060347424152489, 7.5228759013338813,18.4473548328361119,22.0119229116023831, 2.0291319963064640,-12.483158841081368
00193471-4225599,4992199234427622656, 2.6759650589659998, 7.9896493315882573, 2.6410368788551879, 3.5819689768113609, 0.5093210172869739,5.3136842726222575
00194276-0056072,2542114520285931008,12.8648461117668997, 8.1640350257588423,11.3772029292713324,14.8633815866884849, 1.8764804912617377,-4.700811086008057
00194642-5738454,4918803912696371456, 4.0127105716546296, 8.1089385119903064, 3.8897208135394088, 4.2367299409235617, 0.3145648832754460,4.096227940335677
00195156-5730201,4918809444614240384, 3.0873579763946801, 7.4251014222182281, 2.8677953009356658, 3.2778953409275160, 0.1934809748125175,4.337743445823547
00195239-4704422,4978315013909473536, 2.7199363698060548, 7.3108475280032277, 2.6002641718655641, 3.8282621482700607, 0.6153643292049337,4.590911158197172
00202470-5421294,4923334484719035392, 2.6806801116897150, 6.9126102284999975, 2.6563941858089062, 3.8690462827531578, 0.5333389737041333,4.2319301168102825
00295076-0334166,2528575000959085056, 4.2067291581057500, 7.5150169982651072, 3.8685139299873890, 5.2654010528383761, 0.7648304871028601,3.308287840159357
00295819-5015539,4974326088804979840, 4.5047104967081246, 8.0881189139171230, 3.0040012856782297, 5.5338857824403087, 1.1187529643070542,3.5834084172089984
00300545-5003284,4974520049527254912,13.8354163269642001, 8.3151113998265629,12.1713049303557757,16.0951497145065439, 2.2339726597718688,-5.520304927137637
00393674-4228576,4992855436711058048, 6.4160372464915651, 5.8409616990838957, 5.8233808636344548, 7.0501124839097304, 0.6548044050298280,-0.5750755474076694
00395056-0057356,2542855217462324864, 2.8640580164592961, 6.8450715895440615, 2.7333611509275930, 3.0266931464799409, 0.1521562233344942,3.9810135730847653
00401070-5729577,4907937645437617664, 3.1281398465872803, 7.4264619126515754, 2.6680255548563263, 4.1262008708448876, 0.9448105281613888,4.298322066064294
00403195-5719104,4908130334850355584, 7.4287640775831800, 7.1873734353953971, 5.8757292541163908, 8.7443070947160617, 1.9991017772549680,-0.24139064218778383
00404231-5727224,4907937989034999936, 3.0252656744719100, 8.3870436611639541, 2.6892750460885297, 5.1558783914194253, 1.3068255038396708,5.361777986692044
00404967-5429124,4921482391740288640, 4.8536221907245096, 6.2514706794983859, 4.1310269768826746, 5.6499356362716844, 0.7007139875174511,1.3978484887738762
00493979-0341143,2528951205734935936, 4.3333032786188799, 7.0770398965406427, 2.8247272145170177, 6.0913852083816051, 1.6771664687242829,2.743736617921763
00495191-0336329,2528957940243654016, 3.4887164017445351, 7.8775576298475274, 2.7524244597882603, 4.4514496186744923, 0.9517207952966840,4.388841228102992
00495339-5003574,4926528359839472384, 5.9126910343405346, 6.0819846836506608, 4.7467461181231796, 6.5267257518376978, 0.8330346879916776,0.16929364931012536
00500588-0338569,2528956875091767424, 4.6558213061237996, 8.1444090104026774, 2.7592287562322309, 6.4718441775547557, 1.9128833745164608,3.4885877042788778
00503757-4955594,4926555607111946752, 7.3355400795695447, 6.3038042648703243, 6.5773000330762095, 7.7379594214882079, 0.6137426353693215,-1.0317358146992195
00581154-5736309,4907451077182892928, 6.2892001282708154, 7.3806829173144033, 5.8261591695467061, 6.6030455038733447, 0.4623798083208759,1.091482789043587
00590051-5725585,4907466229827493504, 2.6463265526470297, 7.4003193420457265, 2.6181824892185781, 2.6656315956653018, 0.0249375212005577,4.753992789398697
00593484-0051236,2535787900315708032, 5.7490066486862750,10.0429782680809456, 5.3383273943782230, 6.2989262486372084, 0.5109379174730216,4.293971619394669
00594724-5423317,4908923357612194176, 3.3431010457480799, 7.7094683455484097, 2.6279863707315858, 3.7328726283835292, 0.5300006635323627,4.36636729980033
00595442-4710232,4933100862393505408, 6.7918800630564444, 7.2671281016724887, 6.4441174843754458, 7.1865729913958214, 0.3808254365292792,0.47524803861604337
00595658-6005493,4903126663590581888, 2.9030911935010950, 7.3025787180543320, 2.7381254606190573, 3.0892640399772682, 0.1839867537765482,4.399487524553238
00595861-0102454,2535734608361505408,11.4607861669773499, 8.0987298998154422, 9.7273953651773208,13.1117103451934742, 1.9347285133516841,-3.362056267161906
01002634-4708587,4933100450076680448, 2.6651518538479499, 7.8013454676007497, 2.6247146765835030, 2.6902939183312204, 0.3263949385734297,5.136193613752799
01005623-5432459,4914909992266928512, 5.7465152937449950, 7.8882772786893431, 3.9101509235619871, 6.8968746239576060, 1.5696283553217023,2.141761984944347
01010241-5425490,4914923255125933824, 3.0350618565073750, 7.1453542811821489, 2.6551375801322226, 3.9146382060307761, 0.6260830513633309,4.110292424674774
01010442-5959133,4903134738129092608, 2.4510412630819047, 7.0460173224380949, 2.1814372945081217, 2.9210991037420699, 0.4061062467252919,4.59497605935619
01010803-5427124,4914912912844686080, 4.1100202033723550, 8.5031459283167141, 2.6958043988278764, 4.9277782603507383, 0.9668813195247840,4.393125724944359
01011772-5425173,4914913015923899008, 2.7384437589737898, 6.9453403012811012, 2.6593307037075657, 4.1290144834820230, 0.6700196254188726,4.206896542307311
01091795-5007289,4928921927933526400, 4.8210433858883102, 7.1991849995445616, 4.0993401115695454, 6.1677667549057960, 1.0897582814658486,2.3781416136562514
01093066-5014272,4928917255009110656, 5.6618249677074450, 9.2258805764538927, 4.2347112396239766, 7.6010289368047630, 1.5387576254082411,3.564055608746446
01095494-0334283,2531246367537026304, 4.7065403631508946, 7.5851264662608164, 4.0639066940197344, 5.2005141518103493, 0.5868122021755739,2.878586103109921
01102885-0336060,2531222075202019456, 2.6721077564659250, 7.0390597876064849, 2.6340268280676100, 4.0030418784170276, 0.6039107922303590,4.36695203114056
01185679-5736597,4910230402060260864, 4.5869674765172999, 7.8899486278549498, 3.9292549013035671, 5.1606912347902671, 0.5723778700370874,3.302981151337651
01190103-5429522,4914301275141990272, 2.6646838718781050, 7.6755112612730336, 2.6299355914701890, 2.6758621661152562, 0.1347413982065087,5.010827389394929
01190701-5431460,4914300931544608640, 2.6780143914440351, 7.3898201312999117, 2.6359835928850441, 3.8868922095010090, 0.6248399593113958,4.711805739855876
01194465-5737174,4910227859439545216, 4.9323220000366597, 6.8127297720139310, 4.0160600932558479, 5.6334631739785603, 0.7106343558362910,1.8804077719772714
01201985-4704083,4933809016601725824, 2.6474921128101201, 4.9277256228891710, 2.6253529391738599, 2.6654092831619147, 0.0226871280891875,2.280233510079051
01202905-4655144,4933813964404047488, 1.8819076803649750, 8.8248654394894395, 1.3654756309414111, 2.5240481657492069, 0.5165053930666630,6.942957759124463
01204131-6005158,4716839466513310208, 2.6312882037244800, 6.9825138628466403, 2.5960208620578600, 2.6839025536124232, 0.0505485382205954,4.351225659122161
