R_kpc,Vc_kms,Vc_err_kms,selection,source,doi
9.5,221.3,2.5,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
10.5,222.6,2.4,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
11.5,220.5,2.4,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
12.5,222.9,2.4,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
13.5,224.1,2.2,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
14.5,220.7,2.3,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
15.5,218.1,2.3,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
16.5,215.5,2.4,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
17.5,213.0,2.6,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
18.5,209.4,2.9,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
19.5,205.4,3.1,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
20.5,201.8,2.7,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
21.5,198.4,3.3,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
22.5,194.3,3.5,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
23.5,193.7,2.4,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
24.5,194.4,2.1,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
25.5,178.5,7.4,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
26.5,175.5,5.8,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
27.5,175.3,7.7,"160<l<200 deg; |Z|<3 kpc","Wang et al. 2023 ApJ 942:12","10.3847/1538-4357/aca27c"
