NAME,GL,GB,DIST,DIST_ERR,PX,PX_ERR,accel_source,has_binary_orbital_accel,has_spin_inferred_accel,ALOS_PB,ALOS_PB_ERR,ALOS_PS,ALOS_PS_ERR,ALOS_USE_mm_s_yr,ALOS_USE_ERR_mm_s_yr,aGal_1e10_m_s2,aGal_err_1e10_m_s2,x_moranlike_kpc,y_moranlike_kpc,z_moranlike_kpc,X_mwm_kpc,Y_mwm_kpc,Z_mwm_kpc,R_gal_kpc,phi_mwm_deg,duplicate_sky_location,sky_key,BSURF,CHAR_AGE
J0030+0451,113.141,-57.611,0.324,0.006,3.09,0.06,spin_inferred,0,1,,,-0.4769475599,0.5324964178,-0.4769475599,0.5324964178,-0.1511355616079803,0.16873793247902247,8.278206427313139,0.15959118280968496,-0.2735955731414222,-8.278206427313139,0.15959118280968496,-0.2735955731414222,8.279744621595473,178.89556164740736,0,113.141|-57.611|0.324,223523589.1,2.43e+17
J0125-2327,188.932,-81.569,0.543,0.032,1.84,0.11,spin_inferred,0,1,,,8.386202387,1.266725949,8.386202387,1.266725949,2.657427176654752,0.40140123108221154,8.288648261262534,-0.012360995610967087,-0.5371318802565028,-8.288648261262534,-0.012360995610967087,-0.5371318802565028,8.288657478334047,180.08544606209873,0,188.932|-81.569|0.543,182861786.8,2.07e+17
J0218+4232,139.508,-17.527,3.15,0.85,0.16,0.09,binary_orbital,1,0,4.544793156,1.365747581,,,4.544793156,1.365747581,1.4401580462392576,0.4327792927852561,10.494350669497248,1.9504682325655758,-0.948638863066448,-10.494350669497248,1.9504682325655758,-0.948638863066448,10.67406774854951,169.4712076150347,0,139.508|-17.527|3.15,424880151.2,1.53e+16
J0340+4130,153.783,-11.022,1.429,0.816,0.7,0.4,spin_inferred,0,1,,,2.244767907,0.6700164215,2.244767907,0.6700164215,0.7113240255912997,0.21231539201333433,9.46834708168395,0.6196473524125442,-0.27320464978769,-9.46834708168395,0.6196473524125442,-0.27320464978769,9.488601546096497,176.25566936177984,0,153.783|-11.022|1.429,152839457.2,2.39e+17
J0437-4715,253.394,-41.963,0.157,0.002,6.4,0.05,binary_orbital,1,1,-0.5611459307,0.920054578,-0.3943517387,1.055823384,-0.5611459307,0.920054578,-0.177816415285066,0.29154770261363344,8.243363419382291,-0.11187257324754982,-0.10497813868655241,-8.243363419382291,-0.11187257324754982,-0.10497813868655241,8.2441225085909,180.77752641620557,0,253.394|-41.963|0.157,284886158.2,2.09e+17
J0613-0200,210.413,-9.305,1.02,0.09,0.86,0.17,binary_orbital,1,1,1.239267425,0.7709218836,5.680056465,0.7550533088,1.239267425,0.7709218836,0.39270014988465535,0.24429040345273403,9.078072072503595,-0.5095596504382415,-0.16492373869328478,-9.078072072503595,-0.5095596504382415,-0.16492373869328478,9.092361826881092,183.21268801014017,0,210.413|-9.305|1.02,165772730.1,1.75e+17
J0645+5158,163.963,20.251,1.22,0.253,0.82,0.17,spin_inferred,0,1,,,-4.366579563,0.4208307856,-4.366579563,0.4208307856,-1.3836855663928815,0.13335322888939588,9.31004277257906,0.3162011175301181,0.4222827864941732,-9.31004277257906,0.3162011175301181,0.4222827864941732,9.315410864475,178.05478570880928,0,163.963|20.251|1.22,175813263.6,1.3e+18
J0737-3039A,245.236,-4.505,1.15,0.22,0.87,0.14,binary_orbital,1,0,-0.4888098616,18.2143155,,,-0.4888098616,18.2143155,-0.15489449818744136,5.771768290364286,8.690225607068907,-1.0410207574784691,-0.0903280068099342,-8.690225607068907,-1.0410207574784691,-0.0903280068099342,8.752356558050934,186.83103291269146,1,245.236|-4.505|1.15,6393807689.0,6453250000000000.0
J0737-3039B,245.236,-4.505,1.15,0.22,0.87,0.14,binary_orbital,1,0,-0.4888098616,18.2143155,,,-0.4888098616,18.2143155,-0.15489449818744136,5.771768290364286,8.690225607068907,-1.0410207574784691,-0.0903280068099342,-8.690225607068907,-1.0410207574784691,-0.0903280068099342,8.752356558050934,186.83103291269146,1,245.236|-4.505|1.15,1591506627464.0,1554880000000000.0
J0740+6620,149.73,29.599,1.15,0.16,0.5,0.3,binary_orbital,1,1,-1.137339625,7.128393678,21.26660127,3.936712695,-1.137339625,7.128393678,-0.3604011791137476,2.258851648414328,9.073598353991287,0.5040397342150048,0.5680156946035984,-9.073598353991287,0.5040397342150048,0.5680156946035984,9.087587311449663,176.82047873965223,0,149.73|29.599|1.15,-999.0,-5.32e+17
