pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi
B1259-63,6661.5,-2150.5,-27.9,391,196,0,1,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
B1913+16,5486.2,3137.1,165.9,-4.74,0.15,1,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J0348+0432,9403.9,-74.6,-933.8,-5.4,18.2,0,1,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J0751+1807,9325.5,-504.7,527.6,-0.80,2.90,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1017-7156,7620.6,-1270.9,-284.8,1.09,1.71,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1022+1001,8450.4,-419.4,683.2,-0.643,0.320,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1125-6014,7547.9,-1385.6,42.7,-0.43,1.75,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1455-3330,7509.1,-343.2,310.8,1.72,1.01,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1600-3053,6838.9,-365.4,411.2,0.708,0.242,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1603-7202,7749.3,-352.4,-112.8,0.815,0.252,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1614-2230,7479.1,-83.0,257.3,0.984,0.653,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1713+0747,7081.5,570.0,576.4,-0.275,0.052,1,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1738+0333,6653.6,770.9,547.3,0.062,1.03,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1741+1351,6799.8,1027.4,681.2,67.5,18.8,1,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1909-3744,7049.0,-5.0,-364.3,0.246,0.101,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J1933-6211,7173.3,-454.6,-556.6,-1.27,0.425,1,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J2043+1711,7396.6,1361.5,-403.6,323,194,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J2129-5721,7720.0,-162.8,-393.8,7.14,0.70,1,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J2145-0750,7813.8,340.8,-395.5,-0.117,0.105,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J2222-0137,8035.2,164.2,-172.5,-0.294,0.125,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J2234+0611,7920.4,664.3,-627.7,-1.71,2.72,0,0,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
J2339-0533,8025.1,657.9,-1256.5,23.2,15.7,0,1,"Moran et al. 2024 Phys Rev D 109 123015","10.1103/PhysRevD.109.123015"
