redshift,lookback_time_gyr,stellar_mass_1e10_msun,Reff_current_radius_kpc,Reff_birth_radius_kpc,SFR_msun_per_yr,ISM_metallicity_gradient_dex_per_kpc,source,doi
0.05,0.70,4.77,4.37,3.84,0.30,-0.069,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
0.25,3.03,4.57,4.15,3.69,5.74,-0.083,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
0.50,5.19,3.84,3.69,3.32,6.51,-0.088,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
0.75,6.76,3.18,3.54,3.09,8.95,-0.084,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
1.00,7.93,2.58,3.47,2.94,10.61,-0.112,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
1.50,9.52,1.58,3.24,2.49,10.80,-0.148,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
2.00,10.51,0.95,3.09,2.26,9.75,-0.144,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
2.50,11.18,0.66,3.02,2.19,8.69,-0.142,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
3.00,11.65,0.42,3.02,2.19,7.11,-0.139,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
4.00,12.25,0.24,2.94,2.04,4.97,-0.135,"Ratcliffe et al. 2026 A&A 706 A103 Table A.1","10.1051/0004-6361/202557057"
