Z_Height,Z_Max,Z_Period_Avg,Radial_Period_Avg,Fe_H_ASPCAP,Fe_H,Fe_H_ERR
0.0049,0.0084,82.65,174.268,-0.0331,-0.0331,0.02
-0.0933,0.0966,86.69,176.216,0.0266,0.0266,0.02
-0.0755,0.0826,84.45,173.851,0.0892,0.0892,0.02
-0.018,0.0627,79.16,166.407,0.1526,0.1526,0.02
0.1459,0.1464,75.737,153.283,0.1276,0.1276,0.02
0.0947,0.1077,97.458,191.808,0.1236,0.0467,0.02
-0.0053,0.0172,80.884,171.176,0.2352,0.2352,0.02
0.0211,0.0384,83.535,174.97,0.0007,0.0007,0.02
0.1186,0.171,95.181,181.5,0.0907,0.0907,0.02
0.0315,0.0359,59.957,132.242,0.1961,0.1961,0.02
0.0434,0.0856,81.272,168.362,0.0205,0.0205,0.02
0.3903,0.4327,160.271,230.48,-0.1073,-0.1073,0.02
0.4382,0.6162,239.823,287.077,-0.2156,-0.2156,0.0289
-0.1847,1.7221,258.739,253.245,-0.1729,-0.1729,0.0298
0.5307,1.3011,326.172,315.847,-0.3672,-0.3672,0.032
-0.3767,1.1181,338.588,332.059,-0.3509,-0.3509,0.02
-0.2507,0.2852,180.995,268.291,-0.1889,-0.1886,0.0316
-2.5662,2.4607,374.55,323.471,-0.4753,-0.4193,0.02
-0.2405,0.3131,217.81,299.684,-0.2326,-0.2326,0.0304
-0.8392,0.8541,254.293,282.462,-0.3146,-0.3146,0.0472
0.2514,0.4017,209.196,281.0,-0.3121,-0.3121,0.02
1.7997,1.5717,430.404,386.0,-0.5102,-0.5102,0.02
0.6792,0.64,238.594,284.0,-0.425,-0.425,0.0217
0.2637,0.2279,108.787,194.78,-0.3385,-0.3385,0.02
-0.4376,0.4964,245.126,301.865,-0.329,-0.329,0.02
-0.0149,0.4204,180.114,251.156,-0.1639,-0.1639,0.02
0.7229,0.9885,177.144,207.125,-0.168,-0.1805,0.0411
0.1834,0.2204,66.28,128.407,0.1615,0.1615,0.02
0.2444,0.2893,117.84,198.284,-0.123,-0.1143,0.0208
0.413,0.9501,266.614,287.012,-0.3559,-0.3004,0.02
0.045,0.0723,143.341,254.2,-0.2236,-0.2142,0.02
0.122,0.3539,131.944,207.652,-0.1572,-0.1572,0.02
0.0863,0.1021,133.793,240.417,-0.2455,-0.2455,0.0247
-1.5792,1.4787,285.512,278.842,-0.408,-0.408,0.02
0.354,0.3377,139.78,218.528,-0.0906,-0.0906,0.02
0.0793,0.0865,68.93,146.788,0.0545,0.0646,0.0407
-0.0647,0.3151,124.713,203.395,-0.0802,-0.0802,0.02
-0.3227,0.5511,122.458,177.205,-0.0251,-0.0251,0.02
0.0207,0.0284,98.137,198.414,-0.0107,-0.0107,0.02
0.0042,0.1393,88.79,175.306,-0.1168,-0.1168,0.02
-0.2581,0.5261,97.996,147.886,-0.0035,-0.0035,0.02
0.114,0.1956,84.414,162.042,-0.0306,-0.0306,0.02
-0.2586,0.2833,110.85,189.713,-0.0408,-0.0408,0.02
0.1171,0.1262,143.238,249.261,-0.164,-0.164,0.02
0.0631,1.2187,242.667,254.855,-0.3179,-0.3311,0.0233
0.0876,0.2153,153.105,248.62,-0.2424,-0.3342,0.02
0.5141,0.4695,191.087,257.722,-0.3816,-0.3816,0.02
-0.0015,0.131,129.944,232.541,-0.0701,-0.0701,0.02
0.0989,0.1443,134.239,236.302,-0.0276,-0.0276,0.0224
0.0538,0.0565,83.12,173.448,-0.1186,-0.1177,0.02
0.1366,0.1561,141.77,244.383,-0.1758,-0.1758,0.02
0.0095,0.0755,96.163,192.5,-0.035,-0.035,0.02
0.2553,0.4357,185.798,255.233,-0.3362,-0.3362,0.02
0.1007,0.2416,116.748,202.561,-0.0951,-0.0951,0.02
0.0887,0.8426,261.295,287.988,-0.2821,-0.2821,0.02
-0.184,0.2061,173.176,271.393,-0.2802,-0.2802,0.02
0.0351,0.1875,119.137,212.336,-0.4313,-0.4313,0.02
0.1382,0.1476,156.813,261.523,-0.2132,-0.2132,0.02
0.7471,0.9396,236.51,261.58,-0.2648,-0.2489,0.02
0.2424,0.6217,219.436,268.849,-0.3477,-0.3477,0.02
-0.0492,0.0494,68.272,147.823,0.0964,0.0964,0.02
-0.2903,0.3207,173.94,257.022,-0.1727,-0.1727,0.02
0.0454,0.1257,158.642,266.386,-0.2496,-0.2496,0.02
-0.0226,0.1428,73.618,149.949,0.0496,0.0496,0.02
-0.0019,0.0069,87.789,182.773,-0.1039,-0.1039,0.0289
0.0134,1.0857,308.2,312.893,-0.098,-0.098,0.0404
0.3809,0.4388,140.997,209.073,-0.1735,-0.1735,0.02
0.0669,0.0723,70.364,150.391,0.0094,0.0473,0.02
0.0739,0.0762,95.642,192.15,-0.0417,-0.0417,0.02
-0.0554,0.0718,123.385,230.2,-0.1863,-0.1863,0.02
-0.0307,0.0549,109.35,212.852,-0.0999,-0.0999,0.02
-0.5221,0.853,302.728,321.069,-0.176,-0.176,0.02
0.3715,0.3492,130.704,206.804,-0.0096,-0.036,0.0392
-0.1665,0.1779,116.01,209.473,-0.152,-0.152,0.028
0.0212,0.1464,88.112,173.508,0.0427,0.0427,0.02
-0.0285,0.1094,121.934,225.137,-0.1557,-0.1713,0.0301
0.3332,0.3292,181.836,263.818,-0.2187,-0.2187,0.02
0.1053,0.1537,89.633,175.106,-0.0053,-0.0053,0.0343
0.0021,0.0143,75.21,161.528,-0.0122,-0.0163,0.0514
-0.0301,0.0798,74.946,158.068,0.0126,0.0176,0.0333
0.0031,0.0711,78.204,164.373,0.0236,0.0181,0.0467
0.1923,0.307,142.616,225.779,-0.1369,-0.1369,0.0233
0.2764,0.379,162.083,239.062,-0.2295,-0.142,0.0298
-1.02,1.1534,246.116,260.17,-0.3379,-0.344,0.02
-0.4689,0.4621,152.014,218.359,-0.0818,-0.0818,0.0263
-0.0868,0.0936,150.816,261.045,-0.2268,-0.2268,0.02
-0.1605,0.1859,106.932,196.559,0.0272,0.0272,0.02
0.0134,0.1098,90.696,181.422,-0.0431,-0.0431,0.02
0.4656,0.9925,279.805,294.026,-0.2747,-0.2636,0.0208
-0.3805,0.4244,146.594,217.198,-0.1378,-0.1378,0.02
0.0913,0.1216,131.377,235.296,-0.1826,-0.1826,0.02
0.6694,0.7748,151.256,192.85,0.0805,0.0805,0.0405
-0.2163,0.2478,84.439,156.02,-0.1269,-0.1435,0.02
0.0336,0.1215,104.155,199.879,-0.096,-0.096,0.02
0.0366,0.0455,89.545,184.286,-0.0953,-0.1025,0.02
0.1653,0.4494,179.576,247.707,-0.2362,-0.2369,0.0246
0.0584,0.1717,100.875,189.688,-0.0296,-0.0283,0.0375
-1.0801,1.1484,217.471,235.592,-0.2789,-0.2738,0.0275
-0.0191,0.0452,82.573,173.088,-0.1015,-0.1015,0.02
-0.0457,0.0533,115.841,221.683,-0.1499,-0.1499,0.02
-1.1246,1.2895,273.964,279.195,-0.455,-0.455,0.0248
-0.0294,0.054,105.478,207.402,0.0173,0.0173,0.02
0.6245,0.6006,176.106,230.92,-0.1797,-0.199,0.02
-0.0856,0.1901,107.348,196.856,-0.0514,-0.0514,0.02
0.2724,0.3044,169.544,254.633,-0.1954,-0.1954,0.02
0.4225,0.7012,173.559,220.264,-0.1516,-0.1516,0.02
0.8961,0.8745,169.779,206.143,-0.1799,-0.176,0.0275
0.0811,0.0827,83.953,173.015,-0.0107,-0.0107,0.0537
0.0247,0.0813,95.262,190.82,-0.0997,-0.0997,0.02
0.169,0.2594,104.407,183.914,-0.0272,-0.0272,0.02
0.1194,0.121,81.507,165.6,0.0686,0.1626,0.0487
0.4924,0.5863,124.184,176.341,0.0079,0.0088,0.0369
0.2125,0.2628,77.124,142.5,0.2086,0.2086,0.02
0.0628,0.0749,124.781,233.204,-0.147,-0.147,0.02
0.2113,0.2182,160.323,256.167,-0.2402,-0.2154,0.02
-0.0907,0.0914,56.274,121.608,0.109,0.109,0.032
-0.0784,0.0846,57.949,125.532,-0.064,-0.064,0.02
0.8177,0.8143,102.207,133.653,0.3056,0.3049,0.0349
0.2614,0.302,108.625,185.04,-0.0246,-0.0467,0.02
0.4269,0.5514,116.332,169.601,0.0372,0.039,0.0307
0.1877,0.2174,105.415,190.725,0.0175,0.0175,0.02
-0.0983,0.168,90.758,175.119,-0.0083,-0.0083,0.02
-0.1342,0.1402,115.319,213.148,-0.1822,-0.1822,0.02
-0.1695,0.2524,92.125,167.243,-0.0106,-0.0047,0.0411
-0.1734,0.1742,88.004,170.333,-0.0032,0.0343,0.02
0.0694,0.0758,87.456,179.2,-0.0287,-0.0287,0.02
0.0177,0.0186,80.908,171.174,-0.0041,-0.0041,0.02
-0.0718,0.1182,65.761,138.059,0.1293,0.1293,0.02
-0.0688,0.1562,76.281,153.092,0.0816,0.0816,0.02
-0.0514,0.2347,85.722,159.836,0.105,0.1071,0.0269
-0.2043,0.2319,115.074,201.789,-0.1156,-0.1156,0.02
0.0017,0.0094,84.0,176.424,-0.0301,-0.0301,0.02
0.0251,0.0905,86.088,175.848,-0.236,-0.236,0.0213
-0.0164,0.094,61.414,131.809,0.0763,0.0763,0.02
0.0002,0.0263,67.233,146.775,0.1401,0.1401,0.02
0.0276,0.4134,163.781,235.775,-0.2178,-0.2178,0.02
-0.0388,0.0442,112.966,218.679,-0.1189,-0.1189,0.02
0.0822,0.1348,143.61,248.196,-0.266,-0.266,0.02
0.2663,0.3503,144.659,222.577,-0.1352,-0.1352,0.0292
0.1113,0.1121,78.138,160.792,0.5328,0.4936,0.0241
