Cluster,SDSS_ID,RV_Prob
b'ASCC_123',65715684,1.0
b'ASCC_19',75863939,0.947
b'ASCC_19',75865628,1.0
b'ASCC_21',75997225,1.0
b'ASCC_99',83851784,1.0
b'Alessi_19',89511374,0.788
b'Alessi_2',116457320,0.979
b'Alessi_2',116449998,0.945
b'Alessi_20',54398490,1.0
b'Alessi_21',73941415,1.0
b'Alessi_62',89921736,1.0
b'BH_211',105630676,0.818
b'BH_211',105630687,0.818
b'BH_56',96683850,0.758
b'Berkeley_10',55090097,0.0
b'Berkeley_10',55090100,0.0
b'Berkeley_10',55090145,1.0
b'Berkeley_13',116355864,0.989
b'Berkeley_13',116355869,0.989
b'Berkeley_17',77775404,0.977
b'Berkeley_17',77775338,0.954
b'Berkeley_17',77775392,0.758
b'Berkeley_17',77775394,0.836
b'Berkeley_17',77775400,0.911
b'Berkeley_17',77775373,0.938
b'Berkeley_17',77776012,0.717
b'Berkeley_17',77775289,0.434
b'Berkeley_18',115940879,0.022
b'Berkeley_18',115943702,0.986
b'Berkeley_18',115940810,0.895
b'Berkeley_18',115940866,0.719
b'Berkeley_18',115940873,0.109
b'Berkeley_18',115940799,0.992
b'Berkeley_18',115940899,0.887
b'Berkeley_18',115940902,0.516
b'Berkeley_18',115940981,0.476
b'Berkeley_18',115941011,0.998
b'Berkeley_18',115941014,0.08
b'Berkeley_18',115941015,0.482
b'Berkeley_18',115941021,0.0
b'Berkeley_18',115941024,0.0
b'Berkeley_18',115941028,0.0
b'Berkeley_18',115941039,0.004
b'Berkeley_18',115941045,0.068
b'Berkeley_18',115941050,0.955
b'Berkeley_18',115940789,0.829
b'Berkeley_18',115941084,0.83
b'Berkeley_18',115940658,0.97
b'Berkeley_18',115940686,0.992
b'Berkeley_18',115940729,0.299
b'Berkeley_18',115940743,0.747
b'Berkeley_18',115940748,0.004
b'Berkeley_18',115940771,0.747
b'Berkeley_18',115940769,0.942
b'Berkeley_18',115940763,0.85
b'Berkeley_19',77771491,1.0
b'Berkeley_2',54475296,0.993
b'Berkeley_2',54475290,0.0
b'Berkeley_2',54475176,0.828
b'Berkeley_2',54475319,0.999
b'Berkeley_2',54475174,0.86
b'Berkeley_20',75871950,1.0
b'Berkeley_20',75871949,0.0
b'Berkeley_20',75870415,0.0
b'Berkeley_21',77484410,0.978
b'Berkeley_21',77484391,0.922
b'Berkeley_21',77484418,1.0
b'Berkeley_21',77484440,0.865
b'Berkeley_22',76422199,0.869
b'Berkeley_22',76422197,0.593
b'Berkeley_22',76422194,0.708
b'Berkeley_27',75021836,1.0
b'Berkeley_29',76846342,0.993
b'Berkeley_29',76846352,0.993
b'Berkeley_31',75385069,0.782
b'Berkeley_31',75385068,0.782
b'Berkeley_32',75030240,1.0
b'Berkeley_33',72992020,0.621
b'Berkeley_33',72991813,0.996
b'Berkeley_33',72992015,0.527
b'Berkeley_36',73676007,0.481
b'Berkeley_36',73675932,0.997
b'Berkeley_36',73676013,1.0
b'Berkeley_36',73676024,0.675
b'Berkeley_36',73676003,0.795
b'Berkeley_39',74085293,0.999
b'Berkeley_39',74085199,0.781
b'Berkeley_39',74085163,0.576
b'Berkeley_39',74085115,0.781
b'Berkeley_39',74085014,0.803
b'Berkeley_44',89863091,1.0
b'Berkeley_53',68176889,0.0
b'Berkeley_53',68175999,0.242
b'Berkeley_53',68176892,0.558
b'Berkeley_53',68175953,0.932
b'Berkeley_53',68175984,0.986
b'Berkeley_64',55349982,1.0
b'Berkeley_66',54827904,0.99
b'Berkeley_66',54827857,0.221
b'Berkeley_66',54827898,0.966
b'Berkeley_66',54827878,0.933
b'Berkeley_67',116351499,0.835
b'Berkeley_67',116351490,1.0
b'Berkeley_71',77792528,0.714
b'Berkeley_71',77792523,0.985
b'Berkeley_71',77790087,0.0
b'Berkeley_71',77792549,1.0
b'Berkeley_71',77792543,0.462
b'Berkeley_71',77792530,0.985
b'Berkeley_71',77790034,0.0
b'Berkeley_75',72590914,0.001
b'Berkeley_75',72590614,0.952
b'Berkeley_75',72590910,0.931
b'Berkeley_77',74142594,1.0
b'Berkeley_85',66844309,0.986
b'Berkeley_85',66844313,0.869
b'Berkeley_85',66844299,0.82
b'Berkeley_85',66844651,0.995
b'Berkeley_85',66844358,0.82
b'Berkeley_85',66844277,0.918
b'Berkeley_85',66834948,0.791
b'Berkeley_85',66844264,0.27
b'Berkeley_85',66844205,0.85
b'Berkeley_85',66844380,0.848
b'Berkeley_9',54626297,1.0
b'Berkeley_98',65692285,0.0
b'Berkeley_98',65692272,0.995
b'Berkeley_98',65692208,0.995
b'Berkeley_98',65692291,0.0
b'Berkeley_98',65692352,0.0
b'COIN-Gaia_25',77058560,1.0
b'Collinder_220',97064226,1.0
b'Collinder_261',102941602,0.982
b'Collinder_261',102941854,0.985
b'Collinder_261',102941612,0.869
b'Collinder_261',102941656,0.0
b'Collinder_261',102941571,1.0
b'Collinder_261',102941492,0.938
b'Collinder_350',89323542,0.829
b'Collinder_350',88579016,0.528
b'Czernik_18',115550233,0.896
b'Czernik_18',115549182,0.966
b'Czernik_20',115690218,0.954
b'Czernik_20',115690577,0.791
b'Czernik_20',115690611,0.791
b'Czernik_21',115649995,0.841
b'Czernik_21',115649970,0.997
b'Czernik_21',115649965,0.0
b'Czernik_23',77727184,1.0
b'Czernik_30',73728343,1.0
b'Czernik_30',73727387,0.962
b'Czernik_30',73727306,0.916
b'Czernik_9',54871728,1.0
b'FSR_0494',54514446,0.967
b'FSR_0494',54514480,0.865
b'FSR_0494',54515982,0.441
b'FSR_0494',54514432,0.984
b'FSR_0496',54516135,0.87
b'FSR_0553',55295867,1.0
b'FSR_0667',116253190,0.791
b'FSR_0667',116253295,0.791
b'FSR_0716',115904274,1.0
b'FSR_0893',77077614,1.0
b'FSR_0941',76987348,1.0
b'FSR_0942',76672218,1.0
b'FSR_0951',76982746,1.0
b'FSR_0974',76806927,1.0
b'FSR_1083',75150059,0.835
b'FSR_1083',75150037,0.835
b'FSR_1113',74749521,1.0
b'FSR_1595',96708452,1.0
b'Haffner_4',72837930,1.0
b'Haffner_6',73673988,0.996
b'Haffner_6',73674164,0.553
b'Haffner_6',73674166,0.77
b'Harvard_10',104606990,1.0
b'Harvard_10',104595151,0.999
b'Harvard_10',104606741,0.66
b'IC_1369',68060690,0.0
b'IC_1369',68060811,0.999
b'IC_1369',68060923,0.974
b'IC_1369',68060794,0.962
b'IC_166',55270519,0.846
b'IC_166',55270561,0.639
b'IC_166',55270614,0.738
b'IC_166',55270620,0.0
b'IC_166',55270749,0.882
b'IC_166',55270622,0.935
b'IC_166',55270732,0.422
b'IC_166',55270647,0.408
b'IC_166',55270884,0.005
b'IC_166',55270882,0.0
b'IC_166',55270879,0.881
b'IC_166',55270724,0.07
b'IC_166',55270695,0.864
b'IC_166',55270683,0.963
b'IC_166',129056096,0.026
b'IC_166',55270788,0.698
b'IC_166',55270649,0.812
b'IC_166',55270967,0.313
b'IC_166',55270776,0.921
b'IC_166',55270510,0.602
b'IC_166',55270492,0.866
b'IC_166',55270434,0.938
b'IC_166',55270413,0.73
b'IC_166',55270405,0.968
b'IC_166',55270368,0.706
b'IC_166',55224847,0.684
b'IC_361',54926937,1.0
b'IC_4756',87503341,0.899
b'King_1',54517621,0.965
b'King_1',54517400,0.965
b'King_1',54515608,0.885
b'King_13',54488964,1.0
b'King_15',54501158,1.0
b'King_2',54415707,1.0
b'King_23',74764205,0.988
b'King_23',74764333,0.987
b'King_23',74764542,0.987
b'King_23',74764334,0.0
b'King_5',54649578,1.0
b'King_5',54649618,0.019
b'King_6',54677152,1.0
b'King_7',116255383,0.99
b'King_7',116255363,0.885
b'King_7',116255323,0.964
b'King_7',116255304,0.914
b'King_8',77870473,1.0
b'Melotte_111',80837133,0.891
b'Melotte_111',80838221,0.761
b'Melotte_111',80834688,0.985
b'Melotte_111',80835158,0.347
b'Melotte_111',80836202,0.941
b'Melotte_111',80584511,0.802
b'Melotte_111',61464442,0.681
b'Melotte_20',54613083,0.999
b'Melotte_20',54570181,0.492
b'Melotte_20',54614009,1.0
b'Melotte_20',54564622,0.715
b'Melotte_20',54564438,0.976
b'Melotte_20',54615057,0.956
b'Melotte_22',115036050,0.887
b'Melotte_22',115036514,0.526
b'Melotte_22',115036630,0.622
b'Melotte_22',115036685,0.491
b'Melotte_22',115036715,0.997
b'Melotte_22',115036748,0.452
b'Melotte_22',115036254,0.461
b'Melotte_22',115036243,0.316
b'Melotte_22',115036195,0.997
b'Melotte_22',115035915,0.849
b'Melotte_22',115036352,0.922
b'Melotte_22',115036486,0.24
b'Melotte_22',115036443,0.63
b'Melotte_22',115034894,0.815
b'Melotte_22',115034955,0.276
b'Melotte_22',115034966,0.893
b'Melotte_22',115032090,0.435
b'Melotte_22',115035542,0.888
b'Melotte_22',115035796,0.402
b'Melotte_22',115035809,0.997
b'Melotte_22',115035434,0.937
b'Melotte_22',115035095,0.994
b'Melotte_22',115052315,0.88
b'Melotte_22',115051803,0.972
b'Melotte_22',115050955,0.784
b'Melotte_22',115051051,0.31
b'Melotte_22',115051460,0.688
b'Melotte_22',115058535,0.155
b'Melotte_22',115058690,0.53
b'Melotte_22',115058719,0.95
b'Melotte_22',115044185,0.978
b'Melotte_22',115044314,0.65
b'Melotte_22',115042737,0.961
b'Melotte_22',115042882,0.961
b'Melotte_22',115042891,0.47
b'Melotte_22',115042989,1.0
b'Melotte_22',115043027,0.972
b'Melotte_22',115043266,0.702
b'Melotte_22',115042990,0.997
b'Melotte_22',115044761,0.956
b'Melotte_22',115044623,0.769
b'Melotte_22',115044880,1.0
b'Melotte_25',77360726,0.389
b'Melotte_25',77382294,0.892
b'Melotte_25',77370968,0.408
b'Melotte_25',77381723,0.609
b'Melotte_25',77357468,0.454
b'Melotte_25',76339825,0.887
b'Melotte_25',76339605,0.778
b'Melotte_25',76323599,0.475
b'Melotte_25',76345817,0.996
b'Melotte_25',76351435,0.982
b'Melotte_25',76351232,0.994
b'Melotte_25',76346819,1.0
b'Melotte_25',76346178,0.8
b'Melotte_25',114972523,0.973
b'Melotte_25',114962801,0.0
b'Melotte_25',114970957,0.901
b'Melotte_25',115407075,0.947
b'Melotte_25',115041860,0.001
b'Melotte_25',115042793,0.0
b'Melotte_25',115397503,0.999
b'Melotte_25',114992140,0.0
b'Melotte_25',115425231,0.36
b'Melotte_25',115400456,0.762
b'Melotte_71',73698121,0.819
b'Melotte_71',73698009,0.642
b'Melotte_71',73697875,0.994
b'Melotte_71',73697863,0.096
b'Melotte_71',73697810,0.997
b'Melotte_71',73697795,1.0
b'Melotte_71',73696507,0.0
b'Melotte_72',73804477,0.958
b'Melotte_72',73805546,0.985
b'Melotte_72',73805589,0.885
b'NGC_1193',54543414,0.987
b'NGC_1193',54543421,0.834
b'NGC_1193',54543437,0.891
b'NGC_1245',54560740,0.984
b'NGC_1245',54560666,0.229
b'NGC_1245',54560612,0.938
b'NGC_1245',54560504,0.712
b'NGC_1245',54560651,0.187
b'NGC_1245',54560492,0.987
b'NGC_1245',54560566,0.817
b'NGC_1245',54560509,0.397
b'NGC_1245',54560463,0.559
b'NGC_1245',54560569,0.0
b'NGC_1245',54560427,0.576
b'NGC_1245',54560422,0.982
b'NGC_1245',54560321,0.261
b'NGC_1245',54560268,0.736
b'NGC_1245',54560264,0.992
b'NGC_1245',54560673,0.983
b'NGC_1245',54560522,0.984
b'NGC_1245',54560520,0.985
b'NGC_1245',54558657,0.993
b'NGC_1245',54558646,0.37
b'NGC_1245',54558634,0.475
b'NGC_1245',54558569,0.983
b'NGC_136',54500081,1.0
b'NGC_1647',77380216,0.867
b'NGC_1664',115908092,1.0
b'NGC_1798',115983412,0.811
b'NGC_1798',115981417,0.993
b'NGC_1798',115983505,0.668
b'NGC_1798',115983515,0.634
b'NGC_1798',115981423,0.792
b'NGC_1798',115983482,0.832
b'NGC_1798',115983448,0.065
b'NGC_1798',115983496,0.992
b'NGC_1817',77249047,0.001
b'NGC_1817',77255639,0.998
b'NGC_1817',77256527,1.0
b'NGC_1817',77256814,0.796
b'NGC_1817',77256850,0.973
b'NGC_1817',77257078,0.986
b'NGC_1857',115690146,1.0
b'NGC_188',55749554,0.694
b'NGC_188',55749579,0.899
b'NGC_188',55746877,1.0
b'NGC_188',55749604,0.858
b'NGC_188',55746950,0.861
b'NGC_188',55749720,0.809
b'NGC_188',55749651,0.963
b'NGC_188',55748901,0.996
b'NGC_188',55746994,0.811
b'NGC_188',55747904,0.925
b'NGC_188',55748880,0.261
b'NGC_188',55748126,0.986
b'NGC_188',55748875,0.927
b'NGC_188',55748836,0.887
b'NGC_188',55749649,0.999
b'NGC_188',55747958,0.89
b'NGC_188',55749627,0.315
b'NGC_188',55749632,0.819
b'NGC_188',55748815,0.996
b'NGC_188',55747962,0.858
b'NGC_188',55747988,0.921
b'NGC_188',55747920,0.997
b'NGC_188',55749829,0.533
b'NGC_188',55748937,0.766
b'NGC_188',55749460,0.763
b'NGC_188',55749450,0.963
b'NGC_188',55749420,0.99
b'NGC_188',55749411,0.651
b'NGC_188',55749319,0.715
b'NGC_188',55749476,0.182
b'NGC_188',55749237,0.003
b'NGC_188',55749236,0.926
b'NGC_188',55749219,0.121
b'NGC_188',55749165,0.301
b'NGC_188',55749156,0.401
b'NGC_188',55749110,0.625
b'NGC_188',55749105,0.082
b'NGC_188',55749012,0.889
b'NGC_188',55748994,0.998
b'NGC_188',55748975,0.779
b'NGC_188',55748939,0.3
b'NGC_188',55750177,0.693
b'NGC_188',55748927,1.0
b'NGC_1901',91486364,1.0
b'NGC_1901',91511459,1.0
b'NGC_1907',115639636,0.949
b'NGC_1907',115639653,0.949
b'NGC_1907',115639676,0.963
b'NGC_1912',115641475,0.811
b'NGC_2158',77510556,0.833
b'NGC_2158',77510557,0.625
b'NGC_2158',77510670,0.141
b'NGC_2158',77510677,0.0
b'NGC_2158',77510678,0.813
b'NGC_2158',77510683,0.487
b'NGC_2158',77510739,0.758
b'NGC_2158',77510752,0.47
b'NGC_2158',77511059,0.772
b'NGC_2158',77510886,0.633
b'NGC_2158',77510911,0.995
b'NGC_2158',77510919,0.433
b'NGC_2158',77510988,0.995
b'NGC_2158',77511016,0.286
b'NGC_2158',77511089,0.431
b'NGC_2158',77510546,0.972
b'NGC_2158',77511074,0.754
b'NGC_2158',77511031,0.984
b'NGC_2158',77510782,0.553
b'NGC_2158',77510339,0.885
b'NGC_2158',77511101,0.817
b'NGC_2158',77513174,0.315
b'NGC_2158',77513234,0.435
b'NGC_2158',77510353,0.627
b'NGC_2158',77510356,0.84
b'NGC_2158',77510357,0.0
b'NGC_2158',77510378,0.946
b'NGC_2158',77510533,1.0
b'NGC_2158',77510392,0.0
b'NGC_2158',77510435,0.505
b'NGC_2158',77510440,0.948
b'NGC_2158',77510443,0.454
b'NGC_2158',77510444,0.914
b'NGC_2158',77510448,0.757
b'NGC_2158',77510449,0.821
b'NGC_2158',77510453,0.036
b'NGC_2158',77510521,0.921
b'NGC_2158',77510418,0.808
b'NGC_2158',77511102,0.413
b'NGC_2158',77510568,0.995
b'NGC_2158',77511120,0.984
b'NGC_2158',77512506,0.945
b'NGC_2158',77512493,0.048
b'NGC_2158',77511273,0.893
b'NGC_2158',77511252,0.84
b'NGC_2158',77511204,0.819
b'NGC_2158',77511193,0.528
b'NGC_2158',77511103,0.929
b'NGC_2158',77511165,0.997
b'NGC_2158',77511125,0.82
b'NGC_2158',77511171,0.992
b'NGC_2158',77511127,0.638
b'NGC_2158',77511156,0.579
b'NGC_2158',77511163,0.998
b'NGC_2158',77511147,0.957
b'NGC_2168',77513907,0.927
b'NGC_2168',77513821,0.821
b'NGC_2168',77513808,0.972
b'NGC_2168',77513790,1.0
b'NGC_2168',77513988,0.977
b'NGC_2168',77513881,1.0
b'NGC_2168',77513784,0.984
b'NGC_2168',77514349,0.986
b'NGC_2168',77514281,0.987
b'NGC_2168',77513743,0.796
b'NGC_2168',77514120,0.976
b'NGC_2168',77513082,0.894
b'NGC_2168',77513620,0.048
b'NGC_2168',77513461,0.953
b'NGC_2168',77513462,0.979
b'NGC_2168',77513625,0.794
b'NGC_2168',77513491,0.998
b'NGC_2168',77513507,0.992
b'NGC_2168',77513508,0.466
b'NGC_2168',77513483,0.54
b'NGC_2168',77513650,0.0
b'NGC_2168',77513686,0.967
b'NGC_2168',77513077,0.872
b'NGC_2168',77513089,0.634
b'NGC_2168',77513118,0.665
b'NGC_2168',77513661,0.988
b'NGC_2168',77513270,0.71
b'NGC_2168',77513313,0.709
b'NGC_2168',77514371,0.782
b'NGC_2168',77512997,0.939
b'NGC_2168',77514768,0.95
b'NGC_2168',77512725,0.978
b'NGC_2168',77502659,0.742
b'NGC_2168',77502624,0.959
b'NGC_2168',77502178,0.914
b'NGC_2168',77502158,0.995
b'NGC_2168',77502131,0.997
b'NGC_2168',77512388,0.759
b'NGC_2168',77512389,0.999
b'NGC_2168',77512509,0.918
b'NGC_2168',77512605,0.923
b'NGC_2168',77512613,0.856
b'NGC_2168',77512615,0.976
b'NGC_2168',77512641,0.831
b'NGC_2168',77502121,0.536
b'NGC_2168',77502115,0.76
b'NGC_2168',77512934,0.97
b'NGC_2168',77512956,0.649
b'NGC_2168',77512977,0.827
b'NGC_2168',77512819,0.804
b'NGC_2168',77512809,0.793
b'NGC_2168',77512855,1.0
b'NGC_2168',77501852,0.278
b'NGC_2168',77502063,0.954
b'NGC_2168',77502033,0.716
b'NGC_2168',77502010,0.998
b'NGC_2168',77502001,0.994
b'NGC_2168',77501972,0.983
b'NGC_2168',77501949,0.975
b'NGC_2168',77501883,0.0
b'NGC_2204',72905858,0.846
b'NGC_2204',72905610,0.274
b'NGC_2204',72905899,0.963
b'NGC_2204',72905926,0.988
b'NGC_2204',72905961,0.999
b'NGC_2204',72906014,0.903
b'NGC_2204',72906035,0.994
b'NGC_2204',72906073,0.0
b'NGC_2204',72906342,0.891
b'NGC_2204',72906363,0.562
b'NGC_2204',72906403,0.607
b'NGC_2204',72913930,0.973
b'NGC_2204',72905431,0.988
b'NGC_2204',72905572,0.922
b'NGC_2204',72905612,0.706
b'NGC_2204',72905668,0.244
b'NGC_2204',72905699,0.527
b'NGC_2204',72905721,0.0
b'NGC_2204',72905752,0.257
b'NGC_2204',72905760,0.551
b'NGC_2204',72905821,0.903
b'NGC_2232',74673862,1.0
b'NGC_2236',76436134,0.823
b'NGC_2236',76436212,0.0
b'NGC_2236',76436216,0.829
b'NGC_2236',76436236,1.0
b'NGC_2236',76438508,0.003
b'NGC_2236',76436120,0.974
b'NGC_2243',72266593,0.688
b'NGC_2243',72266677,0.391
b'NGC_2243',72266722,1.0
b'NGC_2243',72266815,0.855
b'NGC_2243',72266789,0.745
b'NGC_2243',72266794,0.946
b'NGC_2243',72266745,0.631
b'NGC_2243',72266335,0.735
b'NGC_2243',72266507,0.983
b'NGC_2244',75037202,1.0
b'NGC_2304',76920953,1.0
b'NGC_2318',72990406,1.0
b'NGC_2324',74843623,0.998
b'NGC_2324',74843418,0.0
