voxel_id,voxel_ix,voxel_iy,voxel_iz,x_center_kpc,y_center_kpc,z_center_kpc,voxel_volume_kpc3,n_young,n_old,rho_young_tracer_per_kpc3,rho_old_tracer_per_kpc3,rho_match_tracer_per_kpc3,v_R_young_mean_kms,J_R_young_raw_tracer_kms_per_kpc3,J_R_young_matched_tracer_kms_per_kpc3,v_phi_young_mean_kms,J_phi_young_raw_tracer_kms_per_kpc3,J_phi_young_matched_tracer_kms_per_kpc3,v_z_young_mean_kms,J_z_young_raw_tracer_kms_per_kpc3,J_z_young_matched_tracer_kms_per_kpc3,v_R_old_mean_kms,J_R_old_raw_tracer_kms_per_kpc3,J_R_old_matched_tracer_kms_per_kpc3,v_phi_old_mean_kms,J_phi_old_raw_tracer_kms_per_kpc3,J_phi_old_matched_tracer_kms_per_kpc3,v_z_old_mean_kms,J_z_old_raw_tracer_kms_per_kpc3,J_z_old_matched_tracer_kms_per_kpc3,delta_v_R_old_minus_young_kms,delta_J_R_matched_old_minus_young_tracer_kms_per_kpc3,delta_v_phi_old_minus_young_kms,delta_J_phi_matched_old_minus_young_tracer_kms_per_kpc3,delta_v_z_old_minus_young_kms,delta_J_z_matched_old_minus_young_tracer_kms_per_kpc3
-33:-1:-1,-33,-1,-1,-8.125,-0.125,-0.05,0.00625,732,11,117120.0,1760.0,3467.886944818304,-2.4055549937363043,-281738.600866396,-8342.192757820607,217.84887719323152,25514460.496871274,755475.2771617336,0.33912974368705007,39718.875580627304,1176.0636107318985,-8.090343784950493,-14239.005061512866,-28056.39759092172,193.95447141266152,341359.8696862843,672612.1793011038,-5.435708302355824,-9566.84661214625,-18850.42185758023,-5.684788791214189,-19714.20483310111,-23.894405780569997,-82863.09786062979,-5.774838046042874,-20026.485468312127
-33:-1:0,-33,-1,0,-8.125,-0.125,0.05,0.00625,224,82,35840.0,13120.0,19208.366013071893,0.3896796965390771,13966.120323960522,7485.110238985377,216.36089289482734,7754374.401350611,4155939.2216388895,0.8358137215311473,29955.563779676315,16054.615881918025,-4.073517935640959,-53444.55531560938,-78245.62346860458,201.37614053396695,2642054.963805646,3868106.6136762397,1.576121627613042,20678.715754283112,30274.721104309912,-4.463197632180036,-85730.73370758996,-14.984752360860398,-287832.6079626498,0.7403079060818948,14220.105222391887
-33:-1:1,-33,-1,1,-8.125,-0.125,0.15000000000000002,0.00625,33,27,5280.0,4320.0,4752.0,1.3208509436578524,6974.09298251346,6276.683684262114,217.38664593882947,1147801.4905570196,1033021.3415013177,1.5887063173363365,8388.369355535857,7549.532419982271,13.248946720798521,57235.44983384961,62958.994817234576,194.02642589457022,838194.1598645432,922013.5758509977,7.227568825170686,31223.097324737362,34345.4070572111,11.928095777140669,56682.31113297246,-23.36022004425925,-111007.76565031998,5.63886250783435,26795.87463722883
-33:0:-1,-33,0,-1,-8.125,0.125,-0.05,0.00625,46,85,7360.0,13600.0,9551.145038167939,-0.2611476009610934,-1922.0463430736474,-2494.258613149008,220.09221086045568,1619878.6719329539,2102132.627699253,0.23033073725385755,1695.2342261883916,2199.922278259745,0.8349665052420703,11355.544471292154,7974.886193579224,202.57624473697746,2755036.9284228934,1934835.0947702762,1.5815378799161541,21508.915166859697,15105.497674435817,1.0961141062031636,10469.144806728233,-17.515966123478222,-167297.53292897693,1.3512071426622967,12905.575396176073
-33:0:0,-33,0,0,-8.125,0.125,0.05,0.00625,574,320,91840.0,51200.0,65746.75615212528,0.08317445484689905,7638.741933139208,5468.4506009050265,221.24207407857517,20318872.08337634,14545948.695034519,-0.26355686193633815,-24205.062200233297,-17328.008733947772,-2.4414404649366603,-125001.751804757,-160516.79090812197,200.61412249849405,10271443.071922895,13189727.792581078,-2.413097702371112,-123550.60236140092,-158653.34620904727,-2.5246149197835592,-165985.241509027,-20.627951580081117,-1356220.9024534412,-2.149540840434774,-141325.3374750995
-33:0:1,-33,0,1,-8.125,0.125,0.15000000000000002,0.00625,372,26,59520.0,4160.0,7776.482412060302,1.3844437249474073,82402.09050886967,10766.102277540762,219.08282898640317,13039809.981270716,1703693.766397179,0.7973385605314719,47457.591122833204,6200.4892924304695,2.165365132589202,9007.918951571079,16838.92386926855,191.9901184572396,798678.8927821167,1493007.7794720975,4.939193282230499,20547.044054078873,38409.54968903187,0.7809214076417945,6072.8215917277885,-27.092710529163583,-210685.98692508158,4.141854721699027,32209.0603966014
-33:1:0,-33,1,0,-8.125,0.375,0.05,0.00625,54,27,8640.0,4320.0,5760.0,0.6500244279625262,5616.211057596226,3744.140705064151,216.7766125104549,1872949.9320903304,1248633.2880602202,-0.998370036863551,-8625.91711850108,-5750.611412334054,-8.843093155140444,-38202.162430206714,-50936.21657360896,198.42994477117387,857217.361411471,1142956.4818819615,-7.508127164558404,-32435.109350892308,-43246.812467856405,-9.49311758310297,-54680.35727867311,-18.34666773928103,-105676.80617825873,-6.509757127694853,-37496.20105552235
-33:1:1,-33,1,1,-8.125,0.375,0.15000000000000002,0.00625,39,35,6240.0,5600.0,5902.7027027027025,-1.8713055711256292,-11676.946763823926,-11045.760452265877,216.99090281130424,1354023.2335425382,1280832.788486185,0.5565175692053741,3472.6696318415343,3284.9577598501,-2.649015887469794,-14834.488969830845,-15636.35323847035,204.7984325785218,1146871.2224397222,1208864.261490518,-2.308613114586882,-12928.233441686538,-13627.056870966891,-0.7777103163441648,-4590.592786204474,-12.192470232782426,-71968.52699566702,-2.8651306837922563,-16912.014630816993
-34:-1:-1,-34,-1,-1,-8.375,-0.125,-0.05,0.00625,127,12,20320.0,1920.0,3508.4892086330933,-2.1621037767688343,-43933.94874394271,-7585.717768738309,219.96175291103071,4469622.819152144,771733.4364003702,-2.555996910200119,-51937.85721526642,-8967.687576736647,-6.29117643874963,-12079.058762399287,-22072.52464495985,206.0228198019231,395563.81401969236,722828.8400072076,6.043627110408668,11603.76405198464,21204.000497871217,-4.129072661980795,-14486.80687622154,-13.938933109107609,-48904.59639316262,8.599624020608786,30171.688074607864
-34:-1:0,-34,-1,0,-8.375,-0.125,0.05,0.00625,61,50,9760.0,8000.0,8792.792792792792,-4.52755280970268,-44188.915422698155,-39809.83371414248,216.59542992992755,2113971.396116093,1904478.7352397232,2.0131983272432894,19648.815673894504,17701.6357422473,3.645756585512452,29166.052684099614,32056.382229370745,190.2620848585456,1522096.6788683648,1672935.0884859504,-2.507357698555324,-20058.86158844259,-22046.676700810774,8.173309395215131,71866.21594351322,-26.333345071381956,-231543.64675377286,-4.520556025798614,-39748.31244305808
-34:-1:1,-34,-1,1,-8.375,-0.125,0.15000000000000002,0.00625,30,23,4800.0,3680.0,4166.037735849056,7.46627771521815,35838.13303304712,31104.794707927686,212.08567552393188,1018011.2425148729,883556.9274657387,2.2716777510071458,10904.0532048343,9463.895234384485,7.252806207533899,26690.326843724746,30215.4643513865,191.49838183975157,704714.0451702857,797789.4850984366,-1.7939357914753895,-6601.683712629433,-7473.604202976716,-0.21347150768425127,-889.3303565411843,-20.58729368418031,-85767.44236730214,-4.065613542482535,-16937.4994373612
-34:0:-1,-34,0,-1,-8.375,0.125,-0.05,0.00625,40,24,6400.0,3840.0,4800.0,1.9538061927692265,12504.359633723048,9378.269725292288,220.9138397504214,1413848.574402697,1060386.4308020228,0.16548567689047805,1059.1083320990595,794.3312490742946,8.792882732849085,33764.66969414048,42205.83711767561,198.6895053695118,762967.7006189253,953709.6257736566,14.454316266139955,55504.57446197743,69380.71807747179,6.8390765400798585,32827.567392383324,-22.224334380909596,-106676.80502836616,14.288830589249477,68586.38682839749
-34:0:0,-34,0,0,-8.375,0.125,0.05,0.00625,199,30,31840.0,4800.0,8342.35807860262,-2.9011915215313233,-92373.93804555733,-24202.77852722026,220.2358441074148,7012309.276380087,1837286.273287359,-0.0006300074596913626,-20.059437516572984,-5.255747820936153,1.5101717857263872,7248.824571486658,12598.39379673227,194.48813292202473,933543.0380257186,1622489.646874393,-4.707948382058654,-22598.152233881538,-39275.39121871114,4.4113633072577105,36801.17232395253,-25.747711185390074,-214796.62641296582,-4.707318374598962,-39270.13547089021
