target,arm,h_kpc,min_Neff,nearest_maser_kpc,support_qualified
GRB_221009A,Outer,1.0,1.4959627225621372,3.2435264506662698,False
GRB_221009A,OSC,1.0,1.9858925555484397,8.217524259234223,False
GRB_160623A,Outer,1.0,1.0329137396058374,1.6100408532133632,False
GRB_031203,Outer,1.0,1.0027730230018055,4.7298739431805235,False
GRB_221009A,Outer,1.5,1.7235438272571697,3.2435264506662698,False
GRB_221009A,OSC,1.5,1.9293875695271288,8.217524259234223,False
GRB_160623A,Outer,1.5,1.4306154445448265,1.6100408532133632,False
GRB_031203,Outer,1.5,1.1385111759461082,4.7298739431805235,False
GRB_221009A,Outer,2.0,2.0740284090261434,3.2435264506662698,False
GRB_221009A,OSC,2.0,1.9142675236720956,8.217524259234223,False
GRB_160623A,Outer,2.0,2.9341058784182716,1.6100408532133632,False
GRB_031203,Outer,2.0,1.707261845098904,4.7298739431805235,False
GRB_221009A,Outer,2.5,2.9904484298738634,3.2435264506662698,False
GRB_221009A,OSC,2.5,2.032602161115136,8.217524259234223,False
GRB_160623A,Outer,2.5,7.541023613057196,1.6100408532133632,True
GRB_031203,Outer,2.5,3.156501051552913,4.7298739431805235,True
GRB_221009A,Outer,3.0,5.078708989328685,3.2435264506662698,True
GRB_221009A,OSC,3.0,2.36534536746885,8.217524259234223,False
GRB_160623A,Outer,3.0,19.006401249151722,1.6100408532133632,True
GRB_031203,Outer,3.0,6.9651741986317965,4.7298739431805235,True
GRB_221009A,Outer,4.0,17.553372517878106,3.2435264506662698,True
GRB_221009A,OSC,4.0,4.712492003599219,8.217524259234223,False
GRB_160623A,Outer,4.0,60.36098671647212,1.6100408532133632,True
GRB_031203,Outer,4.0,29.51054334588159,4.7298739431805235,True
GRB_221009A,Outer,5.0,47.297018267611364,3.2435264506662698,True
GRB_221009A,OSC,5.0,13.138019472436914,8.217524259234223,True
GRB_160623A,Outer,5.0,92.02197379747628,1.6100408532133632,True
GRB_031203,Outer,5.0,59.235197477383714,4.7298739431805235,True
