name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,phi_rad,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G305.20+00.01,CtN,197.82038,-62.76528,0.25,0.05,-5.844273190566285,-3.2685826265383007,0.005272373347788124,6.69620500824757,-2.6316529356606613,-4.0978667638182324,-9.415147165807696,7.912493827396742,7.5318294416928575,11.464703380489127,6.603460427455136
G339.88-01.25,CtN,253.01949,-46.14289,0.48,0.08,-6.194256091318902,-0.7163334272205927,-0.041587381832233046,6.235538637823915,-3.026459302336517,-6.299818025407955,2.3203866966244675,8.748506682565452,6.263947049629655,5.223980230162546,5.413623972748621
G348.70-01.04,CtN,260.01681666666667,-38.975255555555556,0.296,0.026,-4.837660382562655,-0.6616596386779297,-0.05826161116819923,4.882699197623346,-3.0056634130606157,14.216453121098718,-24.83441246700096,-8.419541622800423,6.284861063171077,8.395742032323305,6.848969662118236
G351.44+00.65,CrN,260.2275041666667,-35.75239444444444,0.752,0.069,-6.835084255314982,-0.19780672366485585,0.01992403506535084,6.837945910665116,-3.112660818698698,0.2942540521416419,1.9833734644724927,-1.9772061110250714,3.1256444157019367,5.1471572007584925,4.6704000510996355
G359.61-00.24,CtN,266.41279041666667,-29.391740277777778,0.375,0.021,-5.483424031048738,-0.017934879798716996,-0.007612986727112252,5.483453361176347,-3.1383219206055912,22.04445628095495,2.049496657510872,-13.12173097962095,4.815344692012878,5.706094871412361,5.706983018695613
G000.31-00.20,ScN,266.787955,-28.77118833333333,0.342,0.042,-5.226091314283323,0.01608616668050522,-0.006718453254543515,5.226116071231682,3.138514614016578,17.586090788714877,-6.308146323146133,-7.564961447357278,3.151550548182578,9.083685799016491,7.4293471458964735
G005.88-00.39,ScN,270.1261670833333,-24.06793777777778,0.334,0.02,-5.171845279913756,0.30693096172806145,-0.017008099963093885,5.1809449152286415,3.0823156708276342,-2.607342405154285,-13.316548110666844,-10.519578376796808,5.138732691707062,4.940832564170924,4.814656657617166
G006.79-00.25,Nor,270.49063541666663,-23.2095125,0.288,0.021,-4.702213352980585,0.41083618913770636,-0.012411443849557783,4.720126777031958,3.054443150546698,3.140096747989276,-2.343824208187101,1.2643875803430984,5.913177205683037,5.164528504950843,5.023175252385314
G008.34-01.00,SgN,272.0168791666667,-22.22404611111111,0.64,0.04,-6.604293245677068,0.22671159174472233,-0.022863196905125397,6.60818336766824,3.107278216980458,-2.1030055300613983,-8.869190279968535,-5.099449156475832,4.770252558278509,6.006758306195826,5.524949205988766
G010.32-00.15,ScN,272.2560620833333,-20.085514999999997,0.343,0.035,-5.281751189287898,0.5224154935057552,-0.004560330997174349,5.307524241433004,3.0430037969413997,-6.5414746612611445,-23.152700123298217,3.8540109201151673,5.497153883946428,7.015070709454547,5.984725205603189
