%% HI4PI eigenvalues Lambda_- at the nearest nside=1024 HEALPix position for l/b  52.96000   4.32000
%% km sec**-1  K deg**-2 
    -50.000  -187.669                  
    -49.000  -223.803                  
    -48.000  -228.740  HI caustic      
    -47.000  -189.248                  
    -46.000  -146.721                  
    -45.000  -124.991                  
    -44.000  -113.790                  
    -43.000  -101.123                  
    -42.000   -84.349                  
    -41.000   -65.317                  
    -40.000   -46.624                  
    -39.000   -30.310                  
    -38.000   -17.507                  
    -37.000    -8.516                  
    -36.000    -3.059                  
    -35.000    -0.551                  
    -34.000    -0.297                  
    -33.000    -1.618                  
    -32.000    -3.916                  
    -31.000    -6.712                  
    -30.000    -9.649                  
    -29.000   -12.475                  
    -28.000   -15.021                  
    -27.000   -17.166                  
    -26.000   -18.815                  
    -25.000   -19.873                  
    -24.000   -20.238  HI caustic      
    -23.000   -19.792                  
    -22.000   -18.407                  
    -21.000   -15.967                  
    -20.000   -12.396                  
    -19.000    -7.680                  
    -18.000    -1.847                  
    -17.000     4.869                  
    -16.000    10.759                  
    -15.000    14.239                  
    -14.000    16.022                  
    -13.000    16.005                  
    -12.000     1.711                  
    -11.000   -27.420                  
    -10.000   -58.252                  
     -9.000   -83.056                  
     -8.000  -108.152                  
     -7.000  -139.385                  
     -6.000  -148.009  HI caustic      
     -5.000   -98.308                  
     -4.000   -72.468                  
     -3.000   -47.862                  
     -2.000   -28.439                  
     -1.000   -87.349                  
      0.000  -102.887                  
      1.000  -204.196                  
      2.000  -296.236  HI caustic      
      3.000  -223.869                  
      4.000   -82.299                  
      5.000   -95.349                  
      6.000  -151.101  HI caustic      
      7.000  -130.520                  
      8.000   -76.475                  
      9.000   -85.171                  
     10.000  -225.662                  
     11.000  -288.711  HI caustic      
     12.000  -101.459                  
     13.000   -13.560                  
     14.000   -19.614                  
     15.000   -48.051                  
     16.000   -56.792  HI caustic      
     17.000   -33.895                  
     18.000   -60.795                  
     19.000  -126.367                  
     20.000  -170.701                  
     21.000  -174.781  HI caustic      
     22.000  -148.650                  
     23.000  -115.420                  
     24.000   -85.185                  
     25.000   -43.993                  
     26.000   -23.190                  
     27.000   -19.457                  
     28.000    16.388                  
     29.000    58.615                  
     30.000    85.409                  
     31.000    46.854                  
     32.000    28.750                  
     33.000    31.253                  
     34.000    39.688                  
     35.000    20.876                  
     36.000   -37.957                  
     37.000  -127.188                  
     38.000  -222.679                  
     39.000  -297.153                  
     40.000  -348.249                  
     41.000  -385.925                  
     42.000  -396.057  HI caustic      
     43.000  -342.843                  
     44.000  -234.043                  
     45.000  -143.006     FIR caustic  
     46.000   -88.138                  
     47.000   -64.352                  
     48.000   -54.062                  
     49.000   -51.674                  
     50.000   -74.697                  
