#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-06T20:02:37 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-06T20:02:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAN%2F336%2F70%2Ftable1&-out=_RA,_DE,HRV,e_HRV,GCVS&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113360070
#Name: J/AN/336/70
#Title: Velocities and proper motions of Galactic Cepheids (Mel'nik+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/an/336/70	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/an/336/70	    IVOID of underlying data collection
#INFO	creator=Mel&apos;nik A.M.	    First author or institution
#INFO	cites=bibcode:2015AN....336...70M	    Article or Data origin sources
#INFO	journal=AN	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/336/70	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.113360070	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_336_70_table1:
#Name: J/AN/336/70/table1
#Title: Data for 674 classical Cepheids
#Column	_RA	(F9.5)	Positions from Simbad, or from ASAS name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad, or from ASAS name (declination part)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(F6.1)	[-126/126]? Heliocentric Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F4.1)	[0.1/10]? rms uncertainty in HRV	[ucd=stat.error]
#Column	GCVS	(A9)	GCVS Identification	[ucd=meta.id;meta.main]
_RA	_DE	HRV	e_HRV	GCVS
deg	deg	km/s	km/s	
---------	---------	------	----	---------
014.89367	+45.40672	      	    	DQ    And
143.46192	-36.61575	  29.5	 3.0	T     Ant
292.33900	-07.04408	   1.1	 2.0	U     Aql
286.16425	+01.30617	  10.5	 1.0	SZ    Aql
287.05729	+01.29867	   3.7	 0.1	TT    Aql
286.69233	+14.92953	      	    	EV    Aql
284.56146	+17.36092	 -15.8	 0.1	FF    Aql
287.31662	+10.55250	  -5.2	 0.1	FM    Aql
288.19717	+03.55742	  12.8	 0.1	FN    Aql
300.29092	+15.80353	   1.3	 0.1	KL    Aql
285.33221	+00.14700	  11.5	 1.0	V0336 Aql
284.35112	-00.73022	      	    	V0493 Aql
287.08654	-07.43775	   6.8	 1.0	V0496 Aql
300.63621	+00.71389	      	    	V0572 Aql
290.25979	+08.51633	   1.8	 0.2	V0600 Aql
299.38758	+11.04367	  28.4	 0.2	V0733 Aql
287.50171	+12.53656	  18.0	 0.6	V0916 Aql
293.02987	+03.01267	      	    	V0979 Aql
298.08746	-11.36686	  12.5	 0.2	V1162 Aql
287.99654	+04.35486	  -1.8	 0.2	V1344 Aql
283.74804	-00.07678	      	    	V1496 Aql
298.11821	+01.00567	 -15.0	 1.0	eta   Aql
250.53746	-57.31244	      	    	AB    Ara
251.32962	-51.34261	 -82.2	 2.0	V0340 Ara
082.16350	+42.43772	   8.5	 1.0	Y     Aur
097.14204	+30.49303	  19.5	 0.2	RT    Aur
075.34662	+39.96039	 -21.1	 0.3	RX    Aur
078.16346	+42.83178	  -3.5	 1.0	SY    Aur
078.84158	+40.07803	 -14.0	 1.0	YZ    Aur
074.92308	+40.83606	   4.4	 0.4	AN    Aur
086.93779	+32.01464	 -14.0	 5.0	AO    Aur
086.71175	+31.59792	      	    	AX    Aur
077.66758	+49.68761	 -41.3	 0.8	BK    Aur
090.11875	+35.31217	      	    	CO    Aur
074.41700	+46.09253	 -15.0	 2.0	CY    Aur
078.29162	+41.99053	      	    	ER    Aur
072.85354	+38.18856	 -32.0	 3.0	EW    Aur
073.82546	+39.97972	 -32.3	 5.0	FF    Aur
084.11150	+44.59136	      	    	GT    Aur
086.05833	+37.58686	      	    	GV    Aur
