source_id,phot_g_mean_mag,grvs_mag,radial_velocity,radial_velocity_error,rv_nb_transits
2165006259882192128,18.031054,,,,
4513399883752121216,17.178337,,,,
2022722274099045376,16.250635,,,,
4310507179195737984,17.339405,,,,
1873298884367855872,16.184006,,,,
2031745858613175040,17.749508,,,,
4505886718970731648,16.561434,,,,
1979638838645769216,14.781419,13.740115,-122.536804,7.21208,23.0
4513281175196176512,17.259201,,,,
1861245556872133504,16.474401,,,,
2004103831357741696,14.826209,13.761537,-157.05675,6.748313,24.0
2062016551910446592,16.861692,,,,
1871915630021420672,15.345571,,,,
2021540814501736320,17.362158,,,,
4314393025132914944,16.510912,,,,
2072235820984829312,14.274974,13.128462,-121.079636,5.3372207,19.0
2195158098523149312,14.327788,13.376652,-101.186005,5.520222,25.0
4160906424545920128,16.934021,,,,
2033842562903693184,15.879004,,,,
1978690990909022336,15.173822,,,,
4320461195449352064,15.738185,,,,
4512885247948565376,15.669858,,,,
4311113353708708864,16.565842,,,,
4314164395446976128,16.841406,,,,
4505886787660255616,16.632177,,,,
2025179884408158464,16.376305,,,,
2162679246615275264,16.267534,,,,
4280510268611908480,16.79453,,,,
4320165285017783168,17.944548,,,,
2031982665929461504,16.176397,,,,
2059995546465811968,17.223618,,,,
