source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_kms,rv_error_kms,rv_source,rv_epochs
4060754379934213760,-6.320770427346961,0.05041069762431616,0.022373694487576364,6.320971446989684,3.1336174187004766,-6.357280945099752,-5.000801147517706,1.4105902570045779,0.3958760898364203,1.83,0.053,0.7409949,-15.556792,1.4688671,gaia_source_rvs,16.0
4063689427455040256,-6.8908536963705895,0.043490796704828805,-0.010742234265860243,6.890990938477734,3.1352813573163405,-12.970327375968116,12.314108825483885,1.726374246972238,0.13485305214114582,1.26,0.044,0.8290687,-21.822489,1.7157663,gaia_source_rvs,9.0
4063755947910057728,-6.760876547579878,0.0493843618866488,0.007041000843310326,6.761056907526704,3.1342883516592837,8.058449987436825,-8.078874592880766,1.8198654712779634,1.331892071426508,1.39,0.131,0.86604464,-1.5062207,1.8443878,gaia_source_rvs,19.0
4063883590025929216,-6.691619670084918,0.06862492673182585,0.0007202770222552403,6.691971547282336,3.131337659365141,41.00142391963073,-11.34230247263855,2.9459417999400763,1.159947874130564,1.46,0.11,0.92581373,31.71714,2.6194646,gaia_source_rvs,17.0
4063826557167149440,-6.821711591375844,0.06620085085365796,-0.0076255860174288025,6.822032804711899,3.1318885240753276,6.723213860580836,12.117800291017375,2.118033778358088,0.18980667049882338,1.33,0.039,0.73667186,-1.2738969,2.0209274,gaia_source_rvs,23.0
4067683678353886976,-4.819392460569732,0.23683296149585975,0.08659210015928959,4.825208134438066,3.0924904905464357,29.46652756061219,-61.300599034224746,3.7387968123638595,2.5753036194203713,3.34,0.11,1.1092546,20.59705,3.6636922,gaia_source_rvs,21.0
4116471792510901248,-6.656973484466403,0.10773478633195482,0.10178385807745582,6.657845203748338,3.1254103175295014,11.140435391097286,14.3703869683157,1.2518843814392822,0.1903607655929367,1.5,0.038,0.75773543,4.169964,1.3103756,gaia_vari_cepheid,8.0
4069642286496840064,-6.652652689606853,0.1945512101211585,-0.008867196482860887,6.655496824572371,3.1123568304927036,-10.105815289588453,-13.632678852498003,3.8604033639443918,1.8665582887279397,1.51,0.171,1.2839025,-16.968113,4.124569,gaia_source_rvs,14.0
4069887786823732608,-5.931185293311912,0.3073121521033345,0.00013585704331564152,5.939141330397004,3.089826003655109,11.105952267719518,0.2209454773999937,1.3556202456227635,0.5084004356900692,2.24,0.133,0.8706315,11.078,1.0,veloce_dr1_vgamma,86.0
4066429066901946368,-7.299403020017666,0.12127502071337953,-0.031652444288026944,7.300410404853418,3.1249798068388714,-6.912428086407349,-4.049362825368661,0.9502263839246577,0.6105236312511895,0.86,0.108,0.8816063,-15.0,1.0,melnik2015_hrv,
