target,arm,h_kpc,N_eff,support_qualified
GRB_221009A,Outer,1.0,34.49034919591315,True
GRB_221009A,Outer,2.0,68.78237119759989,True
GRB_221009A,Outer,3.0,95.88679327629798,True
GRB_221009A,Outer,4.0,129.21354663207515,True
GRB_221009A,Outer,5.0,170.9882547311832,True
GRB_221009A,Outer,7.0,269.12553843374883,True
GRB_221009A,Outer,10.0,411.27130234171017,True
GRB_221009A,OSC,1.0,5.840202445381353,True
GRB_221009A,OSC,2.0,17.052973997431664,True
GRB_221009A,OSC,3.0,23.998414822165273,True
GRB_221009A,OSC,4.0,28.08864506305957,True
GRB_221009A,OSC,5.0,31.41840091056743,True
GRB_221009A,OSC,7.0,38.004108577038316,True
GRB_221009A,OSC,10.0,49.089578897358436,True
GRB_160623A,Outer,1.0,62.435323673372324,True
GRB_160623A,Outer,2.0,134.47342877091432,True
GRB_160623A,Outer,3.0,205.91796836432474,True
GRB_160623A,Outer,4.0,272.59404842949556,True
GRB_160623A,Outer,5.0,329.97805433081817,True
GRB_160623A,Outer,7.0,422.715863298616,True
GRB_160623A,Outer,10.0,528.2260539580375,True
GRB_031203,Outer,1.0,48.53731641428927,False
GRB_031203,Outer,2.0,113.36221514596146,False
GRB_031203,Outer,3.0,146.25372582998136,False
GRB_031203,Outer,4.0,163.09886533924362,False
GRB_031203,Outer,5.0,173.75644223901529,False
GRB_031203,Outer,7.0,187.73556622426133,False
GRB_031203,Outer,10.0,198.53612408772722,False
