vxbin,vybin,vzbin,n_quality
-35,-114,-322,1
-33,19,-163,1
-23,-17,-37,1
-22,-13,-128,1
-21,-43,-126,1
-21,41,-100,1
-20,-13,84,1
-19,14,-88,1
-19,17,84,1
-18,-40,127,1
-18,-29,-35,1
-18,-10,52,1
-17,-24,-31,1
-17,-17,-45,1
-17,-16,-39,1
-16,-17,-42,1
-15,-108,-263,1
-15,-31,134,1
-15,5,-64,1
-13,-23,-57,1
-13,-17,-34,1
-13,-10,-14,1
-13,3,-83,1
-13,7,-30,1
-12,-31,36,1
-12,-13,40,1
-12,7,-21,1
-12,14,76,1
-11,-39,67,1
-11,-34,65,1
-11,-27,-48,1
-11,-21,-37,1
-11,6,25,1
-10,-6,-25,1
-9,-81,95,1
-9,-69,-204,1
-9,-8,-20,1
-9,-5,-7,1
-8,-46,-52,1
-8,-14,-38,1
-8,-12,43,1
-8,-9,-66,1
-8,-9,-40,1
-8,-8,-37,1
-8,-6,38,1
-8,-5,-48,1
-8,2,23,1
-8,10,-116,1
-7,-22,29,1
-7,-18,60,1
-7,-16,-41,1
-7,-14,-32,1
-7,-11,-30,1
-7,-9,38,1
-7,-5,-23,1
-7,4,-56,1
-7,20,-99,1
-6,-63,-182,1
-6,-62,-174,1
-6,-61,-172,1
-6,-27,30,1
-6,-25,-25,1
-6,-19,23,1
-6,-15,-24,1
-6,-13,-20,1
-6,-9,-84,1
-6,-9,29,1
-6,-6,-45,1
-6,1,-18,1
-6,7,-13,1
-5,-78,-194,1
-5,-56,-163,1
-5,-22,-32,1
-5,-22,14,1
-5,-17,24,4
-5,-16,24,1
-5,-12,60,1
-5,-11,25,1
-5,-11,36,1
-5,-10,-30,1
-5,-8,46,1
-5,-7,-22,1
-5,-7,45,1
-5,-7,46,1
-5,4,-20,1
-5,10,52,1
-4,-31,-81,1
-4,-29,-12,1
-4,-29,46,1
-4,-22,-25,1
-4,-14,-39,1
-4,-13,-39,1
-4,-12,-18,1
-4,-12,-17,1
-4,-10,29,1
-4,-7,-18,1
-4,-7,32,1
-4,-6,-25,1
-4,11,60,1
-3,-57,-170,1
-3,-45,-43,1
-3,-25,56,1
-3,-22,-29,1
-3,-21,-93,1
-3,-20,-34,1
-3,-19,25,1
-3,-18,-31,1
-3,-17,-43,1
-3,-16,23,1
-3,-15,31,1
-3,-9,30,1
-3,-9,33,1
-3,-7,-34,1
-3,-7,31,1
-3,-6,-29,1
-3,-4,-57,1
-3,-4,-45,1
-3,-4,-38,1
-3,-3,-58,1
-3,-1,-53,1
-3,-1,-13,1
-3,2,25,1
-3,5,-31,1
-3,5,-30,1
-3,6,-83,1
-2,-30,27,1
-2,-24,32,1
-2,-24,83,1
-2,-22,-30,1
-2,-20,23,1
-2,-19,116,1
-2,-16,-47,1
-2,-16,-37,1
-2,-16,21,1
-2,-15,-24,1
-2,-14,-20,1
-2,-13,-17,1
-2,-12,-39,1
-2,-12,-31,1
-2,-12,24,1
-2,-11,-125,1
-2,-10,-17,1
-2,-10,-16,1
-2,-7,-36,1
-2,-7,-22,1
-2,-7,-16,1
-2,-6,-55,1
-2,-6,15,1
-2,-4,-41,1
-2,-3,-36,1
-2,-1,25,1
-2,1,-14,1
-2,2,-49,1
-2,5,-29,2
-2,5,-18,1
-2,5,-12,1
-2,10,-48,1
-1,-39,-120,1
-1,-21,55,1
-1,-20,29,1
-1,-19,22,1
-1,-18,-22,1
-1,-16,29,1
-1,-15,21,1
-1,-14,-19,1
-1,-14,-18,1
-1,-13,-62,1
-1,-12,-36,1
-1,-12,-33,1
-1,-12,-18,1
-1,-12,-11,1
-1,-10,-28,1
-1,-9,23,1
-1,-8,32,1
-1,-7,-22,1
-1,-6,-21,1
-1,-6,-18,1
-1,-6,27,1
-1,-5,-38,1
-1,-5,-25,1
-1,-5,-23,1
-1,-5,-22,1
-1,-5,-21,1
-1,-5,9,1
-1,-4,-20,1
-1,-3,-17,1
