Name,age_gyr,R_GC_Cav,R_Guide,delta_R_current_minus_guide_kpc,Z_Height,Z_Max,Eccentricity,Fe_H,alpha_M,Num_Full_Members,OCCAM_Qual
b'ASCC_127',0.00954992586021437,8.28,8.6,-0.3200000000000003,0.05,0.05,0.01,0.21,-0.02,3,1
b'ASCC_58',0.02818382931264455,8.04,8.33,-0.2900000000000009,0.03,0.06,0.01,0.0,0.03,3,1
b'ASCC_71',0.18620871366628655,7.6,7.93,-0.33000000000000007,-0.08,0.1,0.02,-0.08,0.02,4,1
b'Alessi-Teutsch_8',0.3715352290971728,7.72,8.55,-0.830000000000001,0.04,0.13,0.08,-0.2,0.03,3,1
b'Alessi_2',0.25118864315095824,8.67,9.44,-0.7699999999999996,0.09,0.1,0.08,-0.01,0.01,9,2
b'Alessi_21',0.06165950018614822,8.56,8.9,-0.33999999999999986,0.02,0.04,0.05,-0.07,0.05,15,2
b'Alessi_24',0.025703957827688646,7.7,7.82,-0.1200000000000001,-0.11,0.13,0.06,0.09,-0.03,7,2
b'Alessi_31',0.12589254117941662,7.45,7.85,-0.39999999999999947,0.11,0.13,0.05,-0.09,0.05,5,2
b'Alessi_5',0.025703957827688646,8.0,8.18,-0.17999999999999972,0.01,0.03,0.01,-0.05,0.04,7,2
b'Alessi_6',0.41686938347033464,7.54,7.51,0.03000000000000025,-0.07,0.09,0.05,-0.0,-0.01,7,2
b'BDSB_96',0.006456542290346549,8.95,9.52,-0.5700000000000003,-0.03,0.13,0.04,0.05,-0.0,3,1
b'BH_164',0.012589254117941663,7.82,8.12,-0.29999999999999893,-0.03,0.07,0.02,0.19,-0.02,4,1
b'BH_99',0.017378008287493762,8.0,8.17,-0.16999999999999993,0.02,0.08,0.01,-0.01,0.03,7,2
b'CWNU_205',0.4677351412871981,9.5,9.85,-0.34999999999999964,-0.16,0.17,0.11,-0.12,0.01,4,1
b'CWNU_229',0.19054607179632443,7.12,7.45,-0.33000000000000007,-0.08,0.1,0.11,-0.1,-0.06,3,1
b'CWNU_522',0.019498445997580455,8.5,9.0,-0.5,-0.12,0.12,0.04,-0.04,0.06,3,1
b'Collinder_463',0.09332543007969905,8.72,9.48,-0.7599999999999998,0.18,0.19,0.07,-0.15,-0.0,4,1
b'ESO_123-26',0.28840315031266117,8.13,8.33,-0.1999999999999993,-0.25,0.31,0.04,-0.06,-0.0,8,2
b'ESO_130-06',0.3630780547701018,7.8,8.13,-0.33000000000000096,0.06,0.07,0.02,-0.09,0.04,7,2
b'FSR_1197',0.18197008586099825,8.74,9.14,-0.40000000000000036,-0.06,0.12,0.04,-0.09,0.02,3,1
b'HSC_1553',0.02818382931264455,8.33,8.38,-0.05000000000000071,0.01,0.05,0.02,0.08,-0.02,10,2
b'HSC_1902',0.017378008287493762,8.57,8.63,-0.0600000000000005,-0.05,0.06,0.04,0.02,-0.01,3,1
b'HXHWL_13',0.1584893192461111,7.42,7.86,-0.4400000000000004,0.05,0.06,0.1,-0.06,-0.01,3,1
b'Harvard_13',0.9332543007969925,7.13,6.79,0.33999999999999986,-0.06,0.06,0.08,0.06,-0.01,8,2
b'Herschel_1',0.1148153621496884,8.35,9.35,-1.0,0.09,0.11,0.14,0.01,-0.03,4,1
b'IC_2488',0.1659586907437563,8.05,8.76,-0.7099999999999991,-0.08,0.09,0.07,-0.06,-0.0,21,2
b'IC_2602',0.03311311214825908,8.07,8.1,-0.02999999999999936,0.01,0.08,0.04,-0.01,0.02,5,2
b'IC_4756',0.6456542290346563,7.75,7.88,-0.1299999999999999,0.06,0.07,0.03,-0.12,0.05,19,2
b'King_1',1.445439770745928,9.12,9.58,-0.46000000000000085,0.07,0.08,0.12,-0.13,-0.04,3,1
b'King_6',0.17782794100389226,8.75,8.75,0.0,0.02,0.14,0.04,-0.17,0.06,9,2
b'Melotte_71',1.4125375446227555,9.58,10.66,-1.08,0.18,0.3,0.11,-0.2,0.03,7,2
b'NGC_1528',0.43651583224016655,9.06,9.33,-0.2699999999999996,0.03,0.11,0.01,-0.1,-0.0,9,2
b'NGC_1708',0.21379620895022325,9.04,9.74,-0.7000000000000011,0.14,0.16,0.06,-0.08,0.0,4,1
b'NGC_188',3.801893963205613,9.13,9.59,-0.4599999999999991,0.71,0.83,0.06,-0.04,-0.03,3,1
b'NGC_1901',0.5370317963702532,8.08,8.79,-0.7099999999999991,-0.22,0.24,0.06,-0.11,0.04,6,2
b'NGC_2168',0.21877616239495518,8.98,9.43,-0.4499999999999993,0.06,0.17,0.09,-0.08,0.01,235,2
b'NGC_2287',0.229086765276777,8.59,8.91,-0.3200000000000003,-0.11,0.22,0.04,-0.08,0.01,75,2
b'NGC_2301',0.1445439770745928,8.86,9.14,-0.28000000000000114,0.03,0.03,0.02,-0.05,-0.04,9,2
b'NGC_2323',0.41686938347033464,8.87,9.65,-0.7800000000000011,0.0,0.05,0.11,-0.2,-0.02,3,1
b'NGC_2353',0.17782794100389226,8.98,9.82,-0.8399999999999999,0.03,0.08,0.1,-0.01,-0.01,3,1
b'NGC_2360',1.1748975549395304,8.87,9.65,-0.7800000000000011,-0.0,0.4,0.07,-0.2,0.06,6,2
b'NGC_2396',0.13182567385564048,9.15,9.9,-0.75,0.09,0.1,0.12,-0.24,0.02,3,1
b'NGC_2422',0.08128305161640996,8.44,8.52,-0.08000000000000007,0.05,0.06,0.03,0.03,-0.02,3,1
b'NGC_2423',1.0,8.74,8.72,0.019999999999999574,0.08,0.08,0.09,-0.04,-0.0,4,1
