spatial_cell,R_bin_kpc,absZ_bin_kpc,n,young_age_median,old_age_median,delta_Vphi_old_minus_young_kms,delta_ecc_old_minus_young,delta_zmax_old_minus_young_kpc,delta_radial_excursion_old_minus_young_kpc,delta_FeH_old_minus_young,delta_aFe_old_minus_young
10.0_0.25,10.0,0.25,83,4.110647693011677,5.823874599308504,9.487627702828917,0.06709853641598504,0.12749158604449162,1.431178713905803,-0.05825241567581718,0.17940889674042196
10.0_1.5,10.0,1.5,83,5.3100921368150535,10.656606551660959,111.33800624087753,0.4781937924643354,0.23293934792645832,5.231963733140024,-0.9778038650361676,0.11490809312164454
10.0_1.75,10.0,1.75,109,5.555656026549751,10.736538552559313,-70.73835166409731,-0.13577953031941747,-0.28032654755252495,-1.618407286457101,0.023988279033524407,-0.03018127060235304
10.0_2.0,10.0,2.0,122,5.508086179449103,10.980467561363845,12.135183147183419,0.10496115565764186,0.4500153801781601,0.3974578559891526,-0.6722758838489384,0.07047528135040199
10.0_2.25,10.0,2.25,96,5.930495125202664,10.786882335000104,1.8508274928986879,-0.058324408154992846,0.7288329391326611,-0.4736495673814609,-0.7935044782631406,-0.012965962330350134
10.0_2.5,10.0,2.5,82,6.940002838660447,11.221414858968862,48.0108747456034,-0.03467177248980924,0.7491315723300467,1.0758026175158353,-0.8027649723408068,0.09426573804550664
10.0_2.75,10.0,2.75,99,6.26106753921124,10.948359494842759,-14.286204198685088,0.034883802633395966,0.05034397919025402,-0.39230515593355975,-0.47469516521339195,0.02415251784290995
10.5_1.75,10.5,1.75,89,5.721809579622659,11.23643812229412,128.2933554691672,0.3427046502805569,0.9491969445907265,3.5020677709216965,-0.699635354074863,0.01776262403739226
10.5_2.0,10.5,2.0,88,5.406987161754211,10.140547741534004,43.64629969509478,0.18392303886395156,0.1337976767717277,1.8836518483971156,-0.5913406902102698,-0.08771279914388652
10.5_2.25,10.5,2.25,84,5.908738725668079,10.861378142558335,-59.13108314886188,-0.0686352634566253,-1.0003283663039433,-0.8943368166167893,0.0961387843673438,-0.020716473778392752
3.0_1.25,3.0,1.25,140,5.764935786342644,9.436763074107033,-12.141421054004908,0.002559258804421871,-0.03330182575889773,-0.16456996521151712,0.11222245113578211,-0.051481152791901186
3.0_1.5,3.0,1.5,174,6.2025322802183,9.525002961675161,-27.05821811288331,-0.13621808103395816,0.17733825761738187,-0.36688855448738433,-0.21722235776674337,-0.019246419803308434
3.0_1.75,3.0,1.75,112,6.806738378318859,9.727710213911035,30.872367602916185,0.02464970457763377,0.49202426771688357,0.7401822786614467,-0.2277569393947736,-0.025288547117307658
3.0_2.0,3.0,2.0,101,7.817716896402391,10.074014231234928,-27.517223946863886,-0.12687652438583358,-0.5190348093672754,-0.9179188508942753,0.1150909453441955,-0.009191692746142455
3.0_2.25,3.0,2.25,92,7.818951835705514,10.128577696318361,17.991565018787973,0.02740668741703267,0.2516378865742537,0.011268204290974193,-0.46869562000764464,0.02873191003675729
3.5_1.0,3.5,1.0,95,5.253329309167229,8.703235228194602,105.60797174223094,0.1267702924548832,-0.19987279306497374,-0.3060011117297474,-0.46788823677073643,0.020490284054904384
3.5_1.25,3.5,1.25,107,5.734314343342297,9.864164405850142,24.476243458006323,0.019685140507083698,0.06607999441439616,0.21471876979075155,-0.430253303432943,0.08900634207092917
3.5_1.75,3.5,1.75,82,7.129789164769155,10.580677687990116,-12.10118818200121,0.0032782402289421864,0.49361122594770146,2.10389380278835,-0.7004139283165689,0.013166722711135004
3.5_2.0,3.5,2.0,112,7.446556377611005,9.989537480694864,18.759239576179183,0.1094064170949215,0.3442970906181162,0.6283877444071928,-0.5776994234677537,-0.01657906478213339
3.5_2.25,3.5,2.25,107,7.7073884952062315,10.129594461229287,24.30786908546362,0.1280617528116269,-0.021352436952304377,-0.13072947207707042,0.04937934028326074,0.01407144459595061
4.0_1.0,4.0,1.0,117,5.480405193229256,10.439058045945945,47.867511590576186,0.11975574038621739,0.45771560375563736,0.6948967013228962,-0.355995805025356,0.03066978049676433
4.0_1.25,4.0,1.25,94,5.46211031205582,10.24475571523649,17.8811078015207,0.04308482087851162,0.10861467924638157,0.5301274158473701,-0.6419329963386167,-0.06035283532454838
4.0_1.5,4.0,1.5,105,6.337015658471071,10.525545856099631,-10.842221955026659,-0.083167811288609,-0.4122643422029315,-0.3540287634988233,-0.2770736694222098,-0.0071167968760148526
4.0_1.75,4.0,1.75,129,6.065760489946742,10.234480384274045,21.271524293101095,0.12604036741802266,0.00333439635243038,0.30561469778638184,-0.3466103855995357,0.00623487849589377
4.0_2.0,4.0,2.0,119,7.480875783195552,10.20363041767856,58.9542474710236,0.03839420857964021,0.2065401908104283,0.25439850709086587,-0.41005055005982904,0.004565367566817358
4.0_2.25,4.0,2.25,84,7.830996823259318,10.323418596485146,39.85022164776729,0.13245119478910083,-0.013489542881889527,0.12253701441160247,-0.3173577748820646,0.061968692643869894
4.5_1.25,4.5,1.25,101,5.296004537024792,10.497915558187668,89.3123399631848,0.011485562872639521,0.0533413368782667,-0.37090176372262906,-0.9609180651079747,0.015495776439486963
4.5_1.5,4.5,1.5,129,5.702985114853457,10.794174239113413,49.524134620301325,0.17607411644075,0.27231285643241687,1.2799723819323665,-0.9865931701051218,0.021983771478564618
4.5_1.75,4.5,1.75,124,6.251007621974341,10.585723803218785,55.98276282289247,-0.10229714903448439,0.08116276907953512,-0.4475287424277221,-0.5908237385618988,0.034961736842586466
4.5_2.0,4.5,2.0,100,7.041255135528153,10.961467191566063,0.8785540915766745,-0.12863038968682539,0.0003650104257078013,-0.6838461766684101,-0.5014881447760622,-0.05224178868547297
4.5_2.5,4.5,2.5,83,7.9524654777003985,10.46115721265139,3.3661576400720463,-0.09695752472064056,0.18814881551086637,-0.11935595065791116,-0.37275558362272565,-0.03683392596194912
5.0_1.0,5.0,1.0,85,4.774281462318548,11.15943112884123,90.98304441843018,0.15907883447757531,0.9222310586554068,1.3232275070008948,-0.870826256358536,0.008105416599446913
5.0_1.25,5.0,1.25,123,5.4332992397479005,11.17552566341525,101.44182675568061,0.12333127057151794,0.27667938484402166,0.6586463814178618,-0.45186731834548177,0.07190286319893824
5.0_1.5,5.0,1.5,110,5.768602846042413,10.925608292958195,62.61468073727491,0.1672427214958555,-0.14979509170146477,-0.1537852088739493,-0.5014856029144583,-0.021205733044186936
5.0_1.75,5.0,1.75,95,6.018042645340418,10.675312698047726,37.0225975187784,0.14924148814122074,0.2896840184653269,1.168328121667071,-0.8143433356439296,0.057097477971402744
5.0_2.0,5.0,2.0,90,6.615321621905585,10.54973792667626,-19.45366011975134,-0.186742007095351,0.014893146167300753,-1.273903439104537,-0.21205985133808225,0.029051025581995404
5.0_2.25,5.0,2.25,85,7.260001720219757,10.87898843674752,55.75398531170853,-0.06148057287058567,0.20389344423182276,-0.6721579657588661,-0.5680551093290758,0.0035689917810520777
5.0_2.5,5.0,2.5,85,8.454654673791985,10.85016315346898,38.651340721891174,0.0668694540200403,-0.10963147469686563,0.5730764903912311,-0.019412384198061794,-0.00036598284572836315
5.0_2.75,5.0,2.75,98,8.63809142243711,10.708820749308579,15.089070428454235,-0.0407175870252241,0.2689676171001354,-0.7848478757070207,-0.404845936197483,-0.014167735893932498
5.0_3.0,5.0,3.0,82,8.57665382324377,10.531319672401718,1.94276389402674,0.11304805304980736,-0.38556102699872374,0.8565195859878081,-0.3498767403515697,-0.07821139044471115
5.5_0.75,5.5,0.75,124,5.134225972093054,11.734389174103134,44.49020414965116,0.12344283948377566,0.20328766797833575,0.9216513279289766,-0.4557178088900208,0.04353132687195388
5.5_1.0,5.5,1.0,112,5.052864200441129,11.848084469624935,36.03081124640177,0.16718644124635956,-0.023235844204521516,1.552840490389209,-0.42891309686259194,0.1005193206041523
5.5_1.25,5.5,1.25,100,5.574522513402813,11.822852455360085,63.50205826319262,-0.10826904622109029,0.16945336622355534,0.18854315083227124,-0.6442897356894951,0.05870327174444828
5.5_1.5,5.5,1.5,90,5.706671433016739,11.382208648724975,16.343173740102188,-0.04094373292877501,0.11563429667125402,-0.04850671558989328,-0.1858802208410817,-0.035147707870520795
5.5_1.75,5.5,1.75,126,6.344295461943517,11.551496636022188,13.926520704397461,0.023946235940454308,0.16505870232025233,0.2080996187192965,-0.2729872552876631,-0.012497048535289101
5.5_2.0,5.5,2.0,172,6.855385997313438,11.150193322825862,21.182274870854982,0.021206431001091486,0.24694577036305976,0.7076089059934674,-0.3725798256413724,0.039405485954209174
5.5_2.25,5.5,2.25,122,6.879830805893202,10.77978370042768,86.56078978249305,0.30007601509181636,-0.1810817950915209,0.9228535882568867,-0.3971526537204719,-0.014506283785831686
5.5_2.5,5.5,2.5,115,8.32102626108546,10.753924696071783,24.117333383220057,-0.04410739579736622,-0.24298401834507377,-1.2966975776842826,-0.3996559234118702,0.053010561076777596
5.5_2.75,5.5,2.75,96,8.279210251953067,10.462529146493921,37.969648252750645,0.08524553323654227,1.5341365413440573,1.115705940811213,-0.35545887456092173,-0.023370263985773854
5.5_3.0,5.5,3.0,101,8.874235212220931,10.72565257116555,20.141751620174745,0.0016030470189905,-0.10165027565766849,-1.4671679259580044,-0.5567265825904189,-0.0242523345717347
5.5_3.25,5.5,3.25,89,8.965328194880197,10.730532579344514,22.51379797084349,0.09694461957375117,0.564779254718669,0.9416059593612625,-0.10417400534983123,-0.024716640076233587
6.0_0.5,6.0,0.5,134,5.162978037506663,12.766325713429543,-23.77712031758132,-0.07011528770183173,0.3732837257687734,-0.37288625564491973,-0.1681919430268357,-0.022927016247302423
6.0_0.75,6.0,0.75,94,5.406161503414884,12.414531712569666,-37.2358294539616,-0.09880929726710244,-0.038583485639501314,-0.22603329970536512,0.1425069226627489,0.05554416958838787
6.0_1.0,6.0,1.0,197,5.175594969057997,11.136456424679164,-181.89890428612512,-0.1366209089467858,0.01773048281173284,-0.7278134698306387,-0.09975350824176021,0.09782383313220999
6.0_1.25,6.0,1.25,217,5.25258364594279,10.683561622796951,-113.9114530734265,-0.018505464703609698,0.025707226016772555,-0.05253531900108399,0.020386008406802603,0.04466156752857453
6.0_1.5,6.0,1.5,95,6.120628948543151,11.814956976212073,-72.57115087064814,-0.12381782701761163,-0.0514665164350796,0.10568006681548159,0.15184847220631292,0.009014505917915527
6.0_1.75,6.0,1.75,123,6.172612835415138,11.337229300848916,10.856311961181504,0.1674477483546048,0.03080965671311886,0.8362274307623103,-0.4472490168127723,0.03330134306991933
6.0_2.0,6.0,2.0,134,6.629532439512162,11.24834329433558,-6.544387200129421,0.047234123225550095,0.17851798847437195,0.5211706795009343,-0.18312591783342347,0.010245184896167714
6.0_2.25,6.0,2.25,146,7.116369917587844,11.095309797916732,-26.450882105216166,-0.058412085799497415,-0.1995362905529401,0.017148635653956745,-0.4401873468817479,0.02714325015668917
6.0_2.5,6.0,2.5,112,8.418517352983109,11.266489796221652,26.310284534049355,0.03321869337566019,0.7222670448205477,-0.5487652126445397,-0.4375911198840685,0.07838980910606563
6.0_2.75,6.0,2.75,105,8.519952025575197,10.882675922892197,46.59235108952902,-0.05248019717744529,0.3695157039828483,-0.12587332284795139,-0.45303449471837576,-0.022424960026381224
6.0_3.0,6.0,3.0,96,8.757820693311205,11.014979936459842,34.04678359202188,0.05587843905562073,-0.7750194095038907,0.499097542798693,0.1734975116404529,0.004070323959022015
6.0_3.25,6.0,3.25,98,8.909303859971434,10.951747187726601,52.95739641331429,0.03662395718462519,-0.47217038933135536,-0.03798082920744861,-0.1749649509704747,0.06850408864471691
6.0_3.5,6.0,3.5,81,9.277354097996898,10.813643129614272,21.95742625078259,0.14040411245689538,-0.3204025113514217,2.0993438195861316,-0.5074712059606339,0.11905025392849905
6.5_1.0,6.5,1.0,100,6.1325555706764785,12.403859907670569,-183.15871593113002,-0.19472914980586375,0.04125810609786362,-1.1203826854433583,0.07680538793854907,0.0806138401474446
6.5_1.25,6.5,1.25,99,5.903413641547565,12.034606811205283,-188.07045908129578,0.06575138485214704,-0.3657237462157308,0.43528191275566286,0.060093224258522815,0.045422511871414106
6.5_1.5,6.5,1.5,112,5.566169122046631,11.38416549669091,-237.75394082649495,-0.09911653268162984,-0.8348676000017035,-0.19302942425006542,0.7234712443429338,0.06239625729221149
6.5_1.75,6.5,1.75,101,5.220006039205009,12.112726628392327,35.79888829987948,0.16090731438403982,0.023378143936449547,1.6786991889005485,-0.5362198349144007,0.06775029385329878
6.5_2.0,6.5,2.0,93,6.835337390456427,12.103745900006789,-8.732131118755788,-0.052500782159266735,-0.12695509571320152,-1.335443310966701,0.3366734728111167,0.09913677138003829
6.5_2.25,6.5,2.25,122,6.913274183935045,11.486172846155357,17.327802846543776,0.07667563614638806,-0.04372028078024437,0.24866955708283722,-0.6334713219354491,0.052625655066109556
6.5_2.5,6.5,2.5,106,7.595032528862327,10.931222431971118,-33.4508007199412,0.011821291636591624,0.19458927366300216,0.05454553068224577,-0.5298030749583895,-0.0027836489631257733
6.5_2.75,6.5,2.75,87,8.574331326601728,11.029125882306655,66.41139142915863,0.10964331742976374,0.14539370904484583,0.5520752166239724,-0.40673160011010956,0.05115277400090634
6.5_3.0,6.5,3.0,89,8.525071225347489,11.094199548578054,64.21372773782936,0.04068413146053618,0.3264663844279818,-0.8609390508743529,-0.4372704800850533,-0.006227674186697729
6.5_3.25,6.5,3.25,82,9.108876076172722,11.371616608480268,33.098929237694506,0.046639813173232736,-0.414483752631456,0.3952346598318819,-0.5793141343161827,0.05192171431297404
