Rad,Vbulge,Vgas,Vdisk,Vc_model,Sbulge,Sdisk,Sgas,Vbar,Vnonbar_model_equiv
0.1015,90.698,-0.7467,3.905,91.201,32709.12,500.0,0.0,90.78509673889211,8.69992017836952
0.203,126.6796,-1.4972,7.817,127.535,14026.67,500.0,0.0,126.92938254399569,12.41402722729424
0.3045,147.2292,-2.244,11.735,148.594,7746.38,500.0,0.0,147.7131784697628,16.155300751146733
0.4061,160.5323,-3.0116,15.662,162.539,4846.96,500.0,0.0,161.32261875462473,19.84790163090299
0.5076,169.5785,-3.7887,19.601,172.353,3259.17,500.0,0.0,170.74958597589628,23.454967449561895
0.6091,175.7746,-4.5585,23.553,179.443,2292.37,500.0,0.0,177.40415366166036,26.973255505963735
0.7106,179.9065,-5.3752,27.522,184.597,1660.35,500.0,0.0,182.07883457802006,30.38668141982615
0.8122,182.4589,-6.2137,31.512,188.303,1226.16,500.0,0.0,185.26431496891138,33.692037755232306
0.9137,183.7656,-7.0476,35.528,190.901,917.15,500.0,0.0,187.301103021632,36.89835508366189
1.0152,184.0705,-7.9539,39.569,192.635,691.57,500.0,0.0,188.4434112842898,39.96653560843117
1.1167,183.562,-8.8979,43.644,193.701,523.89,500.0,0.0,188.88880116197996,42.90802018958684
1.2183,182.395,-9.9021,47.756,194.255,397.68,500.0,0.0,188.8031333040053,45.698817048037476
1.3198,180.6973,-11.0044,51.904,194.425,301.89,500.0,0.0,188.3258778358673,48.31608802821261
1.4213,178.5792,-12.2424,56.101,194.324,228.82,500.0,0.0,187.58392583427823,50.73546830965502
1.5228,176.136,-13.703,60.348,194.039,172.95,500.0,0.0,186.6910383735652,52.892246237043175
1.6244,173.4486,-15.6095,64.654,193.633,130.23,500.0,0.0,185.76386367700795,54.6399637700284
1.7259,170.5877,-19.2056,69.03,193.053,97.6,500.0,0.0,185.0247533781629,55.093569918366995
1.7705,169.2905,-21.0861,70.971,192.759,85.82,500.0,2.338,184.77223775356515,54.91131246419077
2.2416,155.2589,-7.8227,92.594,194.484,20.51,500.0,3.612,180.94244803389833,71.30116938381872
2.5096,147.7217,-15.0494,106.194,196.929,8.46,500.0,3.78,182.5523232589769,73.86257722114762
2.7858,140.6478,-18.4682,121.911,202.242,3.19,500.0,4.158,187.04323023590027,76.91980620698416
3.0538,134.5026,-21.592,140.35,211.095,1.16,500.0,5.544,195.5895865601234,79.40914716983171
3.3218,129.0247,-22.5488,152.945,217.765,0.4,350.26,7.84,201.36532625188974,82.90718068098805
3.5736,124.417,-21.0255,151.931,216.015,0.13,331.0,8.848,197.49605135356506,87.50879912757334
3.7929,120.7731,-20.5606,155.994,218.124,0.05,345.61,9.254,198.35071966587367,90.74729408654564
4.0528,116.8392,-20.5901,165.824,224.566,0.02,329.93,10.388,203.8944576261209,94.11130912568369
4.3046,113.3711,-17.9346,173.378,230.004,0.0,274.0,11.662,207.9292838355627,98.32218945706
4.5401,110.3915,-12.8751,174.94,231.308,0.0,222.23,11.438,207.25842581728733,102.7002229390959
4.7594,107.8184,-11.1254,173.518,230.229,0.0,199.9,11.144,204.59002475125712,105.58557767649901
4.9706,105.5033,-10.4588,172.653,229.587,0.0,191.2,11.312,202.60649352212283,107.98518116700087
