Rad,dSdR,E_dSdR,e_dSdR,Vcc,E_Vcc,e_Vcc
5.27,0.3,1.2,1.3,224.07,5.64,5.26
5.74,-1.4,1.3,0.7,234.54,2.94,5.06
6.23,-3.5,1.3,2.5,241.99,8.7,4.8
6.73,-2.9,1.0,2.7,237.84,9.14,3.65
7.22,-6.2,1.5,1.5,247.55,4.74,4.81
7.82,-3.4,1.0,1.0,238.08,3.14,3.15
8.19,-1.4,0.5,0.9,230.49,2.79,1.7
8.78,-2.6,0.7,0.6,231.25,1.95,2.25
9.27,-3.2,0.0,0.0,232.2,0.62,0.72
9.76,-3.3,0.0,0.0,231.76,0.52,0.42
10.26,-3.2,0.0,0.0,230.82,0.4,0.44
10.75,-3.1,0.0,0.0,229.26,0.41,0.38
11.25,-2.62,0.0,0.0,227.1,0.54,0.33
11.75,-2.74,0.0,0.0,226.95,0.39,0.4
12.25,-2.85,0.0,0.0,225.32,0.37,0.51
12.74,-2.97,0.0,0.0,223.86,0.46,0.54
13.23,-3.08,0.0,0.0,224.04,0.4,0.57
13.74,-3.2,0.0,0.0,220.57,0.51,0.64
14.24,-3.32,0.0,0.0,220.44,0.66,0.77
14.74,-3.43,0.0,0.0,220.77,0.68,0.65
15.22,-3.55,0.0,0.0,220.27,0.8,1.06
15.74,-3.67,0.0,0.0,220.62,1.07,0.84
16.24,-3.78,0.0,0.0,219.41,1.48,1.2
16.74,-3.9,0.0,0.0,215.79,1.43,1.39
17.25,-4.02,0.0,0.0,219.77,1.85,1.44
17.75,-4.14,0.0,0.0,217.07,1.65,2.22
18.24,-4.25,0.0,0.0,211.24,1.88,1.76
18.74,-4.37,0.0,0.0,213.02,2.77,2.31
19.22,-4.48,0.0,0.0,209.88,2.36,2.54
19.71,-4.59,0.0,0.0,205.34,2.26,2.99
20.27,-4.72,0.0,0.0,203.3,2.89,3.15
20.78,-4.84,0.0,0.0,201.66,3.37,3.33
21.24,-4.95,0.0,0.0,198.81,6.5,5.99
21.8,-5.08,0.0,0.0,217.43,12.18,15.38
22.14,-5.16,0.0,0.0,180.36,18.57,28.58
22.73,-5.3,0.0,0.0,196.76,19.05,27.64
23.66,-5.52,0.0,0.0,180.19,16.74,18.67
24.82,-5.79,0.0,0.0,202.33,6.12,6.5
