R_kpc,n_stars,Rbirth_median_kpc,migration_delta_r_median_kpc,migration_abs_delta_r_median_kpc,outward_fraction_gt0p5,inward_fraction_gt0p5,inner_born_fraction_lt6,age_median_gyr,history_distance_time_median,chi_interaction
5.0,2661,3.4648506872993203,1.5083560046745577,1.7964199593093255,0.7080045095828635,0.1514468245020669,0.8880120255543029,7.72,12.501835242051639,0.2273168214192937
5.5,3479,3.6193205299082236,1.8791636912125336,2.0753771106140704,0.7686116700201208,0.12158666283414775,0.8764012647312446,7.28,13.839553492329703,0.3242092528828652
6.0,4663,3.7018827378530235,2.321279375377862,2.477263463059808,0.8044177568089212,0.103152476946172,0.8563156766030452,7.14,16.52193452732201,0.3120082964736578
6.5,4974,3.815746898363518,2.6779243782035547,2.8011518651671645,0.8086047446722959,0.11137917169280258,0.8092078809811017,6.69,17.521948677808396,0.2388860627674016
7.0,6570,4.26768396103652,2.775009912880836,2.902769015603665,0.7898021308980213,0.12313546423135464,0.7275494672754946,6.19,16.722065600520203,0.3579774396885894
7.5,8733,4.384742843411562,3.1234763052296746,3.2482268386976916,0.8056796060918355,0.11519523645940685,0.7058284667353716,6.95,21.240406371389625,0.4131148601327902
8.0,26902,5.121944967594048,2.8860673544007724,3.074365715171659,0.7650732287562263,0.14552821351572373,0.6009962084603375,6.27,17.781203974266674,0.464992757302807
8.5,16119,5.618480200916696,2.8639700725655697,3.0441764920249748,0.7740554624976735,0.1318319995036913,0.5458775358272846,5.96,16.214310395313177,0.4900166481720453
9.0,15478,6.392451677402619,2.608682967429891,2.801558918718435,0.7559116164879184,0.135676443985011,0.4568419692466727,5.32,13.134432062003182,0.5347092780596724
9.5,13550,7.14150137538411,2.3433407258230328,2.547632709238683,0.7420664206642067,0.14324723247232474,0.3763837638376384,4.87,10.953096347145944,0.6043528467810261
10.0,10045,8.06365355102926,1.9481120453543115,2.1683826319088677,0.7233449477351916,0.14375311100049776,0.28063713290194126,4.4,8.158057310850863,0.661832162416257
10.5,7813,8.629842369406502,1.8679923845401394,2.0756259053594572,0.7374888007167542,0.13759119416357354,0.21694611544861128,4.17,7.464890177774348,0.7128324203370875
