R_kpc,n_stars,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,inner_born_fraction_lt6,guide_history_distance_time_median,epicycle_offset_median_kpc,age_median_gyr,n_young,Vphi_young_median_kms,Vphi_young_bootstrap_se_kms,Vr_young_median_kms,Vz_young_median_kms,Vbar_mcmillan17_kms,chi_young,gres_young_kms2perkpc
5.0,2661,3.4648506872993203,4.50574753545178,1.0136775268589182,1.5267747113723231,0.5967681322810974,0.229988726042841,0.5043216835776024,0.1664787673806839,0.8880120255543029,10.353497540361332,0.4976991076296402,7.72,63,220.7751995681196,2.659624314035087,-16.563580752055362,-2.6627355771466643,185.6118180253897,0.41478133917313703,2857.9883507305303
5.5,3479,3.619320529908224,5.1557354453830255,1.4048652626315308,1.7779821844958068,0.6924403564242598,0.1747628628916355,0.5924116125323369,0.1195745903995401,0.8764012647312446,11.20981173680639,0.3490301167532603,7.28,148,226.30211717367038,1.8686060982909922,-17.575915926299828,-1.2566240603239063,185.38222216590256,0.49018801637189197,3062.923625839561
6.0,4663,3.701882737853024,5.730030041877224,1.869128603470416,2.1120842287146555,0.7488741153763672,0.1336049753377653,0.6620201586961184,0.0997212095217671,0.8563156766030452,13.705435503449142,0.2940633823014513,7.14,188,231.99667109946284,0.8379663018944482,-14.29498661681631,-0.48257566929925244,184.6548424366739,0.5784909787194543,3287.5074276532446
6.5,4974,3.815746898363518,6.251449656269828,2.2628340798076936,2.4254719975314805,0.7784479292320065,0.1164053075995174,0.7052673904302372,0.0846401286690792,0.8092078809811017,14.603708916479365,0.228168320894941,6.69,195,235.192853187798,1.2906000845896246,-11.83762212409483,0.1235250540353236,183.46774927629227,0.6433451028557218,3331.578948632102
7.0,6570,4.26768396103652,6.763333121463399,2.314407811079548,2.461554397131388,0.7715372907153729,0.1299847792998477,0.7062404870624048,0.0905631659056316,0.7275494672754946,14.158172436357628,0.2576409915048234,6.19,160,232.98614824581938,0.9710445052834702,-13.250166769814339,-1.3640072076798675,181.8778898422391,0.640969048371159,3028.9969229938943
7.5,8733,4.384742843411562,7.153768914616156,2.5527052164109643,2.72487032359118,0.7831214931867628,0.1228672850108782,0.721630596587656,0.0887438451849307,0.7058284667353716,17.500720105604604,0.3510876601639419,6.95,122,226.9565616264012,1.339753068087134,-6.29843800758691,-0.574069562113252,179.9525725304046,0.5906307265407699,2550.1803339957214
8.0,26902,5.121944967594048,7.757283976790966,2.407887946235386,2.634256410727396,0.7490892870418556,0.1488736896884989,0.6880157609099695,0.1083190840829678,0.6009962084603375,15.3165838928891,0.2563607096836113,6.27,212,228.7109003497131,0.970024986694896,-4.4197167061501155,2.786013241660541,177.75907565631945,0.6554274813703603,2588.7983700734126
8.5,16119,5.618480200916696,8.173853517310391,2.380298872238112,2.6170783285644754,0.7530864197530864,0.1431850611080092,0.6912339475153545,0.1009367826788262,0.5458775358272846,14.26633093287293,0.31760075258601,5.96,83,224.7306988407392,2.6233478764738534,-8.86298920510519,1.6494764399275872,175.35996517009454,0.642343150332948,2323.855249057676
9.0,15478,6.392451677402619,8.623889406169674,2.1725288684562782,2.433647586295724,0.7325235818581212,0.1499547745186716,0.6618426153249773,0.1049877245122108,0.4568419692466727,11.736916341829517,0.3708008134622718,5.32,142,215.8170148198114,1.9815097385347338,-13.153071271352577,2.146903984493587,172.81244205921985,0.5596291633460055,1856.9826394737195
9.5,13550,7.14150137538411,9.037806773768176,1.891863505836731,2.2024356586482607,0.7005166051660516,0.1614760147601476,0.6264944649446494,0.111660516605166,0.3763837638376384,9.566451475071238,0.4510203654009661,4.87,359,216.51495011536971,0.6940681818783583,-11.291165359414604,-0.5479798727470195,170.166340367629,0.6189314528382409,1886.541076773608
10.0,10045,8.06365355102926,9.56337793282598,1.573007126309717,1.8986524813118493,0.6800398208063714,0.1741164758586361,0.5955201592832254,0.1173718267794922,0.2806371329019412,7.337973790242031,0.4257460577856609,4.4,663,214.8443704014722,0.3474602152820545,-4.816259462732735,-0.1244134484043307,167.46240639728975,0.6459373532293993,1811.444593683395
10.5,7813,8.629842369406502,9.915011195907718,1.398520304407743,1.7439923831023858,0.6633815435812108,0.1780366056572379,0.5695635479329323,0.1169845129911685,0.2169461154486112,6.291760129665282,0.573590848822823,4.17,581,210.40987762190323,0.6294172884281766,-4.171190511049357,0.636887109373702,164.73352946925465,0.6314292355342802,1631.9219875682386
