scenario,zcut_kpc,hnu_kpc,decomposition,predictor,rho_detrended_rank,p_perm,p_maxT
z0.5_hnu2.0,0.5,2.0,mcmillan17,Rbirth_median_kpc,0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcmillan17,deltaR_guide_median_kpc,-0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcmillan17,abs_deltaR_guide_median_kpc,-0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcmillan17,outward_guide_fraction_gt1,0.14285714285714288,0.7716614169291536,0.9261036948152592
z0.5_hnu2.0,0.5,2.0,mcmillan17,inward_guide_fraction_gt1,0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcmillan17,inner_born_fraction_lt6,-0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcmillan17,guide_history_distance_time_median,-0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcmillan17,age_median_gyr,-0.20000000000000004,0.687865606719664,0.8647067646617669
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,Rbirth_median_kpc,-0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,deltaR_guide_median_kpc,0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,abs_deltaR_guide_median_kpc,0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,outward_guide_fraction_gt1,0.48571428571428577,0.32058397080145995,0.44672766361681915
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,inward_guide_fraction_gt1,-0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,inner_born_fraction_lt6,0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,guide_history_distance_time_median,0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.0,0.5,2.0,mcgaugh2019,age_median_gyr,0.08571428571428574,0.8336083195840208,0.9642517874106294
z0.5_hnu2.5,0.5,2.5,mcmillan17,Rbirth_median_kpc,-0.02857142857142859,0.9379031048447578,0.9860506974651267
z0.5_hnu2.5,0.5,2.5,mcmillan17,deltaR_guide_median_kpc,0.02857142857142859,0.9379031048447578,0.9860506974651267
z0.5_hnu2.5,0.5,2.5,mcmillan17,abs_deltaR_guide_median_kpc,0.02857142857142859,0.9379031048447578,0.9860506974651267
z0.5_hnu2.5,0.5,2.5,mcmillan17,outward_guide_fraction_gt1,0.4285714285714286,0.3959302034898255,0.5291735413229338
