R_kpc,n,mean_vphi_kms,sigma_R_kms,sigma_phi_kms,sigma_z_kms,mean_vr_kms,mean_vz_kms,dln_sigmaR2_dR_per_kpc
5.0,61,193.66269909897997,85.34627738470171,46.51282072543777,56.677251922141096,-4.317075233449503,-7.353821464467547,-0.42412118832173235
5.5,89,196.0417277535661,61.177601288986004,43.04753235231335,56.48815535104467,7.205889706346687,3.4074501147985092,-0.42412118832173235
6.0,144,195.33574038326867,67.0091661446492,42.307305096497196,51.277292887084855,1.7215476166701735,-3.789936287469215,-0.42412118832173235
6.5,93,197.98160012359827,62.88976952070073,42.442827475569096,44.19474331427043,-3.3692050616113955,2.9983931505904198,-0.42412118832173235
7.0,37,198.4344248993849,49.9931378992146,45.972393216721855,35.161569296485965,-3.795167690887503,3.3755917840357355,-0.42412118832173235
7.5,43,202.49372950580081,49.5378755799636,37.68480933198509,24.22817564887559,12.909615265906957,-7.613296861637049,-0.42412118832173235
8.0,170,227.3297174580635,11.111821469907248,20.11145388819397,14.26595193767172,-0.7769364149228412,4.809135328762293,-0.42412118832173235
8.5,277,228.79350348312965,19.74707824521589,10.077587504125445,8.70436930906594,1.9017436645155346,-5.562235669937216,-0.42412118832173235
9.0,93,222.6680365216622,20.986854555344916,24.927356509355153,15.633783234023355,-9.314825986840148,0.8762261368923889,-0.42412118832173235
9.5,98,209.09814894542626,37.096428491089505,38.215960906433914,16.786991654638197,0.7193869878941967,-0.9490153654861009,-0.42412118832173235
10.0,154,222.49071398683188,29.338396197944657,19.615126945652868,14.676527922613985,1.800448625016603,2.148213052419026,-0.42412118832173235
10.5,103,219.67568659688698,32.99836011481603,23.08589977680552,14.96880233612072,-0.2542640783970776,3.310245679682089,-0.42412118832173235
