R_kpc,n,mean_vphi_kms,sigma_R_kms,sigma_phi_kms,sigma_z_kms,mean_vr_kms,mean_vz_kms,dln_sigmaR2_dR_per_kpc,hnu_kpc,dln_nusigR2_dlnR,Vc_jeans_kms,Vc_eilers_kms,Vc_minus_eilers_kms,n_stars,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,inner_born_fraction_lt6,guide_history_distance_time_median,epicycle_offset_median_kpc,age_median_gyr,Vbar_mcgaugh_kms,chi_jeans,gres_jeans_kms2perkpc
5.0,61,193.66269909897997,85.34627738470171,46.51282072543777,56.677251922141096,-4.317075233449503,-7.353821464467547,-0.42412118832173235,2.5,-4.120605941608662,249.79819219295396,234.3074,15.490792192953961,2661,3.4648506872993203,4.50574753545178,1.0136775268589182,1.5267747113723231,0.5967681322810974,0.229988726042841,0.5043216835776024,0.1664787673806839,0.8880120255543029,10.353497540361332,0.4976991076296402,7.72,202.2578427631444,0.5253441485583703,4298.1803727334245
5.5,89,196.0417277535661,61.177601288986004,43.04753235231335,56.48815535104467,7.205889706346687,3.4074501147985092,-0.42412118832173235,2.5,-4.532666535769527,231.3161391210318,233.4574,-2.141260878968211,3479,3.619320529908224,5.1557354453830255,1.4048652626315308,1.7779821844958068,0.6924403564242598,0.1747628628916355,0.5924116125323369,0.1195745903995401,0.8764012647312446,11.20981173680639,0.3490301167532603,7.28,199.17013117357573,0.34884936260621313,2516.0754665747595
6.0,144,195.33574038326867,67.0091661446492,42.307305096497196,51.277292887084855,1.7215476166701735,-3.789936287469215,-0.42412118832173235,2.5,-4.944727129930394,240.12222953567598,232.6074,7.514829535675972,4663,3.701882737853024,5.730030041877224,1.869128603470416,2.1120842287146555,0.7488741153763672,0.1336049753377653,0.6620201586961184,0.0997212095217671,0.8563156766030452,13.705435503449142,0.2940633823014513,7.14,208.2128157933805,0.32999442152131025,2384.351409429277
6.5,93,197.98160012359827,62.88976952070073,42.442827475569096,44.19474331427043,-3.3692050616113955,2.9983931505904198,-0.42412118832173235,2.5,-5.3567877240912605,241.308390666668,231.7574,9.550990666668014,4974,3.815746898363518,6.251449656269828,2.2628340798076936,2.4254719975314805,0.7784479292320065,0.1164053075995174,0.7052673904302372,0.0846401286690792,0.8092078809811017,14.603708916479365,0.228168320894941,6.69,215.39772933508385,0.255054557156167,1820.5473236041883
7.0,37,198.4344248993849,49.9931378992146,45.972393216721855,35.161569296485965,-3.795167690887503,3.3755917840357355,-0.42412118832173235,2.5,-5.768848318252126,231.1028569958221,230.9074,0.19545699582209863,6570,4.26768396103652,6.763333121463399,2.314407811079548,2.461554397131388,0.7715372907153729,0.1299847792998477,0.7062404870624048,0.0905631659056316,0.7275494672754946,14.158172436357628,0.2576409915048234,6.19,208.6892912644165,0.22633832434317314,1408.1871747409896
7.5,43,202.49372950580081,49.5378755799636,37.68480933198509,24.22817564887559,12.909615265906957,-7.613296861637049,-0.42412118832173235,2.5,-6.180908912412992,234.81441949243376,230.0574,4.757019492433756,8733,4.384742843411562,7.153768914616156,2.5527052164109643,2.72487032359118,0.7831214931867628,0.1228672850108782,0.721630596587656,0.0887438451849307,0.7058284667353716,17.500720105604604,0.3510876601639419,6.95,204.5271700343554,0.31809741005856473,1774.19310924087
8.0,170,227.3297174580635,11.111821469907248,20.11145388819397,14.26595193767172,-0.7769364149228412,4.809135328762293,-0.42412118832173235,2.5,-6.5929695065738585,229.72559581301843,229.2074,0.5181958130184228,26902,5.121944967594048,7.757283976790966,2.407887946235386,2.634256410727396,0.7490892870418556,0.1488736896884989,0.6880157609099695,0.1083190840829678,0.6009962084603375,15.3165838928891,0.2563607096836113,6.27,193.64970209484915,0.40729487708607015,1909.205281277811
8.5,277,228.79350348312965,19.74707824521589,10.077587504125445,8.70436930906594,1.9017436645155346,-5.562235669937216,-0.42412118832173235,2.5,-7.005030100734725,234.07193141108257,228.3574,5.714531411082561,16119,5.618480200916696,8.173853517310391,2.380298872238112,2.6170783285644754,0.7530864197530864,0.1431850611080092,0.6912339475153545,0.1009367826788262,0.5458775358272846,14.26633093287293,0.31760075258601,5.96,189.15084600340103,0.5313769334204539,2236.6619447896724
9.0,93,222.6680365216622,20.986854555344916,24.927356509355153,15.633783234023355,-9.314825986840148,0.8762261368923889,-0.42412118832173235,2.5,-7.417090694895591,230.27987920105446,227.5074,2.772479201054466,15478,6.392451677402619,8.623889406169674,2.1725288684562782,2.433647586295724,0.7325235818581212,0.1499547745186716,0.6618426153249773,0.1049877245122108,0.4568419692466727,11.736916341829517,0.3708008134622718,5.32,187.01178762995647,0.5162612029241578,2006.157116922254
9.5,98,209.09814894542626,37.096428491089505,38.215960906433914,16.786991654638197,0.7193869878941967,-0.9490153654861009,-0.42412118832173235,2.5,-7.8291512890564565,233.62448075380527,226.6574,6.967080753805277,13550,7.14150137538411,9.037806773768176,1.891863505836731,2.2024356586482607,0.7005166051660516,0.1614760147601476,0.6264944649446494,0.111660516605166,0.3763837638376384,9.566451475071238,0.4510203654009661,4.87,183.1579673051412,0.6269906912565822,2214.0586336983115
