R_kpc,n,mean_vphi_kms,sigma_R_kms,sigma_phi_kms,sigma_z_kms,mean_vr_kms,mean_vz_kms,dln_sigmaR2_dR_per_kpc,hnu_kpc,dln_nusigR2_dlnR,Vc_jeans_kms,Vc_eilers_kms,Vc_minus_eilers_kms,n_stars,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,inner_born_fraction_lt6,guide_history_distance_time_median,epicycle_offset_median_kpc,age_median_gyr,Vbar_mcmillan17_kms,chi_jeans,gres_jeans_kms2perkpc
5.0,155,187.52264220004852,81.80292001063857,50.56553834430395,54.98458648132316,-2.5674997020941355,0.5242295167092563,-0.3799534175794541,2.0,-4.399767087897271,245.91034276621772,234.3074,11.602942766217723,2661,3.4648506872993203,4.50574753545178,1.0136775268589182,1.5267747113723231,0.5967681322810974,0.229988726042841,0.5043216835776024,0.1664787673806839,0.8880120255543029,10.353497540361332,0.4976991076296402,7.72,185.6118180253897,0.7552635776565849,5204.029937741661
5.5,214,187.11143389037136,69.13237074604166,44.710110346952604,55.86422582721133,-3.2418075130390998,1.0210293247185354,-0.3799534175794541,2.0,-4.839743796686998,235.28899545336824,233.4574,1.8315954533682373,3479,3.619320529908224,5.1557354453830255,1.4048652626315308,1.7779821844958068,0.6924403564242598,0.1747628628916355,0.5924116125323369,0.1195745903995401,0.8764012647312446,11.20981173680639,0.3490301167532603,7.28,185.38222216590256,0.6108943699577619,3817.153288415834
6.0,227,192.5241758864372,68.76850012062808,44.465328673656735,55.49485360462521,2.5705832663555146,-1.3362145274787767,-0.3799534175794541,2.0,-5.279720505476725,243.47890726149092,232.6074,10.871507261490905,4663,3.701882737853024,5.730030041877224,1.869128603470416,2.1120842287146555,0.7488741153763672,0.1336049753377653,0.6620201586961184,0.0997212095217671,0.8563156766030452,13.705435503449142,0.2940633823014513,7.14,184.6548424366739,0.7386064463244966,4197.427907656137
6.5,168,188.44836187842594,65.58546932345968,45.5311308251621,51.722751394274084,4.381771061670983,2.280861965566583,-0.3799534175794541,2.0,-5.719697214266452,240.59806404405367,231.7574,8.840664044053682,4974,3.815746898363518,6.251449656269828,2.2628340798076936,2.4254719975314805,0.7784479292320065,0.1164053075995174,0.7052673904302372,0.0846401286690792,0.8092078809811017,14.603708916479365,0.228168320894941,6.69,183.46774927629227,0.7197479109986676,3727.2328303443255
7.0,87,180.5280074060687,62.009274086705744,45.92443633951945,45.97544145029651,-1.738386359628412,3.0868614332073903,-0.3799534175794541,2.0,-6.159673923056179,233.53615538448545,230.9074,2.6287553844854585,6570,4.26768396103652,6.763333121463399,2.314407811079548,2.461554397131388,0.7715372907153729,0.1299847792998477,0.7062404870624048,0.0905631659056316,0.7275494672754946,14.158172436357628,0.2576409915048234,6.19,181.8778898422391,0.6487258185486681,3065.65272261441
7.5,85,184.76979126891703,53.11453763396167,45.286579418267706,41.87676098764403,15.70526204076121,-11.769180247282636,-0.3799534175794541,2.0,-6.599650631845906,228.00927047984794,230.0574,-2.0481295201520595,8733,4.384742843411562,7.153768914616156,2.5527052164109643,2.72487032359118,0.7831214931867628,0.1228672850108782,0.721630596587656,0.0887438451849307,0.7058284667353716,17.500720105604604,0.3510876601639419,6.95,179.9525725304046,0.6054208206960909,2614.039875258923
8.0,242,214.95454870014495,25.504073023856574,33.16199475647952,21.299146515029765,1.4208810397027316,2.856324936331383,-0.3799534175794541,2.0,-7.039627340635633,226.3486210658528,229.2074,-2.8587789341472103,26902,5.121944967594048,7.757283976790966,2.407887946235386,2.634256410727396,0.7490892870418556,0.1488736896884989,0.6880157609099695,0.1083190840829678,0.6009962084603375,15.3165838928891,0.2563607096836113,6.27,177.75907565631945,0.6214073582837784,2454.42616002799
8.5,322,227.44198529568155,24.74295696973494,14.858173657163663,11.613682794562992,1.340182240490893,-5.3074890993240915,-0.3799534175794541,2.0,-7.47960404942536,236.468868547769,228.3574,8.111468547768993,16119,5.618480200916696,8.173853517310391,2.380298872238112,2.6170783285644754,0.7530864197530864,0.1431850611080092,0.6912339475153545,0.1009367826788262,0.5458775358272846,14.26633093287293,0.31760075258601,5.96,175.35996517009454,0.8183900472028282,2960.7539303300337
9.0,200,196.9633837940467,44.866943684671924,45.46150631765641,29.580339140805897,4.126031713470327,-1.0782773167611752,-0.3799534175794541,2.0,-7.919580758215087,234.07420660777635,227.5074,6.566806607776357,15478,6.392451677402619,8.623889406169674,2.1725288684562782,2.433647586295724,0.7325235818581212,0.1499547745186716,0.6618426153249773,0.1049877245122108,0.4568419692466727,11.736916341829517,0.3708008134622718,5.32,172.81244205921985,0.8346663911865138,2769.621563176528
9.5,159,198.39522879914833,43.81935478017158,41.591928026450134,23.70017240378325,1.1373596882624346,-2.173006247540179,-0.3799534175794541,2.0,-8.359557467004814,234.99341574693852,226.6574,8.336015746938529,13550,7.14150137538411,9.037806773768176,1.891863505836731,2.2024356586482607,0.7005166051660516,0.1614760147601476,0.6264944649446494,0.111660516605166,0.3763837638376384,9.566451475071238,0.4510203654009661,4.87,170.166340367629,0.9070587400736894,2764.7707421370246
