pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total,abs_zresid_baryon
J1603-7202,7749.3,-352.4,-112.8,0.815,0.252,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.590892621378877,0.1250119910579086,0.0009347380563967964,-0.011609551797274242,0.6899880089420913,0.8140652619436032,0.8266095517972742,3.2304177061254093,3.2801966341161677,3.2304177061254093
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.1468393479472183,-0.10817678833749733,-0.3459650292616159,-0.41584940968405765,0.9411767883374973,1.1789650292616158,1.2488494096840577,2.631618368887535,2.787610289473343,2.631618368887535
J1600-3053,6838.9,-365.4,411.2,0.708,0.242,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.4773346980288533,0.4161596723615258,0.08541190656246958,0.1130482019407831,0.2918403276384742,0.6225880934375304,0.5949517980592168,2.572678072055911,2.458478504376929,2.572678072055911
J1455-3330,7509.1,-343.2,310.8,1.72,1.01,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.8400260055498289,0.14758360703232595,-0.06860569893781407,-0.07558804803672789,1.572416392967674,1.788605698937814,1.795588048036728,1.770896731621598,1.7778099485512158,1.770896731621598
J2043+1711,7396.6,1361.5,-403.6,323.0,194.0,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.6365191016300424,0.08799564652594871,-0.27162264975074396,-0.4189913888189683,322.91200435347406,323.2716226497507,323.418991388819,1.6663485703595398,1.6671082030351494,1.6663485703595398
J1909-3744,7049.0,-5.0,-364.3,0.246,0.101,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.2168239354976549,0.355671050161418,0.07872546982548427,0.11452613598384098,-0.10967105016141798,0.1672745301745157,0.13147386401615901,1.6561834670744129,1.3017214259025645,1.6561834670744129
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.01227428101281,-0.18323309994048165,-0.37740326286053505,-0.4303087321037995,0.28923309994048163,0.48340326286053503,0.5363087321037995,1.5444193701614537,1.7134464284466437,1.5444193701614537
J1614-2230,7479.1,-83.0,257.3,0.984,0.653,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.7792991081734921,0.2078809935760049,0.013943427900375121,0.03313398631713363,0.7761190064239951,0.9700565720996248,0.9508660136828664,1.4855383952521053,1.456150097523532,1.4855383952521053
J2145-0750,7813.8,340.8,-395.5,-0.117,0.105,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.6553925007199887,-0.07365684432911243,-0.2565104079425475,-0.2967026291407343,-0.043343155670887576,0.1395104079425475,0.17970262914073432,1.3286705518337856,1.7114536108641365,1.3286705518337856
J2222-0137,8035.2,164.2,-172.5,-0.294,0.125,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.2954199214677311,-0.03017030590123353,-0.14634284657845698,-0.16398126164706475,-0.26382969409876644,-0.147657153421543,-0.13001873835293523,-1.181257227372344,-1.0401499068234819,1.181257227372344
J1022+1001,8450.4,-419.4,683.2,-0.643,0.32,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.8369293638055721,-0.36346511277464016,-0.3494919568727018,-0.42627582457784446,-0.27953488722535985,-0.2935080431272982,-0.21672417542215555,-0.9172126347728069,-0.6772630481942361,0.9172126347728069
J1017-7156,7620.6,-1270.9,-284.8,1.09,1.71,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.4295769339213615,0.05505495404441774,-0.23931950668177146,-0.37931685878321597,1.0349450459555825,1.3293195066817716,1.4693168587832162,0.7773798284688723,0.8592496250194247,0.7773798284688723
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.8131997786522077,-0.3133503258231714,-0.2765511140818223,-0.32754554693916155,0.5373503258231714,0.5005511140818223,0.5515455469391616,0.7307315534041201,0.8051759809330825,0.7307315534041201
J2234+0611,7920.4,664.3,-627.7,-1.71,2.72,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.9587335083327382,-0.25356005447514895,-0.39655454579037475,-0.49612437927858866,-1.456439945524851,-1.3134454542096252,-1.2138756207214114,-0.48288435816530334,-0.446277801735813,0.48288435816530334
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.032724721307667,0.2608644601427528,0.0877946024565202,0.08990354296470784,-0.4018644601427528,-0.22879460245652017,-0.23090354296470783,-0.43006504221150404,-0.43402921609907485,0.43006504221150404
J0751+1807,9325.5,-504.7,527.6,-0.8,2.9,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.3332006975695738,0.2178512702772137,0.06722110009704525,0.07369328384054946,-1.0178512702772138,-0.8672211000970453,-0.8736932838405496,-0.29904175865415356,-0.30127354615191365,0.29904175865415356
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.14930929508908702,-0.024822564447770003,-0.0885700482546062,-0.10225823772148868,-0.09717743555222999,-0.0334299517453938,-0.01974176227851132,-0.20384116917923048,-0.12037659925921537,0.20384116917923048
J1125-6014,7547.9,-1385.6,42.7,-0.43,1.75,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.536257484928878,0.11045706762356748,-0.18024866891254918,-0.32916238500285006,-0.5404570676235675,-0.24975133108745082,-0.10083761499714994,-0.14271504633568619,-0.05762149428408568,0.14271504633568619
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,0.7013787208063841,0.02539231426856507,-0.07386221550158525,-0.13711610639367403,-1.565392314268565,-1.4661377844984147,-1.402883893606326,-0.12974670659278006,-0.12414901713330317,0.12974670659278006
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.0965982901682814,-0.009845614567157303,-0.0764200168317994,-0.1028193682902586,0.1498456145671573,0.2164200168317994,0.24281936829025863,0.11330890933602063,0.12713055931427153,0.11330890933602063
J1738+0333,6653.6,770.9,547.3,0.062,1.03,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0,1.8210450461204968,0.4036432118831637,-0.029534594788472895,-0.04871174407781997,-0.3416432118831637,0.0915345947884729,0.11071174407781997,0.08886853862958534,0.10748713017264075,0.08886853862958534
