pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
B1259-63,6661.5,-2150.5,-27.9,391.0,196.0,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,2.650447922521777,0.35220544669740855,-0.2530877208115333,-0.4890748183030428,390.6477945533026,391.25308772081155,391.48907481830304,1.996189223065365,1.997393238868893
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.9975536577046878,-0.16517608774963546,-0.3436976299577275,-0.39388105082865627,0.2711760877496355,0.4496976299577275,0.49988105082865625,1.4367336420374681,1.5970640601554513
B1913+16,5486.2,3137.1,165.9,-4.74,0.15,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,4.157106789583352,0.6924782187008772,-0.4870727612236981,-0.8911460832281356,-5.4324782187008775,-4.252927238776302,-3.8488539167718647,-28.352848258508683,-25.659026111812434
J0348+0432,9403.9,-74.6,-933.8,-5.4,18.2,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.5304324650241834,-0.053565186294388466,-0.017516754880578623,-0.027507937284692394,-5.346434813705612,-5.382483245119421,-5.372492062715308,-0.2957408376439243,-0.29519187157776416
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.16184976243417865,-0.0397757494554128,-0.12475342404180643,-0.14007279427060101,-0.08222425054458721,0.0027534240418064376,0.018072794270601017,0.016789170986624618,0.11019996506464035
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.0360767683912222,0.25533520388723413,0.07726466613336343,0.07866553404743012,-0.3963352038872341,-0.21826466613336343,-0.2196655340474301,-0.41027192882211166,-0.4129051391868987
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.7027563660330653,0.023415723706479537,-0.07867522522879188,-0.1421077954247142,-1.5634157237064796,-1.4613247747712081,-1.3978922045752857,-0.1293207765284255,-0.12370727474117572
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.085529755465044,0.005628945562511757,-0.050271977795719305,-0.07462519350872715,0.13437105443748826,0.1902719777957193,0.21462519350872716,0.09961883654226142,0.1123692112611137
J0751+1807,9325.5,-504.7,527.6,-0.8,2.9,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.3251070069998112,0.23054766738550853,0.08710137989901033,0.09525970582851098,-1.0305476673855085,-0.8871013798990104,-0.895259705828511,-0.3058970275513829,-0.3087102433891417
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.7959564560954321,-0.29573649889684084,-0.240052071828137,-0.2884154846961084,0.5197364988968408,0.464052071828137,0.5124154846961084,0.6774482800410759,0.7480518024760706
J1017-7156,7620.6,-1270.9,-284.8,1.09,1.71,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,1.4338655899351238,0.04889514672234537,-0.2522674908704227,-0.39283746868349173,1.0411048532776548,1.3422674908704229,1.4828374686834918,0.7849517490470309,0.8671564144347905
J1022+1001,8450.4,-419.4,683.2,-0.643,0.32,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.21,0.0208,0.8200379747304387,-0.34706037814109053,-0.3146054081373901,-0.38926356611364127,-0.2959396218589095,-0.32839459186260994,-0.25373643388635875,-1.0262330995706561,-0.792926355894871
