pulsar,x_pc,y_pc,z_pc,aGal_1e10_m_s2,aGal_err_1e10_m_s2,model_outlier_ge3sigma,modified_catalog_excluded,source,doi,sun_R_kpc,sun_z_kpc,distance_from_assumed_sun_kpc,a_moran_linear_pred_1e10,a_mcmillan_baryon_pred_1e10,a_mcmillan_total_pred_1e10,resid_moran_linear_1e10,resid_baryon_1e10,resid_total_1e10,zresid_baryon,zresid_total
B1259-63,6661.5,-2150.5,-27.9,391.0,196.0,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,2.6618829632423737,0.36024502344458875,-0.24655461530429404,-0.4808485111780793,390.6397549765554,391.2465546153043,391.48084851117807,1.9961558908944097,1.9973512679141738
B1534+12,7532.5,212.1,721.6,0.106,0.313,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.025767624757187,-0.17036719650941118,-0.3681750012413933,-0.4192851933158844,0.27636719650941116,0.4741750012413933,0.5252851933158844,1.5149361062025344,1.6782274546833367
B1913+16,5486.2,3137.1,165.9,-4.74,0.15,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,4.171013984632514,0.6993083780938192,-0.4848702355457654,-0.8874135945383936,-5.43930837809382,-4.255129764454235,-3.8525864054616066,-28.367531763028236,-25.683909369744043
J0348+0432,9403.9,-74.6,-933.8,-5.4,18.2,0,1,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.5018617812568502,-0.04857413445793235,0.004377830729208475,-0.0046211070485894686,-5.351425865542068,-5.404377830729209,-5.395378892951411,-0.29694383685325326,-0.296449389722605
J0437-4715,8155.4,-111.16,-83.4,-0.122,0.164,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.15772528522719503,-0.017108731780785612,-0.080558366272533,-0.09280094518991049,-0.10489126821921438,-0.041441633727466995,-0.02919905481008951,-0.2526928885821158,-0.17804301713469214
J0613-0200,9067.1,-554.5,-156.3,-0.141,0.532,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.0161871628789645,0.25210554340619384,0.08211715523410268,0.08273407952494855,-0.39310554340619386,-0.22311715523410267,-0.22373407952494853,-0.41939314893628316,-0.42055278106193333
J0737-3039A/B,8429.1,-665.3,-36.1,-1.54,11.3,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.6953906168478259,0.020920139771145985,-0.07734544956145775,-0.14179762738114082,-1.560920139771146,-1.4626545504385422,-1.3982023726188593,-0.12943845579102142,-0.12373472324060701
J0740+6620,8984.1,504.0,591.0,0.14,1.91,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.08257277353534,-0.020983941823896998,-0.0841200360195028,-0.11220011944647075,0.16098394182389703,0.2241200360195028,0.25220011944647075,0.1173403329945041,0.13204194735417318
J0751+1807,9325.5,-504.7,527.6,-0.8,2.9,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.316512096412334,0.20751322091493699,0.060666231260130515,0.0656826638540826,-1.0075132209149371,-0.8606662312601305,-0.8656826638540827,-0.2967814590552174,-0.2985112633979595
J1012+5307,8622.6,179.4,677.4,0.224,0.685,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.8032371256360104,-0.32505591097182057,-0.285647584076157,-0.33827413838840836,0.5490559109718206,0.509647584076157,0.5622741383884083,0.7440110716440247,0.820838158231253
J1017-7156,7620.6,-1270.9,-284.8,1.09,1.71,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.4379381801732647,0.061237634283686435,-0.2350797195570226,-0.3737608854089353,1.0287623657163136,1.3250797195570228,1.4637608854089355,0.7749004207935806,0.8560005177830032
J1022+1001,8450.4,-419.4,683.2,-0.643,0.32,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.8314052922612413,-0.37020315899467204,-0.35571580229918215,-0.433643934949593,-0.272796841005328,-0.28728419770081787,-0.209356065050407,-0.8977631178150558,-0.6542377032825218
J1125-6014,7547.9,-1385.6,42.7,-0.43,1.75,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.5449825435907039,0.11661960689941135,-0.17602446967543814,-0.3235795220176599,-0.5466196068994114,-0.2539755303245619,-0.10642047798234011,-0.14512887447117823,-0.06081170170419435
J1455-3330,7509.1,-343.2,310.8,1.72,1.01,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.8567845061624308,0.15764069836528352,-0.06044796028587834,-0.0658340594338231,1.5623593016347164,1.7804479602858783,1.7858340594338231,1.7628197626592854,1.768152534092894
J1600-3053,6838.9,-365.4,411.2,0.708,0.242,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.4959150410367568,0.42539333213667757,0.09226780270140938,0.12121717911454281,0.2826066678633224,0.6157321972985905,0.5867828208854572,2.5443479227214487,2.424722400353129
J1603-7202,7749.3,-352.4,-112.8,0.815,0.252,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.6066152734641624,0.13387658809879605,0.0075650128284506695,-0.003291022891680536,0.681123411901204,0.8074349871715493,0.8182910228916804,3.2041070919505925,3.24718659877651
J1614-2230,7479.1,-83.0,257.3,0.984,0.653,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.7980871506295535,0.21746937381849987,0.021522933940888927,0.041939207044227184,0.7665306261815001,0.9624770660591111,0.9420607929557728,1.4739311884519313,1.4426658391359461
J1640+2224,7480.8,556.8,688.1,0.833,0.448,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.1596587817112411,-0.09703705880961482,-0.33799808968283607,-0.4060994014610502,0.9300370588096147,1.170998089682836,1.2390994014610501,2.613835021613473,2.7658468782612724
J1713+0747,7081.5,570.0,576.4,-0.275,0.052,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.40576997051438,0.20050542507809033,-0.14125674710140398,-0.16717024701814745,-0.47550542507809035,-0.13374325289859604,-0.10782975298185257,-2.5719856326653083,-2.0736490958048575
J1738+0333,6653.6,770.9,547.3,0.062,1.03,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.838167854141727,0.4131767997621845,-0.022321389256310154,-0.03987574795341242,-0.3511767997621845,0.08432138925631015,0.10187574795341242,0.08186542646243704,0.09890849315865283
J1741+1351,6799.8,1027.4,681.2,67.5,18.8,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.8881356519063985,0.25046435997462113,-0.2062133057365671,-0.2840870837969369,67.24953564002539,67.70621330573657,67.78408708379693,3.6013943247732216,3.605536547010475
J1909-3744,7049.0,-5.0,-364.3,0.246,0.101,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.235920907663593,0.36495591603243094,0.08565526602872096,0.12262445440832713,-0.11895591603243094,0.16034473397127902,0.12337554559167287,1.58757162347801,1.2215400553630975
J1933-6211,7173.3,-454.6,-556.6,-1.27,0.425,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.2779200327094025,0.17107276629547408,-0.1428872026950759,-0.16103429432126146,-1.441072766295474,-1.1271127973049242,-1.1089657056787385,-2.652030111305704,-2.609331072185267
J2043+1711,7396.6,1361.5,-403.6,323.0,194.0,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,1.6465511744248946,0.0952606872086955,-0.26654698945066885,-0.412385644643941,322.9047393127913,323.26654698945066,323.41238564464396,1.6663224071621168,1.667074152807443
J2129-5721,7720.0,-162.8,-393.8,7.14,0.7,1,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.6645918145749319,-0.010707185740093762,-0.20638486206270867,-0.22296218520815017,7.150707185740093,7.346384862062708,7.36296218520815,10.49483551723244,10.518517407440214
J2145-0750,7813.8,340.8,-395.5,-0.117,0.105,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.6676730711957761,-0.06281131471259094,-0.2474691706543103,-0.2859030306536043,-0.05418868528740907,0.1304691706543103,0.1689030306536043,1.2425635300410505,1.6086002919390885
J2222-0137,8035.2,164.2,-172.5,-0.294,0.125,0,0,Moran et al. 2024 Phys Rev D 109 123015,10.1103/PhysRevD.109.123015,8.23,0.0,0.3076766646985115,-0.019598591937118888,-0.13578504920518775,-0.1516713028487208,-0.2744014080628811,-0.15821495079481224,-0.1423286971512792,-1.265719606358498,-1.1386295772102335
