pulsar,R_kpc,phi_mwm_deg,z_kpc,resid_baryon_1e10,zresid_baryon,deltaR_mean_kpc,migration_direction_mean,Rbirth_mean_kpc,Age_mean_gyr,FeH_mean,aFe_mean,log_source_weight,source_neff,nearest_source_kpc
B1259-63,7.0000166071231575,162.10861353185794,-0.027899999999999998,391.2518968748054,1.996183147320436,-4.505279045638175,-0.5344261969139725,11.515652449473446,8.190801868926336,-0.9984017779994838,0.2986345634812691,5.434677248444947,794.7309773883799,0.2918683779836302
B1534+12,7.535485562324435,181.6129073464129,0.7216,0.483403262860535,1.5444193701614537,-2.0248477506020146,-0.2127794503389518,9.693084079690701,9.101469298595886,-0.90318587333082,0.2699119279113794,6.287199481068978,1449.6818411730887,0.23816147127395365
B1913+16,6.319793260067927,209.76163648695334,0.1659,-4.249480221903369,-28.32986814602246,-10.48974888528682,-0.9008520521606848,16.773476915392813,7.728409283602645,-1.4910976158526594,0.37182941951761145,5.780514828258293,999.4411902019785,0.6322339815949972
J0348+0432,9.40419589172833,179.54548905300814,-0.9338,-5.41160975889842,-0.2973411955438692,-1.378679199716071,-0.2388459142780645,10.339493113974452,8.946200229356801,-0.9589230952556934,0.24138838788598016,6.095197858243562,1275.7142065538,0.16026705120671314
J0437-4715,8.156157533152484,179.21909354821616,-0.0834,-0.0334299517453938,-0.2038411691792304,-0.48145978622689806,-0.05234794551799767,8.716786706304989,9.158992717167374,-0.7952740025192006,0.2233667006536927,6.463656163216388,1308.2343149307235,0.28002667520384505
J0613-0200,9.084039446193527,176.5004255353168,-0.15630000000000002,-0.2287946024565201,-0.430065042211504,-0.909512373850065,-0.16364409197773172,9.79264156451774,8.352563363463783,-0.8004428007224299,0.19637238659120607,6.223749728749732,1283.0241518871817,0.3414073405617116
J0737-3039A/B,8.455314949781586,175.4870603887752,-0.0361,-1.4661377844984147,-0.12974670659278,-0.9533161546955973,-0.14594290132133877,9.456155314571388,8.70009101955952,-0.8139150353352258,0.21345208084814984,6.271913710537898,1319.3420053367615,0.21228145633418438
J0740+6620,8.998225870136846,183.2108766420479,0.591,0.2164200168317994,0.1133089093360206,-0.32305639129746283,-0.054612334651722994,9.155909677123221,8.58064537000259,-0.7632373504652199,0.20039865206866028,6.340045085258738,1148.6852805596277,0.19390350384194419
J0751+1807,9.339147302618157,176.90215040126648,0.5276000000000001,-0.8672211000970453,-0.2990417586541535,-1.6473606294431742,-0.2802134991096647,10.799285054861805,7.971343568993351,-0.8643890711321538,0.20579571604520425,6.229643250234703,1238.8300501841702,0.07312350254826669
J1012+5307,8.624466077387051,181.1919119587332,0.6774,0.5005511140818223,0.7307315534041201,-0.4415323966172947,-0.057415546766607574,9.058797500873794,8.74421724478736,-0.778568805883098,0.20800138290492617,6.371622185213807,1206.4557115860498,0.32127260994320905
J1017-7156,7.7258482492215705,170.53182562330133,-0.2848,1.3293195066817716,0.7773798284688723,-2.597831851942295,-0.3503389255973836,10.472645283107349,8.863331103069028,-0.9649552172216442,0.27165432981654836,5.893671039894761,1358.3864516335127,0.5795778521616715
J1022+1001,8.460801174829722,177.15869677084956,0.6832,-0.2935080431272982,-0.9172126347728068,-1.3004357989939441,-0.1864714789466783,9.866713671002106,8.606871297331889,-0.8528927920317465,0.22221343553149592,6.307858606227198,1344.416543211647,0.3867992405882967
J1125-6014,7.674026437926832,169.59778871066263,0.0427,-0.2497513310874508,-0.1427150463356861,-2.9294431741961082,-0.3906674516444755,10.809371863105046,8.439241545681101,-0.938519618448094,0.2655222809685695,5.857514572974607,1269.6931546337191,0.5002998234407117
J1455-3330,7.516938808451217,177.38314356623036,0.3108,1.788605698937814,1.770896731621598,-1.9407627617580183,-0.21617781086386456,9.628689417653163,9.07824873903614,-0.8897596607041405,0.2640529651401378,6.271501311553998,1539.9959434943778,0.23070330649743395
J1600-3053,6.848654639416416,176.94161490646897,0.4112,0.6225880934375304,2.572678072055911,-4.0128668225417705,-0.43735522787816955,10.916221753267598,8.976126344288282,-1.024578021244103,0.3199756022493653,6.200551306744925,1377.7962292870038,0.156272989628373
J1603-7202,7.757308569987402,177.39626395794397,-0.1128,0.8140652619436032,3.2304177061254093,-1.2592244699101416,-0.14638242652587335,9.178649279190962,9.278080085622513,-0.8678923171883887,0.2518447605937369,6.348278887167381,1474.9477933840665,0.19476728830721227
J1614-2230,7.479560535887119,179.3641809190522,0.25730000000000003,0.9700565720996248,1.4855383952521053,-1.7776460035276291,-0.18563068008559364,9.428112844548709,9.198233661921906,-0.8836256030876324,0.26600568649342893,6.350502412421071,1521.7955703982127,0.1723696864216892
J1640+2224,7.501492843427901,184.25670692830718,0.6881,1.1789650292616158,2.631618368887535,-1.9497313593589938,-0.19526063830364543,9.590960704192796,9.18834788881457,-0.9036617050348282,0.2748769527427669,6.271027359599411,1458.9995866858271,0.5348681627752941
J1713+0747,7.104403018551242,184.60189747699613,0.5764,-0.1257600908013244,-2.4184632846408536,-3.0653814490967912,-0.31630648205556317,10.267073017529079,9.185084196826436,-0.980280507942585,0.30711105838231123,6.268021453122329,1474.9522217362025,0.5744930188577746
J1738+0333,6.698110164068668,186.6089410097731,0.5473,0.0915345947884729,0.0888685386295853,-4.318330493786592,-0.447412222179347,11.064062038299515,9.109304457020544,-1.0628238337826845,0.3382744872606953,6.216119826490238,1407.1083091810294,0.4726612604538257
J1741+1351,6.876978319000286,188.5919840438629,0.6812,67.71347198068341,3.6017804245044367,-4.011776086073154,-0.41291373717456115,10.93080606893453,9.141675884787528,-1.0521082887449242,0.3330502954285455,6.086733185749078,1473.0172795142155,0.5840924058442015
J1909-3744,7.0490017733009545,179.9593589375061,-0.3643,0.1672745301745157,1.6561834670744129,-2.8719808654448378,-0.31231962548383985,10.066171664469723,9.633915535984407,-1.0300545760073143,0.3191805069046825,6.425183761309948,1714.6916036154482,0.2891105515147039
J1933-6211,7.187690453128877,176.373792372341,-0.5566,-1.1188290912630543,-2.6325390382660108,-2.845366188033637,-0.33301060515230285,10.178584050832416,9.702331974798094,-1.0568205622348255,0.3176746832043621,6.268788048977753,1658.4944880289636,0.4355223424898174
J2043+1711,7.520862570875764,190.4297465675811,-0.4036,323.2716226497507,1.6663485703595398,-2.9242725410006725,-0.32143844187616116,10.48878198384645,9.620007236868098,-1.077677452082833,0.3284789474980817,6.562874014784971,1799.416784904409,0.29639132704985993
J2129-5721,7.721716379147838,178.79192091099296,-0.39380000000000004,7.35702231788569,10.510031882693845,-1.4133962857553422,-0.16623923024378157,9.267323708893803,9.549167911061307,-0.9207966048303418,0.26938155914641365,6.43909128150078,1516.1233754364084,0.20161157890472944
J2145-0750,7.821228489182502,182.4973808141321,-0.3955,0.1395104079425475,1.3286705518337856,-1.2118007076755275,-0.13222372561003573,9.126589163477842,9.58607866822223,-0.9090113381621625,0.2682714409836606,6.583736432571344,1504.6135759318472,0.17476354343453637
J2222-0137,8.036877545415258,181.1706812223566,-0.1725,-0.147657153421543,-1.181257227372344,-0.5892930872336792,-0.05711882075534892,8.711367880377587,9.3377193345258,-0.8213980066621036,0.236666778770873,6.536368645236686,1345.0367527191852,0.1780939997703243
J2234+0611,7.948209273163358,184.7942923146609,-0.6277,-1.3134454542096252,-0.4828843581653033,-1.5843910076246017,-0.18591029740521417,9.54266385415703,9.688698257313941,-0.9749864821325191,0.2863202094855369,6.642893999213074,1595.2972878265016,0.1525870982332005
J2339-0533,8.052022256551457,184.68664390943172,-1.2565,23.756551270369144,1.513156131870646,-2.6302434301591835,-0.3463297123263068,10.57423875292247,9.922673204123855,-1.1402529566406128,0.32858464062532833,6.615453754268769,1768.6503225113004,0.07304558597644066
