galaxy,distance_mpc,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_ml1_kms,v_bulge_ml1_kms,sb_disk_lsun_pc2,sb_bulge_lsun_pc2,quality_flag,inclination_deg,n_points_galaxy,galaxy_point_index,signed_gas_negative_flag,source_file
CamB,3.36,0.16,1.99,1.5,1.86,3.75,0,30.32,0,2,65,9,0,0,CamB_rotmod.dat
CamB,3.36,0.41,4.84,1.5,4.24,9.47,0,23.77,0,2,65,9,1,0,CamB_rotmod.dat
CamB,3.36,0.57,6.79,1.5,5.61,11.76,0,15.87,0,2,65,9,2,0,CamB_rotmod.dat
CamB,3.36,0.73,8.87,1.5,6.77,13.72,0,12.4,0,2,65,9,3,0,CamB_rotmod.dat
CamB,3.36,0.9,10.9,1.5,7.77,14.8,0,9.63,0,2,65,9,4,0,CamB_rotmod.dat
CamB,3.36,1.06,12.9,1.5,8.44,15.24,0,5.86,0,2,65,9,5,0,CamB_rotmod.dat
CamB,3.36,1.22,14.7,1.5,8.64,15.11,0,5.19,0,2,65,9,6,0,CamB_rotmod.dat
CamB,3.36,1.47,16.8,1.5,8.08,15.9,0,3.02,0,2,65,9,7,0,CamB_rotmod.dat
CamB,3.36,1.79,20.1,1.5,6.91,14.91,0,0.88,0,2,65,9,8,0,CamB_rotmod.dat
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0,6.37,0,2,63,6,0,0,D564-8_rotmod.dat
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0,2.82,0,2,63,6,1,0,D564-8_rotmod.dat
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0,1.19,0,2,63,6,2,0,D564-8_rotmod.dat
D564-8,8.79,2.04,21.9,1.82,6.86,8.75,0,0.52,0,2,63,6,3,0,D564-8_rotmod.dat
D564-8,8.79,2.56,24,1.89,7.05,8.17,0,0.22,0,2,63,6,4,0,D564-8_rotmod.dat
D564-8,8.79,3.07,25,2.05,7.04,7.65,0,0,0,2,63,6,5,0,D564-8_rotmod.dat
D631-7,7.72,0.45,8.41,1.58,8.4,9.99,0,26.06,0,1,59,16,0,0,D631-7_rotmod.dat
D631-7,7.72,0.9,17.8,2.22,13.51,15.52,0,19.64,0,1,59,16,1,0,D631-7_rotmod.dat
D631-7,7.72,1.35,26,2.35,16.7,20.76,0,12.17,0,1,59,16,2,0,D631-7_rotmod.dat
D631-7,7.72,1.8,30.9,2.22,18.72,21.37,0,4.5,0,1,59,16,3,0,D631-7_rotmod.dat
D631-7,7.72,2.25,34.7,1.82,19.9,19.92,0,2.1,0,1,59,16,4,0,D631-7_rotmod.dat
D631-7,7.72,2.69,38.8,1.81,20.61,18.76,0,1.13,0,1,59,16,5,0,D631-7_rotmod.dat
D631-7,7.72,3.14,42.5,1.57,20.73,17.36,0,0.54,0,1,59,16,6,0,D631-7_rotmod.dat
D631-7,7.72,3.59,45.6,1.59,20.61,16.32,0,0.37,0,1,59,16,7,0,D631-7_rotmod.dat
D631-7,7.72,4.04,48.8,1.83,20.38,15.37,0,0.18,0,1,59,16,8,0,D631-7_rotmod.dat
D631-7,7.72,4.49,51.8,1.91,19.9,14.49,0,0.1,0,1,59,16,9,0,D631-7_rotmod.dat
D631-7,7.72,4.94,54.8,2.19,19.43,13.72,0,0.05,0,1,59,16,10,0,D631-7_rotmod.dat
D631-7,7.72,5.39,56.6,2.73,18.84,13.04,0,0.03,0,1,59,16,11,0,D631-7_rotmod.dat
D631-7,7.72,5.84,58.4,3.27,18.25,12.45,0,0.01,0,1,59,16,12,0,D631-7_rotmod.dat
D631-7,7.72,6.29,58.5,3.95,17.65,11.93,0,0.01,0,1,59,16,13,0,D631-7_rotmod.dat
D631-7,7.72,6.74,57.7,4.07,17.06,11.48,0,0,0,1,59,16,14,0,D631-7_rotmod.dat
D631-7,7.72,7.19,57.3,3.94,16.47,11.08,0,0,0,1,59,16,15,0,D631-7_rotmod.dat
DDO064,6.8,0.1,6.29,4.62,-1.13,1.96,0,28.5,0,1,60,14,0,1,DDO064_rotmod.dat
DDO064,6.8,0.3,13.9,4.62,-2.45,6.31,0,27.26,0,1,60,14,1,1,DDO064_rotmod.dat
DDO064,6.8,0.49,15.6,4.62,-0.64,9.67,0,24.99,0,1,60,14,2,1,DDO064_rotmod.dat
DDO064,6.8,0.69,18.4,4.62,2.49,13.92,0,20.86,0,1,60,14,3,0,DDO064_rotmod.dat
DDO064,6.8,0.89,22.5,4.62,1.87,15.16,0,13.91,0,1,60,14,4,0,DDO064_rotmod.dat
DDO064,6.8,1.09,26.5,4.62,4.97,16.41,0,11.73,0,1,60,14,5,0,DDO064_rotmod.dat
DDO064,6.8,1.29,35.3,4.62,9.29,17.34,0,10.3,0,1,60,14,6,0,DDO064_rotmod.dat
DDO064,6.8,1.48,40.5,4.62,13.62,18.34,0,7.96,0,1,60,14,7,0,DDO064_rotmod.dat
DDO064,6.8,1.68,44.2,4.89,16.26,19.12,0,6.72,0,1,60,14,8,0,DDO064_rotmod.dat
DDO064,6.8,1.88,46.3,4.62,18.16,19.54,0,3.97,0,1,60,14,9,0,DDO064_rotmod.dat
DDO064,6.8,2.08,46.4,4.62,19.64,19.1,0,2.84,0,1,60,14,10,0,DDO064_rotmod.dat
DDO064,6.8,2.27,46.3,4.62,20.17,18.77,0,2.16,0,1,60,14,11,0,DDO064_rotmod.dat
DDO064,6.8,2.37,46.4,6.73,20.59,18.61,0,1.86,0,1,60,14,12,0,DDO064_rotmod.dat
DDO064,6.8,2.98,46.9,8.65,22.17,17.21,0,0,0,1,60,14,13,0,DDO064_rotmod.dat
DDO154,4.04,0.49,13.8,1.6,3.74,12.31,0,15.93,0,2,64,12,0,0,DDO154_rotmod.dat
DDO154,4.04,0.99,21.6,0.8,7.46,14.55,0,5.52,0,2,64,12,1,0,DDO154_rotmod.dat
DDO154,4.04,1.48,28.9,0.7,10.87,12.95,0,1.26,0,2,64,12,2,0,DDO154_rotmod.dat
DDO154,4.04,1.97,34.3,0.5,13.32,11.54,0,0.29,0,2,64,12,3,0,DDO154_rotmod.dat
DDO154,4.04,2.47,38.2,0.4,14.77,10.18,0,0.08,0,2,64,12,4,0,DDO154_rotmod.dat
DDO154,4.04,2.96,42,0.2,16.2,9.16,0,0.02,0,2,64,12,5,0,DDO154_rotmod.dat
DDO154,4.04,3.46,44.6,0.2,17.6,8.37,0,0.01,0,2,64,12,6,0,DDO154_rotmod.dat
DDO154,4.04,3.95,46.3,0.2,17.91,7.77,0,0,0,2,64,12,7,0,DDO154_rotmod.dat
DDO154,4.04,4.44,47.4,0.3,17.48,7.29,0,0,0,2,64,12,8,0,DDO154_rotmod.dat
DDO154,4.04,4.94,48.2,0.6,16.93,6.89,0,0,0,2,64,12,9,0,DDO154_rotmod.dat
DDO154,4.04,5.43,47.4,0.7,16.28,6.55,0,0,0,2,64,12,10,0,DDO154_rotmod.dat
DDO154,4.04,5.92,45.5,1.3,15.64,6.26,0,0,0,2,64,12,11,0,DDO154_rotmod.dat
DDO161,7.5,0.6,16,3.53,6.82,12.59,0,30.32,0,1,70,31,0,0,DDO161_rotmod.dat
DDO161,7.5,0.73,16.6,4.83,8.12,14.22,0,27.69,0,1,70,31,1,0,DDO161_rotmod.dat
DDO161,7.5,0.85,18.6,2.5,9.3,15.27,0,27.15,0,1,70,31,2,0,DDO161_rotmod.dat
DDO161,7.5,0.98,20,7.58,10.41,17.04,0,25.71,0,1,70,31,3,0,DDO161_rotmod.dat
