galaxy,stationary_role,galaxy_point_index,radius_kpc,sigma_neutral_1p33_msun_pc2,common_surface_density_convention,profile_kind,evaluation_method,continuation_side,coverage_class,measured_support_rmin_kpc,measured_support_rmax_kpc,source_bracket_lower_index,source_bracket_upper_index,source_artifact,common_profile_artifact,radius_mapping_method,helium_mapping_method,surface_density_multiplier_to_common_1p33,inclination_amplitude_rescale,uncertainty_treatment,interpolation_policy
CamB,calibration,0,0.16,7.6217895644,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,1,0.41,6.48127264024,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,2,0.57,5.42249625663,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,3,0.73,4.28001048979,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,4,0.9,3.12287211333,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,5,1.06,2.18590930947,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,6,1.22,1.44349964792,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,7,1.47,0.671728591299,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
CamB,calibration,8,1.79,0.205041069876,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,analytic,analytic_offcentered_gaussian_sum,none,analytic_defined_on_rotation_grid,0,analytic,,,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,data/stationary/source_reconstruction/certified_hi_common_analytic_v5.csv,analytic_angular_scale_times_frozen_distance,raw_HI_to_common_1p33,1.33,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
DDO154,calibration,0,0.49,6.91179291642,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,tabulated,piecewise_linear,none,outer_continuation_only,0.0939534883721,1.31534883721,2,3,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,data/stationary/source_reconstruction/certified_hi_common_tabulated_v5.csv,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0.977941176471,0,central_value_frozen; source_uncertainties_retained_upstream,validation/stationary/STATIONARY_HI_INTERPOLATION_CONTINUATION_POLICY_V1.md
