galaxy,stationary_role,galaxy_point_index,radius_kpc,sigma_neutral_gas_1p33_msun_pc2,sigma_disk_per_unit_upsilon_msun_pc2,sigma_bulge_per_unit_upsilon_msun_pc2,sigma_baryon_rule,sigma_baryon_status,source_current_rule,source_current_velocity_status,vobs_used_as_source_current,hi_profile_kind,hi_profile_evaluation_method,hi_source_artifact,hi_freeze_row_key
CamB,calibration,0,0.16,7.6217895644,30.32,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:0
CamB,calibration,1,0.41,6.48127264024,23.77,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:1
CamB,calibration,2,0.57,5.42249625663,15.87,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:2
CamB,calibration,3,0.73,4.28001048979,12.4,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:3
CamB,calibration,4,0.9,3.12287211333,9.63,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:4
CamB,calibration,5,1.06,2.18590930947,5.86,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:5
CamB,calibration,6,1.22,1.44349964792,5.19,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:6
CamB,calibration,7,1.47,0.671728591299,3.02,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:7
CamB,calibration,8,1.79,0.205041069876,0.88,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,analytic,analytic_offcentered_gaussian_sum,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,CamB:8
DDO154,calibration,0,0.49,6.91179291642,15.93,0,Sigma_b = Sigma_gas + Upsilon_d*Sigma_disk_ml1 + Upsilon_b*Sigma_bulge_ml1,basis_only; stellar_mass_to_light_nuisance_not_applied,J = Sigma_b * V_model,self_consistent_model_velocity_required; not_evaluated,0,tabulated,piecewise_linear,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,DDO154:0
