galaxy,stationary_role,sample_index,source_artifact,source_radius_value,source_radius_unit,radius_kpc_frozen,sigma_source_msun_pc2,sigma_source_err_minus_msun_pc2,sigma_source_err_plus_msun_pc2,surface_density_multiplier_to_common_1p33,sigma_neutral_1p33_msun_pc2,sigma_neutral_1p33_err_minus_msun_pc2,sigma_neutral_1p33_err_plus_msun_pc2,radius_mapping_method,helium_mapping_method,inclination_amplitude_rescale,source_note
DDO154,calibration,0,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.1,kpc_source,0.0939534883721,7.3,0.7,0.7,0.977941176471,7.13897058824,0.68455882353,0.68455882353,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO154,calibration,1,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.3,kpc_source,0.281860465116,7.2,0.8,0.8,0.977941176471,7.04117647059,0.782352941177,0.782352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO154,calibration,2,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.5,kpc_source,0.469767441861,7.1,0.7,0.7,0.977941176471,6.94338235294,0.68455882353,0.68455882353,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO154,calibration,3,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.7,kpc_source,0.657674418605,6.8,0.5,0.5,0.977941176471,6.65,0.488970588235,0.488970588235,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO154,calibration,4,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,0.9,kpc_source,0.845581395349,6.6,0.4,0.4,0.977941176471,6.45441176471,0.391176470588,0.391176470588,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO154,calibration,5,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.1,kpc_source,1.03348837209,6.9,0.7,0.7,0.977941176471,6.74779411765,0.68455882353,0.68455882353,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO154,calibration,6,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.4,kpc_source,1.31534883721,7,0.8,0.8,0.977941176471,6.8455882353,0.782352941177,0.782352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
DDO168,calibration,0,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,15,arcsec,0.309068721707,16.43,2.87,2.87,1.33,21.8519,3.8171,3.8171,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
DDO168,calibration,1,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,30,arcsec,0.618137443415,12.12,4.26,4.26,1.33,16.1196,5.6658,5.6658,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
DDO168,calibration,2,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,45,arcsec,0.927206165122,9.26,4.49,4.49,1.33,12.3158,5.9717,5.9717,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
DDO168,calibration,3,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,60,arcsec,1.23627488683,6.94,4.18,4.18,1.33,9.2302,5.5594,5.5594,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
DDO168,calibration,4,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,75,arcsec,1.54534360854,5.23,3.66,3.66,1.33,6.9559,4.8678,4.8678,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
DDO168,calibration,5,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,90,arcsec,1.85441233024,4.29,3.46,3.46,1.33,5.7057,4.6018,4.6018,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
DDO168,calibration,6,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,105,arcsec,2.16348105195,3.65,3.01,3.01,1.33,4.8545,4.0033,4.0033,angular_radius_times_frozen_distance,raw_HI_to_common_1p33,0,
