galaxy,stationary_role,acquisition_status,source_artifact,source_quantity,source_helium_status,frozen_distance_mpc,source_distance_mpc,radius_mapping_method,radius_multiplicative_factor_if_source_kpc,source_helium_factor_relative_to_raw_HI,helium_mapping_method,surface_density_multiplier_to_common_1p33,common_surface_density_convention,inclination_amplitude_rescale,normalization_ready
CamB,calibration,analytic_profile_recovered,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,raw HI surface density,helium not included; source mass model applies x1.4 separately,3.36,,analytic_angular_scale_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
DDO154,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,4.04,4.3,source_kpc_times_frozen_over_source_distance,0.939534883721,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
DDO168,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv,raw HI surface density,helium not included,4.25,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
ESO079-G014,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,source-native average radial HI surface density from Gentile et al. 2004 Figure 2 filled-circle vector markers,helium not applied; recovered quantity is HI surface density,28.7,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
ESO116-G012,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/ge04_vector_hi_profiles_v1.csv,source-native average radial HI surface density from Gentile et al. 2004 Figure 2 filled-circle vector markers,helium not applied; recovered quantity is HI surface density,13,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
F568-3,calibration,analytic_profile_recovered,data/stationary/source_reconstruction/jadhav_banerjee2019_lsb_hi_analytic_profiles_v1.csv,raw atomic HI surface density,helium not included,82.4,77,source_kpc_times_frozen_over_source_distance,1.07012987013,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
F568-V1,calibration,analytic_profile_recovered,data/stationary/source_reconstruction/jadhav_banerjee2019_lsb_hi_analytic_profiles_v1.csv,raw atomic HI surface density,helium not included,80.6,80,source_kpc_times_frozen_over_source_distance,1.0075,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
F574-1,blind,analytic_profile_recovered,data/stationary/source_reconstruction/jadhav_banerjee2019_lsb_hi_analytic_profiles_v1.csv,raw atomic HI surface density,helium not included,96.8,72,source_kpc_times_frozen_over_source_distance,1.34444444444,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
F583-1,calibration,analytic_profile_recovered,data/stationary/source_reconstruction/jadhav_banerjee2019_lsb_hi_analytic_profiles_v1.csv,raw atomic HI surface density,helium not included,35.4,24,source_kpc_times_frozen_over_source_distance,1.475,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
F583-4,calibration,analytic_profile_recovered,data/stationary/source_reconstruction/jadhav_banerjee2019_lsb_hi_analytic_profiles_v1.csv,raw atomic HI surface density,helium not included,53.3,37,source_kpc_times_frozen_over_source_distance,1.44054054054,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
IC2574,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,3.91,4,source_kpc_times_frozen_over_source_distance,0.9775,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
KK98-251,calibration,analytic_profile_recovered,data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv,raw HI surface density,helium not included; source mass model applies x1.4 separately,6.8,,analytic_angular_scale_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC0024,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/ch06_ngc0024_hi_profile_v1.csv,inclination-corrected radial H I surface density,helium not applied; raw H I preserved,7.3,,explicit_frozen_radius,1,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC0289,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/hix2018_ngc0289_hi_profile_v1.csv,deprojected radial H I column/surface density measured in elliptical annuli from non-clipped ATCA moment-0 map,helium not applied; source N_HI preserved,20.8,,explicit_frozen_radius,1,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC0300,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/westmeier2011_ngc300_gas_profile_v1.csv,source-published face-on gas mass surface density derived from HI column density,already includes helium x1.4,2.08,,angular_radius_times_frozen_distance,,1.4,source_includes_1p4_to_common_1p33,0.95,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC2403,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,3.16,3.2,source_kpc_times_frozen_over_source_distance,0.9875,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC2841,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,14.1,14.1,source_kpc_times_frozen_over_source_distance,1,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
