galaxy,r_arcsec,r_kpc,sigma_gas,sigma_hi,distance_mpc_frozen,source,method,helium_correction_removed
UGCA442,20.096181,0.423816,14.155833,10.616875,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,59.968923,1.264707,11.918961,8.939221,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,100.000739,2.108953,7.796089,5.847067,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,140.032560,2.953199,4.254410,3.190807,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,179.985209,3.795776,1.929845,1.447384,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,219.937858,4.638352,0.493397,0.370048,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,259.970413,5.482614,0.043845,0.032884,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
UGCA442,300.002223,6.326859,0.000000,0.000000,4.350000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,15.071143,0.548002,20.889359,15.667019,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,44.975938,1.635370,16.801117,12.600838,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,75.120420,2.731453,11.831003,8.873252,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,105.025181,3.818820,8.550093,6.412569,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,134.929976,4.906188,6.681642,5.011232,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,165.073375,6.002232,5.291507,3.968630,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,194.978136,7.089598,4.439454,3.329591,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,224.882896,8.176965,3.482832,2.612124,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,255.026329,9.273010,2.346828,1.760121,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,284.931090,10.360377,1.210824,0.908118,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,314.955712,11.452102,0.583015,0.437261,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,344.980333,12.543827,0.269108,0.201831,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,374.885094,13.631194,0.119681,0.089761,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,405.029576,14.727277,0.044936,0.033702,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,434.934405,15.814646,0.014981,0.011236,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
DDO161,464.839234,16.902016,0.000067,0.000050,7.500000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
ESO444-G084,22.538697,0.527777,12.354348,9.265761,4.830000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
ESO444-G084,67.487497,1.580320,5.545648,4.159236,4.830000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
ESO444-G084,112.436301,2.632862,1.307917,0.980938,4.830000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
ESO444-G084,157.385105,3.685405,0.171897,0.128923,4.830000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
ESO444-G084,202.333909,4.737948,0.022397,0.016798,4.830000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
ESO444-G084,247.412511,5.793530,0.000000,0.000000,4.830000,"Cote, Carignan & Freeman 2000 Fig. 3",direct_public_vector_radial_profile,1.333333
