r NHI NHI_tot vel1 vel2 dvel1 dvel2 dvel1_over_v dvel2_over_v sigv_mom2 sigv_mom2_dense
45.000 0.888 1.670 12.648 -20.152 87.629 -32.594 0.874 0.618 34.953 19.498
99.888 0.779 1.650 23.921 -47.060 105.376 -49.453 0.815 0.512 32.896 20.292
119.665 0.730 1.634 42.121 -57.190 96.390 -59.698 0.696 0.511 31.790 19.825
139.442 0.707 1.621 60.992 -69.856 86.270 -65.558 0.586 0.484 30.074 18.985
159.219 0.690 1.608 73.553 -77.421 78.845 -74.017 0.517 0.489 28.743 18.117
178.996 0.673 1.577 82.019 -89.010 77.418 -74.489 0.486 0.456 27.418 17.175
198.772 0.663 1.548 89.130 -99.064 76.425 -75.349 0.462 0.432 26.163 16.117
218.549 0.648 1.513 95.735 -109.951 74.806 -72.643 0.439 0.398 25.101 15.195
238.326 0.635 1.469 101.101 -118.475 74.205 -70.997 0.423 0.375 24.224 14.420
258.103 0.623 1.427 105.015 -125.455 74.061 -70.480 0.414 0.360 23.388 13.660
277.880 0.611 1.381 108.758 -131.330 73.828 -69.778 0.404 0.347 22.504 12.930
297.657 0.597 1.331 111.333 -137.069 74.877 -69.644 0.402 0.337 21.547 12.374
317.433 0.584 1.282 117.648 -145.981 75.623 -71.134 0.391 0.328 20.825 11.820
337.210 0.573 1.240 126.075 -155.335 75.945 -73.896 0.376 0.322 20.234 11.339
356.987 0.567 1.191 138.690 -166.256 73.178 -75.378 0.345 0.312 19.779 10.865
376.764 0.563 1.142 152.560 -178.695 70.677 -78.157 0.317 0.304 19.344 10.161
396.541 0.559 1.102 164.291 -192.188 70.277 -79.205 0.300 0.292 18.914 9.532
416.317 0.554 1.052 173.613 -199.498 65.987 -78.137 0.275 0.281 18.571 9.031
436.094 0.549 1.007 180.985 -204.879 64.350 -75.164 0.262 0.268 18.161 8.529
455.871 0.542 0.966 187.403 -210.213 62.961 -70.681 0.251 0.252 17.704 8.034
475.648 0.539 0.922 194.230 -214.150 59.652 -66.898 0.235 0.238 17.311 7.466
495.425 0.534 0.885 199.898 -219.976 57.682 -61.154 0.224 0.218 16.931 6.834
515.201 0.526 0.850 204.333 -223.934 55.229 -56.842 0.213 0.202 16.508 6.261
534.978 0.515 0.808 208.852 -228.383 52.550 -52.492 0.201 0.187 16.153 5.722
554.755 0.502 0.770 213.666 -231.763 49.073 -48.636 0.187 0.173 15.791 5.285
574.532 0.488 0.733 216.409 -233.684 47.250 -45.858 0.179 0.164 15.415 4.887
594.309 0.472 0.689 217.904 -238.693 47.989 -40.291 0.180 0.144 15.041 4.473
614.085 0.455 0.646 218.789 -241.206 46.956 -38.009 0.177 0.136 14.608 4.085
633.862 0.440 0.609 220.194 -243.419 44.834 -35.684 0.169 0.128 14.211 3.655
653.639 0.421 0.560 223.389 -251.121 40.410 -26.346 0.153 0.095 13.855 2.967
673.416 0.403 0.520 226.682 nan 36.873 nan 0.140 nan 13.492 2.361
693.193 0.387 0.484 229.585 nan 33.949 nan 0.129 nan 13.136 1.857
712.970 0.361 0.440 233.766 nan 28.883 nan 0.110 nan 12.839 nan
732.746 0.340 0.406 235.420 nan 26.196 nan 0.100 nan 12.581 nan
752.523 0.321 0.374 239.230 nan 20.195 nan 0.078 nan 12.318 nan
772.300 0.300 0.341 244.524 nan 10.721 nan 0.042 nan 12.071 nan
792.077 0.281 0.314 nan nan nan nan nan nan 11.825 nan
811.854 0.264 0.290 nan nan nan nan nan nan 11.572 nan
831.630 0.245 0.265 nan nan nan nan nan nan 11.366 nan
851.407 0.229 0.245 nan nan nan nan nan nan 11.162 nan
871.184 0.213 0.227 nan nan nan nan nan nan 10.957 nan
890.961 0.198 0.208 nan nan nan nan nan nan 10.754 nan
910.738 0.184 0.192 nan nan nan nan nan nan 10.576 nan
930.514 0.171 0.176 nan nan nan nan nan nan 10.413 nan
950.291 0.157 0.161 nan nan nan nan nan nan 10.255 nan
970.068 0.145 0.147 nan nan nan nan nan nan 10.137 nan
989.845 0.132 0.134 nan nan nan nan nan nan 10.022 nan
1009.622 0.120 0.122 nan nan nan nan nan nan 9.913 nan
1029.398 0.110 0.111 nan nan nan nan nan nan 9.817 nan
1049.175 0.100 0.101 nan nan nan nan nan nan 9.711 nan
1068.952 0.090 0.091 nan nan nan nan nan nan 9.589 nan
1088.729 0.082 0.083 nan nan nan nan nan nan 9.473 nan
1108.506 0.075 0.075 nan nan nan nan nan nan 9.312 nan
1128.283 0.068 0.068 nan nan nan nan nan nan 9.091 nan
1148.059 0.061 0.061 nan nan nan nan nan nan 8.817 nan
1167.836 0.056 0.056 nan nan nan nan nan nan 8.599 nan
1187.613 0.050 0.050 nan nan nan nan nan nan 8.419 nan
1207.390 0.045 0.045 nan nan nan nan nan nan 8.307 nan
1227.167 0.041 0.041 nan nan nan nan nan nan 8.050 nan
1246.943 0.037 0.037 nan nan nan nan nan nan 7.864 nan
1266.720 0.033 0.033 nan nan nan nan nan nan 7.754 nan
1286.497 0.030 0.030 nan nan nan nan nan nan nan nan
1306.274 0.027 0.027 nan nan nan nan nan nan nan nan
1326.051 0.024 0.024 nan nan nan nan nan nan nan nan
1345.827 0.021 0.021 nan nan nan nan nan nan nan nan
1365.604 0.019 0.019 nan nan nan nan nan nan nan nan
1385.381 0.017 0.017 nan nan nan nan nan nan nan nan
1405.158 0.015 0.015 nan nan nan nan nan nan nan nan
1424.935 0.014 0.014 nan nan nan nan nan nan nan nan
1444.711 0.012 0.012 nan nan nan nan nan nan nan nan
1464.488 0.011 0.011 nan nan nan nan nan nan nan nan
1484.265 0.010 0.010 nan nan nan nan nan nan nan nan
1504.042 0.009 0.009 nan nan nan nan nan nan nan nan
1523.819 0.008 0.008 nan nan nan nan nan nan nan nan
1543.596 0.007 0.007 nan nan nan nan nan nan nan nan
1563.372 0.006 0.006 nan nan nan nan nan nan nan nan
1583.149 0.006 0.006 nan nan nan nan nan nan nan nan
1602.926 0.005 0.005 nan nan nan nan nan nan nan nan
