galaxy,source,radius_arcsec,radius_kpc_source_distance,sigma_hi_raw_msun_pc2,source_distance_mpc,helium_included
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,45,3.00916666666667,6.2131927186906,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,107.958894614449,7.21925126764401,5.79647962281211,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,143.876683843348,9.62108713626535,5.56758499361175,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,179.794473072246,12.0229230048867,5.1092882350455,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,215.712262301145,14.424758873508,4.47753247777887,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,251.630051530043,16.8265947421294,3.93369533723635,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,287.547840758942,19.2284306107507,3.38462481025166,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,323.46562998784,21.6302664793721,2.90178113047868,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,359.383419216739,24.0321023479934,2.39991719826882,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,395.301208445637,26.4339382166148,1.99954039425588,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,431.218997674536,28.8357740852361,1.59413097810285,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,467.136786903434,31.2376099538574,1.22502701956947,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,503.054576132333,33.6394458224788,0.918176030961576,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,538.972365361231,36.0412816911001,0.677891026696093,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,574.89015459013,38.4431175597215,0.490247902998523,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,610.807943819028,40.8449534283428,0.350231614493601,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,646.725733047927,43.2467892969641,0.244963543041133,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,682.643522276825,45.6486251655855,0.167242277968758,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,718.561311505724,48.0504610342068,0.111080170445417,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,754.479100734622,50.4522969028282,0.0734751535945061,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,790.396889963521,52.8541327714495,0.0491214077157449,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,826.314679192419,55.2559686400709,0.0336350460581507,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,862.232468421318,57.6578045086922,0.0236104517329274,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,898.150257650216,60.0596403773135,0.0166887582293603,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,934.068046879115,62.4614762459349,0.0119246834876645,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,969.985836108013,64.8633121145562,0.00848826236531877,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,1005.90362533691,67.2651479831776,0.00608975675511929,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,1041.82141456581,69.6669838517989,0.00430295105567982,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,1077.73920379471,72.0688197204203,0.00296940550513307,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,1113.65699302361,74.4706555890416,0.00203012606603685,13.8,0
NGC3198,Wang+2025 FEASTS HIprof_wang25.ecsv,1149.57478225251,76.8724914576629,0.00125840668765221,13.8,0
