galaxy,radius_kpc,sigma_hi_msun_pc2,sigma_hi_err_minus_msun_pc2,sigma_hi_err_plus_msun_pc2,source_center_x,source_center_y,source_marker_start_line,source_marker_end_line,source_errorbar_start_line,source_errorbar_end_line
UGC09037,2.57527926,12.448745,2.28472913,2.28783549,2674.5,15575.5,224,227,352,352
UGC09037,3.86150235,12.3943837,0.835611332,0.835611332,2901.5,15558.0,228,231,352,353
UGC09037,5.14772543,12.4642768,0.579336481,0.576230119,3128.5,15580.5,232,235,353,354
UGC09037,6.43394852,12.4005964,0.47527336,0.47527336,3355.5,15560.0,236,239,354,354
UGC09037,7.72583779,11.8585363,0.392954771,0.392954771,3583.5,15385.5,240,243,355,355
UGC09037,9.01206087,10.9732232,0.355678429,0.352572068,3810.5,15100.5,244,247,355,356
UGC09037,10.298284,10.2898236,0.327721173,0.327721173,4037.5,14880.5,248,251,356,357
UGC09037,11.584507,9.99161282,0.296657555,0.296657555,4264.5,14784.5,252,255,357,357
UGC09037,12.8707301,9.77572068,0.282678926,0.282678926,4491.5,14715.0,256,259,358,358
UGC09037,14.1569532,9.2367669,0.27180666,0.27180666,4718.5,14541.5,260,263,358,359
UGC09037,15.4488425,8.31883698,0.251615308,0.251615308,4946.5,14246.0,264,267,359,360
UGC09037,16.7350656,7.25490805,0.234530318,0.231423956,5173.5,13903.5,268,271,360,360
UGC09037,18.0212887,6.27485089,0.226764414,0.226764414,5400.5,13588.0,272,275,361,361
UGC09037,19.3075117,5.56194085,0.215892147,0.215892147,5627.5,13358.5,276,279,361,362
UGC09037,20.5937348,5.05094433,0.211232604,0.211232604,5854.5,13194.0,280,283,362,363
UGC09037,21.8799579,4.57411779,0.215892147,0.215892147,6081.5,13040.5,284,287,363,363
UGC09037,23.1718472,4.08797217,0.189488072,0.189488072,6309.5,12884.0,288,291,364,364
UGC09037,24.4580703,3.72142147,0.18638171,0.18638171,6536.5,12766.0,292,295,364,365
UGC09037,25.7442933,3.56765656,0.187934891,0.187934891,6763.5,12716.5,296,299,365,366
UGC09037,27.0305164,3.47446571,0.191041252,0.191041252,6990.5,12686.5,300,303,366,366
UGC09037,28.3167395,3.31448807,0.192594433,0.189488072,7217.5,12635.0,304,307,367,367
UGC09037,29.6029626,3.06131958,0.206573062,0.206573062,7444.5,12553.5,308,311,367,368
UGC09037,30.8948519,2.77087475,0.183275348,0.183275348,7672.5,12460.0,312,315,368,369
UGC09037,32.181075,2.49440855,0.18638171,0.18638171,7899.5,12371.0,316,319,369,369
UGC09037,33.467298,2.18843191,0.194147614,0.194147614,8126.5,12272.5,320,323,370,370
UGC09037,34.7535211,1.86071074,0.198807157,0.198807157,8353.5,12167.0,324,327,370,371
UGC09037,36.0397442,1.55162773,0.200360338,0.200360338,8580.5,12067.5,328,331,371,372
UGC09037,37.3259673,1.2611829,0.208126243,0.205019881,8807.5,11974.0,332,335,372,372
UGC09037,38.6178566,0.978503976,0.208126243,0.208126243,9035.5,11883.0,336,339,373,373
UGC09037,39.9040797,0.702037773,0.211232604,0.211232604,9262.5,11794.0,340,343,373,374
UGC09037,41.1903027,0.461294732,0.23763668,0.234530318,9489.5,11716.5,344,347,374,375
UGC09037,42.4765258,0.295104374,0.273359841,0.273359841,9716.5,11663.0,348,351,375,375
UGC12506,2.39962765,13.2362078,0.481486083,0.481486083,2643.5,5669.0,667,670,833,833
UGC12506,3.99749069,10.1919732,0.481486083,0.481486083,2925.5,4689.0,671,674,833,834
UGC12506,5.60101991,7.59194831,0.481486083,0.481486083,3208.5,3852.0,675,678,834,835
UGC12506,7.20454913,5.90208748,0.481486083,0.481486083,3491.5,3308.0,679,682,835,835
UGC12506,8.80241217,5.26838966,0.481486083,0.481486083,3773.5,3104.0,683,686,836,836
UGC12506,10.4002752,5.5091327,0.479932903,0.479932903,4055.5,3181.5,687,690,836,837
UGC12506,12.0038044,6.23136183,0.481486083,0.481486083,4338.5,3414.0,691,694,837,838
UGC12506,13.6016675,6.99397366,0.483039264,0.479932903,4620.5,3659.5,695,698,838,838
UGC12506,15.1995305,7.4459493,0.481486083,0.481486083,4902.5,3805.0,699,702,839,839
UGC12506,16.8087259,7.41488569,0.481486083,0.481486083,5186.5,3795.0,703,706,839,840
UGC12506,18.406589,6.9333996,0.481486083,0.481486083,5468.5,3640.0,707,710,840,841
UGC12506,20.004452,6.18166004,0.481486083,0.481486083,5750.5,3398.0,711,714,841,841
UGC12506,21.6079812,5.37711233,0.481486083,0.481486083,6033.5,3139.0,715,718,842,842
UGC12506,23.2058443,4.68439364,0.481486083,0.481486083,6315.5,2916.0,719,722,842,843
UGC12506,24.8037073,4.20601392,0.481486083,0.481486083,6597.5,2762.0,723,726,843,844
UGC12506,26.4015703,3.96682406,0.481486083,0.481486083,6879.5,2685.0,727,730,844,844
UGC12506,28.0050996,3.89382455,0.479932903,0.479932903,7162.5,2661.5,731,734,845,845
UGC12506,29.6029626,3.83635686,0.481486083,0.481486083,7444.5,2643.0,735,738,845,846
UGC12506,31.2064918,3.64686879,0.481486083,0.481486083,7727.5,2582.0,739,742,846,847
UGC12506,32.810021,3.29740308,0.479932903,0.483039264,8010.5,2469.5,743,746,847,847
UGC12506,34.4078841,2.90134195,0.481486083,0.481486083,8292.5,2342.0,747,750,848,848
UGC12506,36.0057471,2.60934394,0.481486083,0.481486083,8574.5,2248.0,751,754,848,849
UGC12506,37.6092763,2.4819831,0.481486083,0.481486083,8857.5,2207.0,755,758,849,850
UGC12506,39.2071394,2.46800447,0.479932903,0.483039264,9139.5,2202.5,759,762,850,850
UGC12506,40.8050024,2.46023857,0.481486083,0.481486083,9421.5,2200.0,763,766,851,851
UGC12506,42.4085316,2.39966451,0.479932903,0.483039264,9704.5,2180.5,767,770,851,852
UGC12506,44.0120609,2.3111332,0.481486083,0.481486083,9987.5,2152.0,771,774,852,853
UGC12506,45.6099239,2.26764414,0.481486083,0.481486083,10269.5,2138.0,775,778,853,853
UGC12506,47.207787,2.31889911,0.479932903,0.483039264,10551.5,2154.5,779,782,854,854
UGC12506,48.8113162,2.43538767,0.481486083,0.481486083,10834.5,2192.0,783,786,854,855
UGC12506,50.4091792,2.50994036,0.481486083,0.481486083,11116.5,2216.0,787,790,855,856
UGC12506,52.0070423,2.43694085,0.483039264,0.479932903,11398.5,2192.5,791,794,856,856
UGC12506,53.6105715,2.1729001,0.483039264,0.479932903,11681.5,2107.5,795,798,857,857
UGC12506,55.2084345,1.76751988,0.481486083,0.481486083,11963.5,1977.0,799,802,857,858
UGC12506,56.8062976,1.31554423,0.483039264,0.479932903,12245.5,1831.5,803,806,858,859
UGC12506,58.4041606,0.89929175,0.483039264,0.479932903,12527.5,1697.5,807,810,859,859
UGC12506,60.0076898,0.559145129,0.481486083,0.481486083,12810.5,1588.0,811,814,860,860
UGC12506,61.6055529,0.309083002,,,13092.5,1507.5,815,818,,
UGC12506,63.2034159,0.158424453,,,13374.5,1459.0,819,821,,
