galaxy,stationary_role,source_reference,source_product,source_distance_mpc,frozen_distance_mpc,radius_arcsec,radius_kpc_source,radius_kpc_frozen,sigma_hi_msun_pc2,helium_included,extraction_method,pdf_x,pdf_y
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,7.42143043,0.82970056,0.74838559,4.18845053,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,234.886017,76.184143
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,22.26430947,2.48910371,2.24515859,4.37980491,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,237.378052,73.048981
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,37.10718851,4.14850686,3.74193160,4.65891188,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,239.870087,68.476074
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,51.95006755,5.80791001,5.23870460,4.79608818,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,242.362122,66.228569
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,66.79294659,7.46731316,6.73547761,4.94723345,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,244.854156,63.752195
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,81.63582564,9.12671631,8.23225062,5.27816588,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,247.346191,58.330177
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,96.47870468,10.78611946,9.72902362,5.82382635,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,249.838226,49.390041
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,111.32158372,12.44552261,11.22579663,6.28054703,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,252.330261,41.907101
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,126.16446276,14.10492576,12.72256963,6.33697541,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,254.822296,40.982574
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,141.00734180,15.76432891,14.21934264,6.11014197,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,257.314331,44.699028
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,155.85022084,17.42373206,15.71611564,5.86686144,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,259.806366,48.684952
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,170.69309988,19.08313521,17.21288865,5.63070200,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,262.298401,52.554203
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,185.53597892,20.74253836,18.70966166,5.33366876,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,264.790436,57.420815
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,200.37885796,22.40194151,20.20643466,5.00491539,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,267.282471,62.807131
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,215.22173700,24.06134465,21.70320767,4.69162120,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,269.774506,67.940163
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,230.06461604,25.72074780,23.19998067,4.48447538,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,272.266541,71.334053
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,244.90749508,27.38015095,24.69675368,4.36630218,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,274.758575,73.270210
NGC0289,calibration,Lutz_et_al_2018_HIX_II_arXiv1802.04043,Figure_A3_panel_b_measured_radial_HI_column_density,23.06,20.8,259.75037412,29.03955410,26.19352669,4.27510976,0,source_native_PDF_vector_marker_centers_linear_native_tick_calibration,277.250610,74.764313
