galaxy,stationary_role,panel_row,panel_col,point_index,pdf_drawing_index,x_pdf,y_pdf,r_over_rout,log10_sigma_hi_msun_pc2,sigma_hi_msun_pc2,radius_status,source_quantity,helium_status,lelli_ref,profile_republication,profile_reference_provenance,acquisition_status
NGC2903,calibration,1,1,0,89,105.361000061,189.829956055,0.000000000,-0.406302906,0.392371174,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,1,89,107.742004395,175.544982910,0.027691073,0.160220165,1.446172722,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,2,89,108.391006470,169.918029785,0.035238965,0.383377656,2.417562199,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,3,89,108.825004578,166.454956055,0.040286362,0.520718563,3.316794490,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,4,89,109.906997681,163.424987793,0.052869938,0.640883082,4.374043343,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,5,89,110.556007385,161.476989746,0.060417919,0.718138099,5.225623290,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,6,89,112.504005432,159.312011719,0.083073130,0.803998253,6.367929596,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,7,89,115.101005554,158.229980469,0.113276234,0.846910176,7.029269206,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,8,89,117.697998047,158.662963867,0.143479248,0.829738629,6.756762121,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,9,89,118.347999573,158.878967285,0.151038764,0.821172221,6.624791594,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,10,89,120.295997620,159.528991699,0.173693975,0.795393115,6.242996842,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,11,89,121.810997009,162.125976562,0.191313414,0.692400143,4.924930919,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,12,89,122.893005371,164.939025879,0.203897168,0.580838342,3.809240048,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,13,89,125.056999207,167.536987305,0.229064409,0.477806640,3.004738214,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,14,89,127.438003540,167.752990723,0.256755482,0.469240232,2.946050801,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,15,89,130.251998901,165.372009277,0.289482240,0.563666795,3.661565394,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,16,89,134.580001831,169.052001953,0.339816900,0.417723171,2.616514649,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,17,89,137.393997192,174.029968262,0.372543658,0.220303635,1.660747606,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,18,89,139.775009155,174.462951660,0.400234819,0.203132088,1.596364599,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,19,89,142.589004517,174.462951660,0.432961577,0.203132088,1.596364599,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,20,89,147.783004761,173.164001465,0.493367784,0.254646729,1.797408242,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,21,89,150.595993042,173.812988281,0.526082829,0.228908773,1.693981929,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
NGC2903,calibration,1,1,22,89,156.007003784,176.843017578,0.589012867,0.108741834,1.284522848,normalized_to_Hoekstra_Rout_outermost_rotation_curve_point,raw HI surface density from published dashed vector profile,raw_HI_no_helium_applied,Be87,Hoekstra_van_Albada_Sancisi_2001_MNRAS323_453,Begeman 1987 + Kent 1987,vector_profile_candidate_recovered
