galaxy,stationary_role,source_name,verified_alias,source_radius_arcsec,source_radius_kpc,source_sigmaHI_msun_pc2,source_sigmaHI_err_msun_pc2,source_distance_mpc,source_mean_inclination_deg,source_mean_pa_deg,helium_already_included,primary_beam_corrected,source_values_transformed,source_doi,source_member,source_member_sha256
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,12.00,0.43,2.64,0.54,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,24.00,0.86,2.66,0.76,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,36.00,1.29,2.44,0.81,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,48.00,1.72,2.79,1.36,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,60.00,2.15,2.56,1.06,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,72.00,2.58,1.92,0.88,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,84.00,3.01,1.60,0.88,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,96.00,3.44,1.68,0.87,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,108.00,3.87,1.89,0.73,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,120.00,4.31,1.75,0.51,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,132.00,4.74,1.37,0.47,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC05918,calibration,DDO87,DDO 87 = UGC 5918,144.00,5.17,0.97,0.48,7.4,42.7,238.6,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo87_onlinetab.txt,4460a564a3e6c290f2f0722ca29df8fa7b6878c715dec2b0469647edaf0b61d9
UGC07559,calibration,DDO126,DDO 126 = UGC 7559,20.00,0.48,5.06,1.01,4.9,62.2,140.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo126_onlinetab.txt,bb8291ce9751e0642dc74e61f79e0be44c2ca316da01c1635a35feef1b0ef8f2
UGC07559,calibration,DDO126,DDO 126 = UGC 7559,30.00,0.71,5.04,1.07,4.9,62.2,140.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo126_onlinetab.txt,bb8291ce9751e0642dc74e61f79e0be44c2ca316da01c1635a35feef1b0ef8f2
UGC07559,calibration,DDO126,DDO 126 = UGC 7559,40.00,0.95,4.76,1.44,4.9,62.2,140.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo126_onlinetab.txt,bb8291ce9751e0642dc74e61f79e0be44c2ca316da01c1635a35feef1b0ef8f2
UGC07559,calibration,DDO126,DDO 126 = UGC 7559,50.00,1.19,4.26,1.17,4.9,62.2,140.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo126_onlinetab.txt,bb8291ce9751e0642dc74e61f79e0be44c2ca316da01c1635a35feef1b0ef8f2
UGC07559,calibration,DDO126,DDO 126 = UGC 7559,60.00,1.43,3.91,1.03,4.9,62.2,140.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo126_onlinetab.txt,bb8291ce9751e0642dc74e61f79e0be44c2ca316da01c1635a35feef1b0ef8f2
