galaxy,stationary_role,source_radius_arcsec,source_radius_kpc,source_sigmaHI_msun_pc2,source_sigmaHI_err_msun_pc2,source_distance_mpc,source_mean_inclination_deg,source_mean_pa_deg,helium_already_included,primary_beam_corrected,source_values_transformed,source_doi,source_member,source_member_sha256
DDO168,calibration,15.00,0.31,16.43,2.87,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,30.00,0.63,12.12,4.26,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,45.00,0.94,9.26,4.49,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,60.00,1.25,6.94,4.18,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,75.00,1.56,5.23,3.66,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,90.00,1.88,4.29,3.46,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,105.00,2.19,3.65,3.01,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,120.00,2.50,3.30,2.60,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,135.00,2.81,2.81,2.17,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,150.00,3.13,2.37,1.91,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,165.00,3.44,1.98,1.80,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,180.00,3.75,1.62,1.74,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,195.00,4.07,1.37,1.60,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,210.00,4.38,1.10,1.37,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
DDO168,calibration,225.00,4.69,0.86,1.07,4.3,62.0,272.7,0,1,0,10.1093/mnras/stw3285,results.zip::finalrot/ddo168_onlinetab.txt,b6616306fd12e01c56d87a8d50ef1fe57d94e817c01adb616d19b24c8aba11fc
