galaxy,source_name,radius_kpc,radius_arcsec,sigma_hi_msun_pc2,source_x,source_y,source_line,published_gaussian_sigma_hi_msun_pc2,gaussian_residual_msun_pc2
UGC04483,UGC4483,0.0775862069,5.0023176,10.2274204,1152.0,3647.0,755,10.4064743,-0.179053898
UGC04483,UGC4483,0.232758621,15.0143691,10.2469136,1692.0,3653.0,756,9.68764357,0.559270006
UGC04483,UGC4483,0.387931034,25.0264207,8.70695257,2232.0,3179.0,757,8.39551272,0.311439852
UGC04483,UGC4483,0.543103448,35.0384722,6.41975309,2772.0,2475.0,758,6.77315215,-0.35339906
UGC04483,UGC4483,0.697988506,45.0319829,4.5711501,3311.0,1906.0,759,5.08988497,-0.518734868
UGC04483,UGC4483,0.85316092,55.0440345,3.43079922,3851.0,1555.0,760,3.55908379,-0.128284567
UGC04483,UGC4483,1.00833333,65.056086,2.57309942,4391.0,1291.0,761,2.31677039,0.256329029
UGC04483,UGC4483,1.16350575,75.0681376,1.79337232,4931.0,1051.0,762,1.40391984,0.389452484
UGC04483,UGC4483,1.31867816,85.0801891,1.14035088,5471.0,850.0,763,0.791983553,0.348367324
UGC04483,UGC4483,1.47385057,95.0922407,0.776478233,6011.0,738.0,764,0.415914969,0.360563263
