galaxy,stationary_role,request_from_lelli,expected_in_169_profile_compilation,current_effective_status,public_overlay_present,effective_public_source_family,preferred_public_source,effective_source_artifact,request_reason,requested_payload
DDO170,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
ESO444-G084,blind,1,1,direct_profile_identified_numeric_pending,1,Cote Carignan & Freeman 2000,0,validation/stationary/COTE2000_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
F565-V2,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC0055,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC0100,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC0247,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC0801,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC1003,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC2955,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3949,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3953,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3992,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4100,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4157,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC5005,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC5033,blind,1,1,vector_profile_candidate_recovered,1,Begeman 1987 / Hoekstra van Albada & Sancisi 2001 vector republication,1,data/stationary/source_reconstruction/hoekstra2001_be87_hi_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC5585,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC6674,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC01281,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05716,blind,1,1,source_family_identified_numeric_pending,1,van Zee et al. 1997,0,validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05721,blind,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05829,blind,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05986,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06923,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07089,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07151,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC08550,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC08837,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC09133,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC09992,blind,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC10310,blind,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC11557,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC11820,blind,1,1,source_family_identified_numeric_pending,1,van Zee et al. 1997,0,validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
