galaxy,stationary_role,source_name_vizier,source_catalog,source_table,source_radius_kpc,source_radius_over_r25,source_sigmaHI_including_helium_msun_pc2,source_sigmaHI_rms_msun_pc2,helium_already_included,source_values_transformed,source_bibcode,source_doi,vizier_catalog_doi
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,0.1,0.08,7.3,0.7,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,0.3,0.25,7.2,0.8,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,0.5,0.42,7.1,0.7,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,0.7,0.59,6.8,0.5,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,0.9,0.76,6.6,0.4,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,1.1,0.93,6.9,0.7,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
DDO154,calibration,DDO 154,J/AJ/136/2782,table7,1.4,1.1,7,0.8,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,0.1,0.01,10.3,2.5,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,0.3,0.04,10.7,2.3,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,0.5,0.06,10.7,1.6,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,0.7,0.09,9.6,1.3,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,0.9,0.12,8.2,1.4,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,1.1,0.14,7.7,1.6,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,1.3,0.17,8,1.7,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,1.5,0.19,8.5,1.7,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,1.6,0.22,9,1.4,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,1.8,0.25,9.3,1.1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,2,0.27,9.2,1.2,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,2.2,0.3,8.8,1.2,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,2.4,0.32,7.9,1.1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,2.6,0.35,7.2,1.1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,2.8,0.38,7.2,1.2,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,3,0.4,7.5,1.3,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,3.2,0.43,7.9,1.3,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,3.4,0.45,8.3,1.3,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,3.6,0.48,8.5,1.1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,3.8,0.51,8.7,1.1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,4,0.53,9,1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,4.2,0.56,9.2,0.9,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,4.4,0.58,9.3,0.9,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,4.6,0.61,9.4,0.9,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,4.8,0.64,9.5,0.9,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,4.9,0.66,9.7,0.9,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,5.1,0.69,10.1,1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,5.3,0.71,10.4,1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,5.5,0.74,10.4,1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
IC2574,calibration,IC 2574,J/AJ/136/2782,table7,5.7,0.77,10.2,1,1,0,2008AJ....136.2782L,10.1088/0004-6256/136/6/2782,10.26093/cds/vizier.51362782
