galaxy,stationary_role,source_catalog,source_table,profile_quantity,source_radius_unit,source_surface_density_unit,helium_already_included,machine_readable_rows_available,rows_ingested,numeric_ingestion_status,normalization_status,notes
DDO154,calibration,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,7,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
IC2574,calibration,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,46,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC2403,blind,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,57,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC2841,calibration,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,25,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC2976,calibration,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,26,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC3198,calibration,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,23,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC3521,blind,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,30,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC5055,blind,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,43,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC6946,blind,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,41,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC7331,calibration,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,33,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
NGC7793,blind,J/AJ/136/2782,table7,source_published_SigmaHI,kpc,Msun_pc^-2,1,1,38,raw_source_profile_ingested,pending_global_freeze,"THINGS HI radial profile ingested from Leroy et al. 2008 electronic table; published helium-inclusive SigmaHI and uncertainty preserved unchanged."
