galaxy,source_code,source_family,primary_public_route,status
DDO064,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC00731,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC01281,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC04278,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC04499,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC05918,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC05986,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07125,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07151,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07261,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07323,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07399,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07524,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07559,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07577,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07603,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07690,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC07866,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC08286,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC08490,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC08550,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC08837,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC09992,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC10310,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC11557,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
UGC12632,Sw02,Swaters et al. 2002,WHISP public maps / Swaters atlas,public_acquisition_queue
NGC3769,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3877,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3893,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3917,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3949,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3953,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3972,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC3992,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4010,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4013,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4051,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4085,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4088,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4100,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4138,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4157,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4183,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
NGC4217,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06399,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06446,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06667,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06818,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,known_Hua_missing_exclude_unless_recovered
UGC06917,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06923,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06930,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC06983,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC07089,VS01,Verheijen and Sancisi 2001,Ursa Major public atlas / WHISP products,public_acquisition_queue
UGC02487,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC02916,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC02953,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC03205,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC03546,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC03580,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC05253,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC06786,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC06787,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC08699,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC09133,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
UGC11914,No05,Noordermeer et al. 2005,WHISP public maps / Noordermeer atlas,public_acquisition_queue
F565-V2,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F568-3,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F568-V1,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F571-8,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F571-V1,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F574-1,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F583-1,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
F583-4,dB96,de Blok et al. 1996,public article/archives; seek VLA/WSRT maps,public_acquisition_queue
NGC4068,Le14,Lelli et al. 2014,public VizieR FITS cube route,public_acquisition_queue
