radius_arcsec,radius_kpc,sigma_hi_msun_pc2,pixel_x_roi,pixel_y_roi,radius_err_kpc,sigma_hi_err_msun_pc2,template_score,galaxy,source,method,distance_mpc_frozen
7.209833958247827,1.2933064574948225,2.962121212121212,18.5,200.5,0.13981338003849375,0.030303030303030325,0.9136025309562683,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
14.224630215079157,2.5516268778412665,3.1136363636363633,36.5,190.5,0.13981338003849375,0.030303030303030325,0.9721114039421082,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
28.25422272874182,5.068267718534154,3.068181818181818,72.5,193.5,0.13981338003849375,0.030303030303030325,0.8647894859313965,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
35.269018985573155,6.326588138880599,3.507575757575758,90.5,164.5,0.13981338003849375,0.030303030303030325,0.7285972833633423,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
49.29861149923582,8.843228979573487,4.522727272727273,126.5,97.5,0.13981338003849375,0.030303030303030325,0.7282941937446594,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
56.31340775606714,10.101549399919929,4.568181818181819,144.5,94.5,0.13981338003849375,0.030303030303030325,0.9999996423721313,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
63.328204012898475,11.359869820266374,4.462121212121213,162.5,101.5,0.13981338003849375,0.030303030303030325,0.9899646639823914,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
70.34300026972981,12.618190240612819,4.310606060606061,180.5,111.5,0.13981338003849375,0.030303030303030325,0.9927648305892944,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
91.3873890402238,16.39315150165215,3.9924242424242427,234.5,132.5,0.13981338003849375,0.030303030303030325,0.9493056535720825,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
105.41698155388646,18.909792342345035,2.795454545454545,270.5,211.5,0.13981338003849375,0.030303030303030325,0.9714046120643616,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
112.43177781071779,20.16811276269148,2.2803030303030294,288.5,245.5,0.13981338003849375,0.030303030303030325,0.9782997965812683,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
119.44657406754912,21.426433183037922,2.068181818181817,306.5,259.5,0.13981338003849375,0.030303030303030325,0.9367965459823608,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
126.46137032438045,22.684753603384365,1.9469696969696955,324.5,267.5,0.13981338003849375,0.030303030303030325,0.9705716371536255,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
133.4761665812118,23.94307402373081,1.9166666666666652,342.5,269.5,0.13981338003849375,0.030303030303030325,0.9737943410873413,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
140.10125193488582,25.13148775405745,1.8106060606060597,359.5,276.5,0.13981338003849375,0.030303030303030325,0.9652816653251648,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
147.11604819171714,26.389808174403894,1.5984848484848468,377.5,290.5,0.13981338003849375,0.030303030303030325,0.9314132928848267,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
154.1308444485485,27.64812859475034,1.340909090909089,395.5,307.5,0.13981338003849375,0.030303030303030325,0.9487890601158142,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
161.1456407053798,28.90644901509678,1.1136363636363615,413.5,322.5,0.13981338003849375,0.030303030303030325,0.9460464715957642,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
168.16043696221115,30.164769435443227,0.840909090909089,431.5,340.5,0.13981338003849375,0.030303030303030325,0.9387006163597107,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
175.17523321904247,31.42308985578967,0.5681818181818157,449.5,358.5,0.13981338003849375,0.030303030303030325,0.7241058349609375,NGC1090,Gentile et al. 2004 Fig. 2 average filled-circle series,publication_figure_template_digitization,37.0
