radius_arcsec,radius_kpc,sigma_hi_msun_pc2,galaxy,source,method,distance_mpc_frozen
0.0,0.0,2.61867088607595,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
7.041383570105006,1.2630896763575263,2.6553797468354445,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
14.006371704430933,2.5124754711848567,2.8351265822784812,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
28.019245148077115,5.026117230159519,3.307911392405065,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
35.06062871818211,6.289206906517044,3.706962025316458,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
42.029680439517584,7.539321631213006,4.289556962025318,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
49.07431487923021,8.802994451465434,4.725632911392406,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
56.039303013556136,10.052380246292763,4.944936708860762,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
63.080686583661134,11.315469922650289,4.908544303797468,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
70.05217645720231,12.566022005267424,4.725632911392406,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
84.13494359741232,15.092201357982477,4.073101265822785,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
91.10318260134588,16.34217029670471,3.706962025316458,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
98.07548519228895,17.59286816529557,3.380696202531646,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
105.11524332759015,18.855666269705647,3.05474683544304,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
112.15337602808755,20.118172802168274,2.7623417721519004,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
119.12649133643252,21.369016456732858,2.5091772151898746,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
126.09147947075844,22.618402251560187,2.3262658227848103,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
133.1377393452749,23.88236664376007,2.2193037974683567,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
140.18399921979133,25.14633103595995,2.0731012658227868,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
147.14898735411722,26.395716830787272,1.890189873417721,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
154.1139754884432,27.645102625614612,1.6737341772151917,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
161.15210818894056,28.907609158077232,1.3806962025316458,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
168.198368063457,30.171573550277113,1.0914556962025324,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
175.16335619778295,31.420959345104446,0.7648734177215197,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
182.1283443321089,32.67034513993178,0.5091772151898728,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
189.18273138064436,33.93576739186891,0.3291139240506341,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
196.2208640811417,35.19827392433153,0.2193037974683547,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
203.1858522154677,36.44765971915887,0.10949367088607534,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
210.15084034979358,37.69704551398619,0.07310126582278491,NGC1090,Gentile et al. 2004 fig2.eps average filled-circle series,direct_public_vector_radial_profile,37.0
