galaxy,stationary_role,sample_index,radius_kpc_source,sigma_hi_m0_mean_msun_pc2,sigma_hi_half_side_difference_msun_pc2,sigma_hi_approaching_msun_pc2,sigma_hi_receding_msun_pc2,derivation,source_figure,source_asset,helium_applied
NGC5907,calibration,0,-0.000002694,2.396415800,0.000000000,2.396415800,2.396415800,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,1,1.053383413,2.955577872,0.239641661,3.195219533,2.715936210,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,2,2.106797644,2.955577872,0.239641661,3.195219533,2.715936210,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,3,3.160183750,2.715936210,0.000000000,2.715936210,2.715936210,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,4,4.213597981,2.749887081,0.000000000,2.749887081,2.749887081,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,5,5.266984088,2.783835245,0.000000000,2.783835245,2.783835245,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,6,6.320398319,2.817783409,0.000000000,2.817783409,2.817783409,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,7,7.373784425,3.648541619,0.125810688,3.522730932,3.774352307,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,8,8.427170532,4.880198654,0.212182115,5.092380769,4.668016539,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,9,9.480584763,5.366970821,0.042935318,5.324035503,5.409906139,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
