galaxy,stationary_role,side,side_color,sample_index,radius_kpc_source,sigma_hi_msun_pc2,source_x_pdf,source_y_pdf,source_figure,source_asset,source_quantity,helium_applied
NGC5907,calibration,approaching,blue,0,-0.000002694,2.396415800,1545.119995,192.927124,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,1,1.053383413,3.195219533,1549.692139,174.916199,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,2,2.106797644,3.195219533,1554.264404,174.916199,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,3,3.160183750,2.715936210,1558.836548,185.722778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,4,4.213597981,2.749887081,1563.408813,184.957275,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,5,5.266984088,2.783835245,1567.980957,184.191833,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,6,6.320398319,2.817783409,1572.553223,183.426392,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,7,7.373784425,3.522730932,1577.125366,167.531677,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,8,8.427170532,5.092380769,1581.697510,132.140198,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,9,9.480584763,5.324035503,1586.269775,126.916992,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,10,10.533970869,5.212202276,1590.841919,129.438538,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,11,11.587385100,4.217689719,1595.414185,151.862183,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,12,12.640771207,3.901263380,1599.986328,158.996765,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,13,13.694185438,4.403412515,1604.558594,147.674622,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,14,14.747571544,5.088387982,1609.130737,132.230225,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,15,15.800985775,5.603617215,1613.703003,120.613159,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,16,16.854371882,5.664524136,1618.275146,119.239868,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,17,17.907757988,5.443854303,1622.847290,124.215393,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,18,18.961172219,5.700989785,1627.419556,118.417664,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,19,20.014558326,5.751396353,1631.991699,117.281128,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,20,21.067972557,5.635229260,1636.563965,119.900391,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,21,22.121358663,2.945893671,1641.136108,180.537842,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,22,23.174772894,1.977043230,1645.708374,202.382874,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,23,24.228159001,2.575436126,1650.280518,188.890686,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,24,25.281545107,4.291909539,1654.852661,150.188721,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,25,26.334959338,4.277600473,1659.424927,150.511353,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,26,27.388345445,3.599614414,1663.997070,165.798157,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,27,28.441759676,1.769353339,1668.569336,207.065735,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,28,29.495145782,1.258116893,1673.141479,218.592773,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,29,30.548560013,1.058415282,1677.713745,223.095520,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,30,31.601946120,1.068401310,1682.285889,222.870361,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,31,32.655360350,1.078387338,1686.858154,222.645203,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,32,33.708746457,1.088370659,1691.430298,222.420105,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,33,34.762132564,0.870697447,1696.002441,227.328064,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,34,35.815546795,0.435348316,1700.574707,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,35,36.868932901,0.653024235,1705.146851,232.236023,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,36,37.922347132,0.342074105,1709.719116,239.247131,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,37,38.975733239,0.409770117,1714.291260,237.720764,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,38,40.029147469,0.837447683,1718.863525,228.077759,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,39,41.082533576,0.930957401,1723.435669,225.969360,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,40,42.135919683,0.824765508,1728.007812,228.363708,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,41,43.189333914,0.724916057,1732.580078,230.615051,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
