galaxy,sand1996_table_line,sand1996_reference_number,cited_source,mapping_status,profile_specificity_status
NGC0055,1016,24,Puche et al. 1991,mapped_to_sanders_cited_source,requires_source_level_audit
NGC0247,1010,15,Carignan \& Puche 1990b,mapped_to_sanders_cited_source,requires_source_level_audit
NGC0247,1010,16,Carignan 1985,mapped_to_sanders_cited_source,requires_source_level_audit
NGC0300,1013,15,Carignan \& Puche 1990b,mapped_to_sanders_cited_source,requires_source_level_audit
NGC0300,1013,16,Carignan 1985,mapped_to_sanders_cited_source,requires_source_level_audit
NGC0801,1002,1,Kent 1986,mapped_to_sanders_cited_source,requires_source_level_audit
NGC0801,1002,3,Broeils 1992b,mapped_to_sanders_cited_source,requires_source_level_audit
NGC1003,1009,3,Broeils 1992b,mapped_to_sanders_cited_source,requires_source_level_audit
NGC1003,1009,4,Broeils \& Knappen 1991,mapped_to_sanders_cited_source,requires_source_level_audit
NGC2683,1006,11,Casertano \& van Gorkom 1991,mapped_to_sanders_cited_source,requires_source_level_audit
NGC2683,1006,12,Carignan et al. 1990,mapped_to_sanders_cited_source,requires_source_level_audit
NGC2998,1001,3,Broeils 1992b,mapped_to_sanders_cited_source,requires_source_level_audit
NGC2998,1001,4,Broeils \& Knappen 1991,mapped_to_sanders_cited_source,requires_source_level_audit
NGC5033,1004,8,Begeman 1987,mapped_to_sanders_cited_source,requires_source_level_audit
NGC5033,1004,10,Kent 1985,mapped_to_sanders_cited_source,requires_source_level_audit
NGC5371,1003,8,Begeman 1987,mapped_to_sanders_cited_source,requires_source_level_audit
NGC5371,1003,9,Wevers 1984,mapped_to_sanders_cited_source,requires_source_level_audit
NGC5585,1014,21,Cote et al. 1991,mapped_to_sanders_cited_source,requires_source_level_audit
NGC5907,1000,6,"Barnaby \& Thronson 1992, 1994",mapped_to_sanders_cited_source,requires_source_level_audit
NGC5907,1000,7,Sancisi \& van Albada 1987,mapped_to_sanders_cited_source,requires_source_level_audit
NGC6674,999,3,Broeils 1992b,mapped_to_sanders_cited_source,requires_source_level_audit
NGC6674,999,4,Broeils \& Knappen 1991,mapped_to_sanders_cited_source,requires_source_level_audit
UGC02885,997,1,Kent 1986,mapped_to_sanders_cited_source,requires_source_level_audit
UGC02885,997,2,Roelfsema \& Allen 1985,mapped_to_sanders_cited_source,requires_source_level_audit
