galaxy,sanders1996_ref_number,sanders1996_original_source_label,mapping_status
NGC0055,24,Puche et al. 1991,mapped
NGC0247,15,Carignan & Puche 1990b,mapped
NGC0247,16,Carignan 1985,mapped
NGC0300,15,Carignan & Puche 1990b,mapped
NGC0300,16,Carignan 1985,mapped
NGC0801,1,,legend_parse_pending
NGC0801,3,,legend_parse_pending
NGC1003,3,,legend_parse_pending
NGC1003,4,Broeils & Knappen 1991,mapped
NGC2683,11,Casertano & van Gorkom 1991,mapped
NGC2683,12,Carignan et al. 1990,mapped
NGC2998,3,,legend_parse_pending
NGC2998,4,Broeils & Knappen 1991,mapped
NGC5033,8,Begeman 1987,mapped
NGC5033,10,Kent 1985,mapped
NGC5371,8,Begeman 1987,mapped
NGC5371,9,Wevers 1984,mapped
NGC5585,21,Cote et al. 1991,mapped
NGC5907,6,"Barnaby & Thronson 1992, 1994",mapped
NGC5907,7,Sancisi & van Albada 1987,mapped
NGC6674,3,,legend_parse_pending
NGC6674,4,Broeils & Knappen 1991,mapped
UGC02885,1,,legend_parse_pending
UGC02885,2,,legend_parse_pending
