sparc_ref_id,n_untouched_frozen_galaxies,n_calibration,n_blind,queue_actionable_now,queue_status,disposition,disposition_artifact,reopen_rule,reference_resolved_in_cds_refs,author,bibcode,comment,galaxies
dB01,5,4,1,1,actionable_unreviewed,,,,1,de Blok et al.,2001AJ....122.2396D,,D631-7;F571-8;UGC05750;UGC06614;UGC11557
dB02,5,3,2,1,actionable_unreviewed,,,,1,de Blok and Bosma,2002A&A...385..816D,Cat. J/A+A/385/816,DDO064;NGC0100;UGC01281;UGC04278;UGC05005
Be87,4,3,1,1,actionable_unreviewed,,,,1,"Begeman, K.G.",...................,"1987, PhD thesis, University of Groningen",NGC2903;NGC5033;NGC5371;NGC6503
VH93,3,3,0,1,actionable_unreviewed,,,,1,van der Hulst et al.,1993AJ....106..548V,,UGC00128;UGC05005;UGC06614
Fr11,2,2,0,1,actionable_unreviewed,,,,1,Fraternali et al.,2011A&A...531A..64F,,NGC0891;NGC7814
Ha14,2,2,0,1,actionable_unreviewed,,,,1,Hallenbeck et al.,2014AJ....148...69H,,UGC09037;UGC12506
Le14,2,2,0,1,actionable_unreviewed,,,,1,Lelli et al.,2014A&A...566A..71L,Cat. J/A+A/566/A71,NGC4068;UGC04483
Tr09,2,2,0,1,actionable_unreviewed,,,,1,Trachternarch et al.,2009A&A...505..577T,,D564-8;D631-7
Ge04,2,1,1,1,actionable_unreviewed,,,,1,Gentile et al.,2004MNRAS.351..903G,,ESO079-G014;ESO116-G012
dB97,2,1,1,1,actionable_unreviewed,,,,1,de Blok and McGaugh,1997MNRAS.290..533D,,F565-V2;F571-V1
Ba05,1,1,0,1,actionable_unreviewed,,,,1,Barbieri et al.,2005A&A...439..947B,,NGC4559
Bl04,1,1,0,1,actionable_unreviewed,,,,1,Blais-Ouellette et al.,2004A&A...420..147B,Cat. J/A+A/420/147,NGC5985
CP90,1,1,0,1,actionable_unreviewed,,,,1,Carignan and Puche,1990AJ....100..641C,,NGC0300
Ca88,1,1,0,1,actionable_unreviewed,,,,1,Carignan et al.,1988AJ.....95...37C,,UGC02259
El10,1,1,0,1,actionable_unreviewed,,,,1,Elson et al.,2010MNRAS.404.2061E,,NGC2915
JC90,1,1,0,1,actionable_unreviewed,,,,1,Jobin and Carignan,1990AJ....100..648J,,NGC3109
Le12,1,1,0,1,actionable_unreviewed,,,,1,Lelli et al.,2012A&A...544A.145L,,UGC04483
RA85,1,1,0,1,actionable_unreviewed,,,,1,Roelfsema and Allen,1985A&A...146..213R,,UGC02885
SA87,1,1,0,1,actionable_unreviewed,,,,1,Sancisi and vanAlbada,1987IAUS..117...67S,,NGC5907
VB99,1,1,0,1,actionable_unreviewed,,,,0,,,,UGC00128
VM97,1,1,0,1,actionable_unreviewed,,,,1,Verdes-Montenegro et al.,1997A&A...321..754V,,NGC6015
VdH93,1,1,0,1,actionable_unreviewed,,,,0,,,,UGC05750
Wa97,1,1,0,1,actionable_unreviewed,,,,1,Walsh et al,1997AJ....113.1591W,,NGC0289
Bl99,1,0,1,1,actionable_unreviewed,,,,1,Blais-Ouellette et al.,1999AJ....118.2123B,,NGC5585
Ca90,1,0,1,1,actionable_unreviewed,,,,1,Carignan and Puche,1990AJ....100..394C,,NGC0247
Ch06,1,0,1,1,actionable_unreviewed,,,,1,Chemin et al.,2006AJ....132.2527C,,NGC0024
Co91,1,0,1,1,actionable_unreviewed,,,,1,Cote et al.,1991AJ....102..904C,,NGC5585
Di08,1,0,1,1,actionable_unreviewed,,,,1,Dicaire et al.,2008MNRAS.385..553D,,NGC0024
Ke07,1,0,1,1,actionable_unreviewed,,,,1,Kepley et al.,2007AJ....133.2242K,,UGCA444
La90,1,0,1,1,actionable_unreviewed,,,,1,Lake et al.,1990AJ.....99..547L,,DDO170
Pu91,1,0,1,1,actionable_unreviewed,,,,1,Puche et al.,1991AJ....101..447P,,NGC0055
Rh96,1,0,1,1,actionable_unreviewed,,,,1,Rhee and vanAlbada,1996A&AS..115..407R,Cat. J/A+AS/115/407,NGC0100
Ri15,1,0,1,1,actionable_unreviewed,,,,1,Richards et al.,2015MNRAS.449.3981R,,NGC5005
SV98,27,19,8,0,defer_until_new_mechanism,same_ursa_major_chain_covered_by_vs01_audit,validation/stationary/VS01_URSA_MAJOR_PROFILE_AUDIT_V1.md,new_independent_numeric_profile_asset,1,Sanders and Verheijen,1998ApJ...503...97S,,NGC3726;NGC3769;NGC3877;NGC3893;NGC3917;NGC3949;NGC3953;NGC3972;NGC3992;NGC4010;NGC4013;NGC4051;NGC4085;NGC4088;NGC4100;NGC4138;NGC4157;NGC4183;NGC4217;UGC06399;UGC06667;UGC06818;UGC06917;UGC06923;UGC06930;UGC06983;UGC07089
VS01,27,19,8,0,defer_until_new_mechanism,public_direct_profile_confirmed_numeric_route_exhausted,validation/stationary/VS01_URSA_MAJOR_PROFILE_AUDIT_V1.md,new_full_atlas_or_machine_readable_republication,1,Verheijen and Sancisi,2001A&A...370..765V,Cat. J/A+A/370/765,NGC3726;NGC3769;NGC3877;NGC3893;NGC3917;NGC3949;NGC3953;NGC3972;NGC3992;NGC4010;NGC4013;NGC4051;NGC4085;NGC4088;NGC4100;NGC4138;NGC4157;NGC4183;NGC4217;UGC06399;UGC06667;UGC06818;UGC06917;UGC06923;UGC06930;UGC06983;UGC07089
Sw02,13,7,6,0,defer_until_new_mechanism,full_public_atlas_recovered_but_target_figures_raster_dominant,validation/stationary/sw02_recovered_figure_block_audit_v1.json,new_machine_readable_table_or_analytic_republication,1,Swaters et al.,2002A&A...390..829S,,DDO064;UGC00731;UGC01281;UGC04278;UGC05986;UGC07125;UGC07151;UGC07577;UGC07603;UGC08286;UGC08550;UGC08837;UGC11557
Sa96,13,6,7,0,redirected_to_original_sources,downstream_rotation_curve_compilation_mapped_to_original_observing_sources,data/stationary/source_reconstruction/sa96_original_hi_source_map_v1.csv,auditable_original_source_route,1,Sanders,1996ApJ...473..117S,,NGC0055;NGC0247;NGC0300;NGC0801;NGC1003;NGC2683;NGC2998;NGC5033;NGC5371;NGC5585;NGC5907;NGC6674;UGC02885
No05,12,10,2,0,defer_until_new_mechanism,direct_profile_atlas_confirmed_public_numeric_route_exhausted,validation/stationary/NO05_NO07_HI_PROFILE_AUDIT_V1.md,new_archive_mirror_map_table_or_republication,1,Noordermeer et al.,2005A&A...442..137N,Cat. J/A+A/442/137,UGC02487;UGC02916;UGC02953;UGC03205;UGC03546;UGC03580;UGC05253;UGC06786;UGC06787;UGC08699;UGC09133;UGC11914
No07,12,10,2,0,defer_until_new_mechanism,downstream_same_hi_data_as_no05,validation/stationary/NO05_NO07_HI_PROFILE_AUDIT_V1.md,new_independent_profile_asset,1,Noordermeer et al.,2007MNRAS.376.1513N,,UGC02487;UGC02916;UGC02953;UGC03205;UGC03546;UGC03580;UGC05253;UGC06786;UGC06787;UGC08699;UGC09133;UGC11914
Sw09,9,5,4,0,redirected_to_original_sources,downstream_rotation_curve_analysis_uses_sw02_whisp_hi_observations,validation/stationary/sw02_recovered_figure_block_audit_v1.json,new_independent_profile_asset,1,Swaters et al.,2009A&A...493..871S,,UGC00731;UGC05986;UGC07125;UGC07151;UGC07577;UGC07603;UGC08286;UGC08550;UGC08837
Br92,6,3,3,0,defer_until_new_mechanism,full_broeils_thesis_catalogued_but_current_exact_public_payload_unrecoverable,validation/stationary/broeils1992_legacy_dissertation_recovery_v1.json,new_full_thesis_archive_copy_machine_readable_profile_or_analytic_republication,1,Broeils,...................,"1992, PhD thesis, University of Groningen",NGC0801;NGC1003;NGC2683;NGC2998;NGC5985;NGC6674
Be91,5,4,1,0,redirected_to_original_sources,downstream_selected_rotation_curve_analysis_mapped_to_original_21cm_sources,data/stationary/source_reconstruction/be91_original_hi_source_map_v2.csv,auditable_original_source_route,1,Begeman et al.,1991MNRAS.249..523B,,DDO170;NGC2903;NGC3109;NGC6503;UGC02259
SG06,5,4,1,0,defer_until_new_mechanism,direct_radial_hi_profiles_published_but_arxiv_summary_figures_raster_dominant,validation/stationary/sg06_profile_panel_geometry_audit_v1.json,new_machine_readable_profile_table_data_cube_or_exact_vector_republication,1,Spekkens and Giovanelli,2006AJ....132.1426S,,ESO563-G021;IC4202;NGC2955;NGC6195;UGC11455
