galaxy,stationary_role,sparc_ref_id,reference_resolved_in_cds_refs,author,bibcode,comment,provenance_scope
CamB,calibration,Bm03,1,Begum et al.,2003NewA....8..267B,,SPARC_Table1_column15_HI_Halpha_reference
D564-8,calibration,Tr09,1,Trachternarch et al.,2009A&A...505..577T,,SPARC_Table1_column15_HI_Halpha_reference
D631-7,calibration,Tr09,1,Trachternarch et al.,2009A&A...505..577T,,SPARC_Table1_column15_HI_Halpha_reference
D631-7,calibration,dB01,1,de Blok et al.,2001AJ....122.2396D,,SPARC_Table1_column15_HI_Halpha_reference
DDO064,calibration,dB02,1,de Blok and Bosma,2002A&A...385..816D,Cat. J/A+A/385/816,SPARC_Table1_column15_HI_Halpha_reference
DDO064,calibration,Sw02,1,Swaters et al.,2002A&A...390..829S,,SPARC_Table1_column15_HI_Halpha_reference
DDO154,calibration,Be91,1,Begeman et al.,1991MNRAS.249..523B,,SPARC_Table1_column15_HI_Halpha_reference
DDO154,calibration,CB89,1,Carignan and Beaulieu,1989ApJ...347..760C,,SPARC_Table1_column15_HI_Halpha_reference
DDO161,calibration,Co00,1,Cote et al.,2000AJ....120.3027C,,SPARC_Table1_column15_HI_Halpha_reference
DDO168,calibration,Sa96,1,Sanders,1996ApJ...473..117S,,SPARC_Table1_column15_HI_Halpha_reference
DDO168,calibration,Br92,1,Broeils,...................,"1992, PhD thesis, University of Groningen",SPARC_Table1_column15_HI_Halpha_reference
DDO170,blind,Be91,1,Begeman et al.,1991MNRAS.249..523B,,SPARC_Table1_column15_HI_Halpha_reference
DDO170,blind,La90,1,Lake et al.,1990AJ.....99..547L,,SPARC_Table1_column15_HI_Halpha_reference
ESO079-G014,calibration,Ge04,1,Gentile et al.,2004MNRAS.351..903G,,SPARC_Table1_column15_HI_Halpha_reference
ESO116-G012,blind,Ge04,1,Gentile et al.,2004MNRAS.351..903G,,SPARC_Table1_column15_HI_Halpha_reference
ESO444-G084,blind,Co00,1,Cote et al.,2000AJ....120.3027C,,SPARC_Table1_column15_HI_Halpha_reference
ESO563-G021,calibration,SG06,1,Spekkens and Giovanelli,2006AJ....132.1426S,,SPARC_Table1_column15_HI_Halpha_reference
F565-V2,blind,dB97,1,de Blok and McGaugh,1997MNRAS.290..533D,,SPARC_Table1_column15_HI_Halpha_reference
F565-V2,blind,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
F568-3,calibration,KN08,1,Kuzio de Naray et al.,2008ApJ...676..920K,,SPARC_Table1_column15_HI_Halpha_reference
F568-3,calibration,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
F568-V1,calibration,dB01,1,de Blok et al.,2001AJ....122.2396D,,SPARC_Table1_column15_HI_Halpha_reference
F568-V1,calibration,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
F571-8,calibration,dB01,1,de Blok et al.,2001AJ....122.2396D,,SPARC_Table1_column15_HI_Halpha_reference
F571-8,calibration,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
F571-V1,calibration,dB97,1,de Blok and McGaugh,1997MNRAS.290..533D,,SPARC_Table1_column15_HI_Halpha_reference
F571-V1,calibration,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
F574-1,blind,dB01,1,de Blok et al.,2001AJ....122.2396D,,SPARC_Table1_column15_HI_Halpha_reference
F574-1,blind,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
F583-1,calibration,KN08,1,Kuzio de Naray et al.,2008ApJ...676..920K,,SPARC_Table1_column15_HI_Halpha_reference
F583-1,calibration,dB96,1,de Blok et al.,1996MNRAS.283...18D,,SPARC_Table1_column15_HI_Halpha_reference
