galaxy,stationary_role,master_sha256,expected_in_169_profile_compilation,primary_direct_profile_eligible,primary_profile_acquisition_status,public_download_verified,profile_data_ingested,profile_source_class,independent_FEASTS_validation_overlap,do_not_substitute_validation_for_primary,notes
CamB,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
D564-8,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,0,0,known_unavailable_in_169_compilation,0,0,none_known_from_compilation,0,1,Known missing from the Hua 169-profile compilation; primary direct-profile analysis excludes unless an independently verified direct profile is found pre-fit.
D631-7,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,0,0,known_unavailable_in_169_compilation,0,0,none_known_from_compilation,0,1,Known missing from the Hua 169-profile compilation; primary direct-profile analysis excludes unless an independently verified direct profile is found pre-fit.
DDO064,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
DDO154,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
DDO161,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
DDO168,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
DDO170,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
ESO079-G014,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
ESO116-G012,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
ESO444-G084,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
ESO563-G021,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
F565-V2,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
F568-3,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
F568-V1,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
F571-8,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
F571-V1,calibration,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
F574-1,blind,254e17dbe22eb8371384e3c7f301f9936181b99384518e772be861567e4e896f,1,1,public_reconstruction_in_progress,0,0,public_literature_or_survey_reconstruction_pending,0,1,Profile reported available in the Hua 169-galaxy literature compilation. Public literature/survey reconstruction is the preferred acquisition route; private communication remains last resort.
