galaxy,stationary_role,sparc_hi_ha_refs,candidate_profile_lead_codes,candidate_profile_lead_families,known_hua_profile_missing,profile_source_verified,public_numeric_route_verified,redistribution_status,notes
CamB,calibration,Bm0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
D564-8,calibration,Tr0,,,1,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
D631-7,calibration,"Tr09,dB0",,,1,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
DDO064,calibration,"dB02,Sw0",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
DDO154,calibration,"Be91,CB8",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
DDO161,calibration,Co0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
DDO168,calibration,"Sa96,Br9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
DDO170,blind,"Be91,La9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
ESO079-G014,calibration,Ge0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
ESO116-G012,blind,Ge0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
ESO444-G084,blind,Co0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
ESO563-G021,calibration,SG0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F565-V2,blind,"dB97,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F568-3,calibration,"KN08,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F568-V1,calibration,"dB01,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F571-8,calibration,"dB01,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F571-V1,calibration,"dB97,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F574-1,blind,"dB01,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F583-1,calibration,"KN08,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
F583-4,calibration,"KN08,dB9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
IC2574,calibration,"Sa96,MC9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
IC4202,calibration,SG0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
KK98-251,calibration,BC0,,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
NGC0024,blind,"Di08,Ch0",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
NGC0055,blind,"Sa96,Pu9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
NGC0100,blind,"dB02,Rh9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
NGC0247,blind,"Sa96,Ca9",,,0,0,0,to_audit,SPARC reference is an acquisition lead only; verify exact radial-HI provenance before ingestion.
