galaxy,n_hi_bins,hi_rmin_kpc,hi_rmax_kpc,n_source_rows,source_rmin_kpc,source_rmax_kpc,source_family,profile_method
DDO154,136,0.5877523412387735,18.22032257840198,11,0.99,5.92,THINGS/LITTLE_THINGS,direct_public_map_extraction
DDO168,113,0.5483862094018607,14.197109643403726,9,0.82,4.12,THINGS/LITTLE_THINGS,direct_public_map_extraction
IC2574,46,0.09775,8.602,28,0.85,8.52,Leroy_et_al_2008_THINGS,direct_public_machine_readable_radial_profile
NGC1003,78,2.044746007538388,37.94139813987897,35,2.08,30.24,HALOGAS_DR1_v2,direct_public_column_density_map_annular_extraction
NGC2403,57,0.09875,8.690000000000001,48,0.16,8.45,Leroy_et_al_2008_THINGS,direct_public_machine_readable_radial_profile
NGC2841,46,3.074583333333334,105.1477956611776,50,3.44,63.64,FEASTS,direct_public_radial_profile
NGC2903,35,1.4391666666666667,41.62133411608036,30,1.6,24.96,FEASTS,direct_public_radial_profile
NGC2976,18,0.0994444444444444,3.082777777777778,27,0.11,2.27,Leroy_et_al_2008_THINGS,direct_public_machine_readable_radial_profile
NGC3198,31,3.009166666666667,76.87249145766293,34,3.21,44.08,FEASTS,direct_public_radial_profile
NGC3521,35,1.6790277777777782,55.8176252658108,34,1.71,17.74,FEASTS,direct_public_radial_profile
NGC4559,26,1.9625000000000004,48.84109353814969,30,1.97,20.97,FEASTS,direct_public_radial_profile
NGC5033,50,3.423472222222223,124.5653983964581,20,3.8,44.59,FEASTS,direct_public_radial_profile
NGC5055,35,2.1587500000000004,93.78364004552454,26,2.16,54.59,FEASTS,direct_public_radial_profile
NGC5585,80,1.1487096542969395,21.31494580750988,17,1.28,10.96,HALOGAS_DR1_v2,direct_public_column_density_map_annular_extraction
NGC6946,41,0.0935593220338983,10.852881355932205,31,0.19,10.76,Leroy_et_al_2008_THINGS,direct_public_machine_readable_radial_profile
NGC7331,33,0.4,23.2,23,2.67,22.49,Leroy_et_al_2008_THINGS,direct_public_machine_readable_radial_profile
NGC7793,38,0.0925641025641025,6.572051282051282,43,0.11,6.3,Leroy_et_al_2008_THINGS,direct_public_machine_readable_radial_profile
UGC06399,14,0.0,11.362322,9,0.87,7.85,Verheijen_Sancisi_2001,direct_vector_radial_profile
