galaxy,stationary_role,sample_index,radius_arcsec_vector,radius_arcsec_native_grid_qc,radius_grid_delta_arcsec,radius_kpc_source_scale,sigma_hi_msun_pc2,source_x_pgplot,source_y_pgplot,source_marker_char,source_figure,source_asset,helium_applied
NGC6015,calibration,0,14.944489147,15.000000,-0.055510853,1.007094753,4.103954758,567.000000,871.000000,33329,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,1,24.915030216,25.000000,-0.084969784,1.678999927,4.744255804,655.000000,956.000000,33340,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,2,34.998872889,35.000000,-0.001127111,2.358540388,5.467419338,744.000000,1052.000000,33351,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,3,44.969413959,45.000000,-0.030586041,3.030445563,6.145385151,832.000000,1142.000000,33363,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,4,54.939955029,55.000000,-0.060044971,3.702350738,6.680224848,920.000000,1213.000000,33375,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,5,65.023797701,65.000000,0.023797701,4.381891198,7.026740708,1009.000000,1259.000000,33387,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,6,74.994338771,75.000000,-0.005661229,5.053796373,7.132202057,1097.000000,1273.000000,33400,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,7,84.964879841,85.000000,-0.035120159,5.725701548,7.056872522,1185.000000,1263.000000,33413,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,8,94.935420910,95.000000,-0.064579090,6.397606723,6.800752104,1273.000000,1229.000000,33426,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,9,105.019263583,105.000000,0.019263583,7.077147184,6.627494174,1362.000000,1206.000000,33439,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,10,114.989804653,115.000000,-0.010195347,7.749052358,6.378906709,1450.000000,1173.000000,33453,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,11,124.960345723,125.000000,-0.039654277,8.420957533,6.077588570,1538.000000,1133.000000,33466,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
NGC6015,calibration,12,135.044188395,135.000000,0.044188395,9.100497994,5.685874989,1627.000000,1081.000000,33479,Verdes-Montenegro et al. 1997 Figure 3d,07540003.eps,no; source H I surface density preserved
