whisp_ugc_number,canonical_candidate,stationary_role,in_frozen_149,source_study,source_profile_route
2023,UGC02023,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
2034,UGC02034,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
2455,UGC02455,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
3371,UGC03371,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
3711,UGC03711,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
3966,UGC03966,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
4173,UGC04173,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
4305,UGC04305,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
4325,UGC04325,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
4499,UGC04499,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
4543,UGC04543,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
5272,UGC05272,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
5414,UGC05414,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
5721,UGC05721,blind,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
5829,UGC05829,blind,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
5918,UGC05918,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
6446,UGC06446,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
6628,UGC06628,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7047,UGC07047,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7232,UGC07232,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7261,UGC07261,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7323,UGC07323,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7399,UGC07399,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7524,UGC07524,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7559,UGC07559,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7608,UGC07608,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7690,UGC07690,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7866,UGC07866,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
7971,UGC07971,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
8490,UGC08490,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
9211,UGC09211,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
9992,UGC09992,blind,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
10310,UGC10310,blind,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
11861,UGC11861,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
12060,UGC12060,not_in_frozen_149,0,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
12632,UGC12632,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
12732,UGC12732,calibration,1,Butler et al. 2017 MNRAS 472 4551,30arcsec_WHISP_total_intensity_map_reconstruction
